host	query	id_or_ref	title	date	note	status
polona.pl	(no API found)	--	--	--	SPA search box interaction did not trigger a capturable fetch inside the time budget; /api/search-service/search/{simple,advanced,basic,results,query} all 400 Bad Request (route exists, param shape not found), /api/search-service/search/suggest and /advanced-form (schema) confirmed reachable	blocked_not_found
kramerius5.nkp.cz (NDK)	keywords=text:"šifrovaný dopis"	uuid:00fb56d0-e417-11e4-b756-5ef3fc9bb22f etc.	Hry v přírodě (1995 memoir); Honorář za hříchy (1990 novel); Nadežda Konstantinovna Krupská (1983 biography); Vzpomínky na Julia Fučíka (1961 memoir)	1961-1995	digitised-book OCR hits for the phrase used in modern prose, not archival correspondence	noise
kramerius5.nkp.cz (NDK)	text:"šifrovaný dopis" OR "psáno šifrou" OR "tajné písmo", fq datum_begin:[1450 TO 1900]	uuid:fd9848bd-340f-4dfc-b705-e807628a9b5a etc.	Elba a Waterloo (1865); Přirozené kouzelnictví (1873); Básně Boleslava Jablonského (1881); Slovník cizojazyčný (1895); Kněhtlačitelství (1868)	1865-1897	71 hits, all model_path monograph/page (printed books: history, popular science, poetry, dictionaries) -- OCR word matches, no correspondence	noise
kramerius5.nkp.cz (NDK)	text:šifr* AND (fedora.model:manuscript OR document_type:manuscript)	--	--	--	0 results: this instance has no manuscript-model content matching cipher terms	clean_negative
digitalniknihovna.cz (national portal incl. Moravian Library)	/search/api/v5.0/search and /mzk/search/api/v5.0/search	--	--	--	both paths served the Angular SPA shell (catch-all route), not the Solr API; the real backend host/path for this portal was not found this budget	blocked_not_found
kramerius.mzk.cz	(redirect only)	--	--	--	301/308 to digitalniknihovna.cz/mzk (merged into the national portal above, no independent API surface found)	blocked_not_found
hungaricana.hu	query='rejtjeles levél', filters.DATABASE=LI	--	MNL-OL-XIX-A-83-b 3516-3545/1956; HU BFL XXXV.100.a/4 (1951); Tájékoztató a MSZMP archívumai számára (1981)	1951-1981	3 hits in the "Levéltári iratok" (archival records) facet, all 20th-c. Communist-party administrative records -- out of period and not correspondence	noise
hungaricana.hu	query='titkosírás', filters.DATABASE=LI	--	LEVÉLTÁRI ANYAG TUDOMÁNYOS FELHASZNÁLÁSA; LEVÉLTÁRTUDOMÁNY; HU BFL XXXV.22.a/4 (1958); Levéltári ismeretek oktatási segédanyag (1998-2001); MSZMP Eger VB ülései (1963)	1958-2001	8 hits, all archival-science training manuals and Communist-party committee minutes referencing "titkosírás" as a topic, not diplomatic cipher letters	noise
hungaricana.hu	query='rejtjel'	--	138109. lajstromszámú szabadalom (patent)	--	2796 raw hits dominated by patents, local-press OCR and modern usage; not swept further (LI-restricted queries above are the targeted subset)	noise
dlib.si	'keywords=cifer'	URN:NBN:SI:DOC-BYIIV0YV etc.	(titles not extracted, budget)	--	working query form found; not pursued past the confirming test	unswept
dlib.si	'keywords=šifra'	URN:NBN:SI:DOC-TPPTMD3I / WGNO0DJP / I4VADNF2 / EJWY8EUG / XKEO2HBE / LLE7DZ57	Pesmi (1985 poem); Šifra; Šifra 2.0; Da Vincijeva šifra; PRNG statistical-testing paper; comic-strip study	1963-2020s	6 hits: poetry, fiction (incl. "The Da Vinci Code" in Slovenian), a cryptography research paper, a comics study -- no correspondence	noise
dlib.si	'text=šifra', bare 'šifra'	--	--	--	0 results: the site's default/text field does not match this term; only the keywords= field search works	note
monasterium.net	(not queried)	--	--	--	out of budget this pass; brief scopes it to "charter cipher notes only", lowest-yield of the five hosts named	unswept
