id	shelfmark	folio	date	sender	recipient	language	status	neighbour_id	neighbour_folio	neighbour_date	neighbour_status	why_matched	reason
9962	ags_est_leg_853	3	1531-10-24	Antonio Muxetula, ambassador in Rome	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9961	2	1531	Decrypted	adjacent folio (f.3 vs f.2, diff 1); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9960	ags_est_leg_853	1	1531-9-12		High Commander of León	Spanish	Non-decrypted	9961	2	1531	Decrypted	adjacent folio (f.1 vs f.2, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9878	brah_signatura-9/31	9	1424-4	Luis Fernández		Spanish	Non-decrypted	9881	12	1424	Decrypted	adjacent folio (f.9 vs f.12, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9873	brah_signatura-9/31	4		Luis Fernández?		Spanish	Non-decrypted	9872	3		Decrypted	adjacent folio (f.4 vs f.3, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9868	brah_signatura-9/30	8		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.8 vs f.5, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9866	brah_signatura-9/30	6		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.6 vs f.5, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9846	brah_signatura-9/30	3		Lope Hurtado de Mendoza		Spanish	Non-decrypted	9848	5		Decrypted	adjacent folio (f.3 vs f.5, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9843	brah_signatura-9/29	11	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.11 vs f.9, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9842	brah_signatura-9/29	10	1523-10	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.10 vs f.9, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9840	brah_signatura-9/29	8	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.8 vs f.9, diff 1)	already present in: Bourdeau cs-recheck/*/profile.json
9839	brah_signatura-9/29	7	1523	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.7 vs f.9, diff 2)	already present in: Bourdeau cs-recheck/*/profile.json
9838	brah_signatura-9/29	6	1523-10	Luis Fernández		Spanish	Non-decrypted	9841	9	1523	Decrypted	adjacent folio (f.6 vs f.9, diff 3)	already present in: Bourdeau cs-recheck/*/profile.json
9837	brah_signatura-9/29	5	1523-9	Luis Fernández		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.5 vs f.2, diff 3); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9835	brah_signatura-9/29	3		Luis Fernández		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.3 vs f.2, diff 1); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9833	brah_signatura-9/29	1		Luis Fernández?		Spanish	Non-decrypted	9834	2		Decrypted	adjacent folio (f.1 vs f.2, diff 1); same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
9775	brah_signatura-9/28	44	1523-8	Luis Fernández?		Spanish	Non-decrypted	9787	46	1523-8	Partially decrypted	adjacent folio (f.44 vs f.46, diff 2); date within 0 days; same sender (author) named	already present in: Bourdeau cs-recheck/*/profile.json
