type	host	route_or_term	requests	result	drop_reason
route	www.e-manuscripta.ch	OAI-PMH Identify/ListMetadataFormats/ListSets	3	reached, 200	OAI-PMH server live (Visual Library Server, oai_dc/mets/mods/epicur formats); ListSets returns only 10 top-level sets, one per holding library (Basel UB 45839 records, ETH HSA 82182, Nationalbibliothek 12486, ZB Zürich 23689, ETH-Bibliothek/ETH TMA 0 records returned, Schaffhausen 213, Zofingen 383, Solothurn 1016, Luzern 22) -- no finer-grained "letters"/"Nachlass" set and no full-text query verb in OAI-PMH itself, so a term search is not possible through this route at all, only a harvest-by-set
route	www.e-manuscripta.ch	OAI-PMH ListIdentifiers batch-size probe (all 10 sets)	10	reached, batch_size=10	resumptionToken shows a fixed page size of 10 records/page; harvesting even the 4 smallest sets in full (sbs 213 + sbz 383 + zbs 1016 + zhb 22 = 1634 records) would need ~166 requests, and the correspondence-likely large sets (Basel UB, ETH HSA, Nationalbibliothek, ZB Zürich; ~164,000 records combined) would need ~16,400 -- both far over this brief's 60-request host cap, so no metadata harvest was attempted
route	www.e-manuscripta.ch	HTML search (curl, descriptive UA)	1	Cloudflare "Verifying your browser" challenge, 200 but not real content	matches prior pass's finding (QUEUE.md ~1096-1100); confirms not resolved
route	www.e-manuscripta.ch	HTML search (tools/browser_fetch.js, one attempt per brief)	1	Cloudflare challenge page returned, title "Verifying your browser"	the browser tool does not clear this site's Cloudflare check either; per brief, stood down after one attempt, host dropped
term	e-codices.unifr.ch	Geheimschrift, sSearchField=fullText	1	5 hits	all 5 are early-medieval monastic scribal ciphers out of scope (9th-10th c. Einsiedeln/St Gallen "Rihpertus" cipher signature, bfk-Geheimschrift Old High German glosses x2, Otto von Passau ownership note, Gregory the Great letter collection glosses) -- same shape as prior pass's documented "noisy medieval hits", not archival correspondence, not 1450-1850
term	e-codices.unifr.ch	Chiffre, sSearchField=basic_metadata (closest field to "description"; no literal "description" field exists on the form)	1	11 hits	all "chiffre/chiffres" = numeral/figure in running French manuscript description text (folio numbering, canon-table numerals, obituary date numerals), not cipher
term	e-codices.unifr.ch	chiffr, sSearchField=basic_metadata	1	subset of Chiffre hits	stem variant, same noise class, not separately opened
term	e-codices.unifr.ch	Geheimschrift, sSearchField=basic_metadata	1	5 hits, same 5 items as the fullText search above	no new items
note	e-codices.unifr.ch	doc_type_facet vocabulary	0	-	the facet has exactly one value on this host, "Manuscript" -- there is no "Archival documents/letters" document-type distinct from Manuscript to filter by; the brief's premise (a letters doc-type filter) does not exist as a facet on e-codices, confirmed by reading the advanced-search form and a results-page facet panel
note	e-codices.unifr.ch	genre_facet on the Geheimschrift/fullText result set	0	-	dominated by liturgical genres (e.g. Antiphonary); no "Letter"/"Correspondence"/"Archival document" genre value present among the returned facets, consistent with e-codices' holdings being overwhelmingly medieval codices, not archival loose correspondence
