shelfmark	ark_gallica	digitised	dates	correspondents	cipher_note	deciphered_note	query_source	notes
Français 5160	btv1b9060495t	Y	10 Jan 1653 - 21 Dec 1661	Henri-Auguste and Henri-Louis de Loménie de Brienne -> Abel/Ennemond Servien	yes, item-level OAI record ("en partie chiffrées...souvent accompagnées du déchiffrement")	partial, per-letter	control (archivesetmanuscrits "Servien")	the target volume itself; confirms the search reaches it
Mélanges de Colbert 26	btv1b955062 (ark cc955062)	Y	I: 1644-1648 (Coignet de la Thuillerie / Abel Servien); II-III: Jul-Dec 1661 (Brienne despatches)	Gaspard Coignet de la Thuillerie, Abel Servien, Henri-Louis de Loménie de Brienne (secrétaire d'État aux Affaires Étrangères)	none found in the item-page catalogue text (checked directly, "chiffr" and "déchiffr" both absent)	not stated	archivesetmanuscrits "Loménie Brienne Savoie"	part III (Jul-Dec 1661) is Brienne's own outgoing register for the tail of fr.5160's period; no cipher claimed, but not ruled out (item text, not an image, was checked)
Français 20657-20674 (item Français 20660)	none (no pictoGallica badge)	N	1652-1659	"Lettres originales adressées en général au comte de Brienne...concernant particulièrement la Provence, les galères, la marine"	none in catalogue description	not stated	archivesetmanuscrits "Ennemond Servient"	parent series titled "Papiers de Henri-Auguste de Loménie, comte de Brienne (1641-1661)" -- exact correspondent and years, but general incoming correspondence, not Turin-specific, and not digitised; not opened further this pass
Français 20500-20576 (item Français 20563)	none (no pictoGallica badge)	N	1630-1660 (tome III)	"Papiers du comte de Brienne"	none in this catalogue snippet	not stated	archivesetmanuscrits "Loménie Brienne Savoie"	one tome of a Gaignières recueil; not digitised, not opened further
Français 23203-23204	unresolved this pass	N (no badge on this hit)	unstated	"Papiers et lettres d'Henri-Auguste de Loménie, comte de Brienne"	unknown -- item level not reached	unknown	archivesetmanuscrits "Loménie Brienne Savoie"	matched only at volume-header level, no item rows returned; a dedicated query on this shelfmark is the next step
NAF 6972-7328 "Collection de Brienne"	mixed (some items digitised, per-item)	partial	very large collection, Savoie items sampled here are 1521-1629	various (Sillery, Suisse/Savoie affairs)	none in the sampled items	not stated	archivesetmanuscrits "Loménie Brienne Savoie"	huge Brienne-family collection; only pre-1630 Savoie items surfaced by this query, later volumes (if any) not located this pass
Mélanges de Colbert 113	cc95415v	Y	Dec 1662	Ennemond Servient, intendant de Pignerol, ambassadeur à Turin	none found	not stated	archivesetmanuscrits "Servient Turin"	outside fr.5160's 1653-1661 window (1662); same office, later
Mélanges de Colbert 120-120bis	cc95423k	Y	avril 1664	Ennemond Servient, ambassadeur à Turin	none found	not stated	archivesetmanuscrits "Servient Turin"	outside window (1664)
Mélanges de Colbert 121-121bis	cc95424t	Y	14-30 juin 1664	Ennemond Servient, ambassadeur à Turin	none found	not stated	archivesetmanuscrits "Ennemond Servient"	outside window (1664)
Mélanges de Colbert 123-123bis	cc954269	Y	28 aout-fin sept 1664	Ennemond Servient, ambassadeur à Turin	none found	not stated	archivesetmanuscrits "Ennemond Servient"	outside window (1664)
Mélanges de Colbert 124	cc95427j	Y	oct 1664	Ennemond de Servient, ambassadeur à Turin	none found	not stated	archivesetmanuscrits "Servien Turin" (control confirmed Français 5160 facet on same page)	outside window (1664)
Mélanges de Colbert 127-127bis	cc954302	Y	fev 1665	Ennemond de Servient, ambassadeur en Savoie	none found	not stated	archivesetmanuscrits "Ennemond Servient"	outside window (1665)
Mélanges de Colbert 130-130bis	cc954341	Y	juillet 1665	Ennemond de Servient, ambassadeur en Savoie	none found	not stated	archivesetmanuscrits "Ennemond Servient"	outside window (1665)
Mélanges de Colbert 131-131bis	cc954358	Y	aout-sept 1665	Giron François marquis de Ville, ambassadeur de Savoie en France (Servient's counterpart)	none found	not stated	archivesetmanuscrits "Loménie Brienne Savoie"	outside window (1665); Savoy's own ambassador to France, not Servien
Baluze 155-156	cc340913	Y	1630-1637 (Sabran at Genoa) / 1644-1646 (England)	Melchior de Sabran; 31 letters of Abel Servien; 2 letters of Vittorio Amedeo duc de Savoie	none found	not stated	archivesetmanuscrits "Servien Turin" / "chiffre de Servien"	predates fr.5160's window by 15-25 years; Abel Servien's earlier (1630s) Italian mission, not the 1659 Ennemond Servien embassy
Baluze 163	btv1b9001517m / cc340969	Y	1629-1633	Claude de Mesmes comte d'Avaux, ambassador at Venice; two letters signed "Chrysogono" ("la premiere en partie chiffree")	yes, one item ("en partie chiffrée")	not stated	archivesetmanuscrits "Servien Turin"; confirmed by Gallica SRU dc.source	predates fr.5160's window (1629-33); different cipher name ("Chrysogono"), different embassy (Venice not Turin)
Français 3822	btv1b9057424n	Y	1628	Prince Thomas-François de Savoie, Vittorio Amedeo duc de Savoie, to Madame de Nemours	none found	not stated	Gallica SRU dc.source="Manuscrits" and Servien and Turin	1628, decades too early; recueil miscellany, not cipher-flagged
Français 3944	btv1b9059448p	Y	1629 (sampled item)	Theodore Godefroy to Bullion; misc.	none found	not stated	Gallica SRU dc.source="Manuscrits" and Servien and Turin	1629, too early
Dupuy 869	btv1b10034810d	Y	1615-1648	misc. (contains a 1642 Savoie/Turin treaty piece elsewhere in the recueil)	none found	not stated	archivesetmanuscrits "Servien Turin"; Gallica SRU control	miscellany, single Turin-related item dated 1642 (Louis XIII/princesse de Savoie/cardinal de Savoie/prince Thomas), no cipher
