source	shelfmark_or_id	title_or_description	date	kind	status	digitised	reason_or_note
searcharchives.bl.uk (control)	Add MS 6912	King Charles I paper for Lord Digby, in cipher	1640s	cryptanalysis	already_known	no (fonds+item url_tsi empty)	Control pass: general "cipher"/"cypher" query surfaces QUEUE.md N44 verbatim -- query form verified.
searcharchives.bl.uk (control)	Mss Eur D623	Mornington cipher despatches	1798-1810	recovery	already_known	no (checked per-item, all empty)	Control pass: same query surfaces QUEUE.md N1 (Mornington) rows.
searcharchives.bl.uk recheck	Add MS 4956	Courten diary, cipher key by Madden (N3)	17th/19th c	recovery	copy-order, unchanged	no (url_tsi empty, id 032-002110476)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck	Add MS 21375	Louvois-Rosen/la Hoguette (N16)	1689-1690	cryptanalysis	copy-order, unchanged	no (url_tsi empty, id 032-002033765)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck	Add MS 89317/5/61 etc	Granville Papers (N30)	1804-1806	contribution	copy-order, unchanged	no (url_tsi empty, id 032-003453156, fonds level)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck	Add MS 8526	Maria Casimira to Clement XI (N48)	1702-1709	cryptanalysis	copy-order, unchanged	no (url_tsi empty, id 032-002029400)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck	Add MS 62401	Ottoboni/Paolucci to Melani (N49)	1699-1702	contribution	copy-order, unchanged	no (url_tsi empty, id 032-001962792)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck	Add MS 8730	Spada avvisi (N56)	1624-1627	cryptanalysis	copy-order, unchanged	no (url_tsi empty, id 032-002029619)	Re-checked 24 Sept 2026; not digitised.
searcharchives.bl.uk recheck (other lanes today)	Add MS 8693-98 / 6912 / 20244+ / 32499 / 21483 / 38038 / 8716	Sacchetti(N29)/Charles-Digby(N44)/Gualterio(N41)/Wallis(N42)/James1669(N43)/Portugal-Bombay(N45)/Farnese(N46)	various	various	copy-order, unchanged	no	Already checked "not digitised" today (24 Sept 2026) in ciphers/*/NOTES.md by other LANE N/V/W sessions; not re-fetched, cited from those files.
searcharchives.bl.uk excluded	Add MS 33596	Digby cipher keys, Charles I officials papers 1633-46	1633-1655	recovery	excluded, already known	catalogue says digitised but access.bl.uk DNS-dead + bl.digirati.io 403; DECODE already holds it	On DECODE (unsolved-ciphers/catalogue/decode-catalog.csv rows 4866-4870, records BL_Add_MS_33596_025 through 031-032, type "Key"); DECODE-covered material is not this project's lane per CLAUDE.md/README.
