host	query	raw_hits	kept	notes
resources.huygens.knaw.nl (WVO database, wvo/app/brieven?opmerkingen=)	cijfer	96	6 scored (NB1-NB6, NB1/NB2/NB3 are clusters of 4/1/3 letters)	Control: search form verified live against the already-known orange-nassau-1572 letter's own database entry (found via WebSearch, briefnr not in this cijfer set -- that letter's cipher term is spelled differently in its own record) and against letters this pass confirms are already solved (nos. 74/98/153/175/4613/4615/7205/7206/7208/6238/6178/5033/5575/1069, all carrying "oplossing"/"ontcijferd"/"ontcijfering" in Opmerkingen or a Groen van Prinsterer "editie:" citation) -- the query surfaces true positives, so a zero would have been trusted. Full per-letter table below.
resources.huygens.knaw.nl (WVO)	niet ontcijferd / niet gedechiffreerd / onontcijferd / nog niet ontcijferd	1 / 0 / 0 / 0	0	Not a phrase search (tokenised OR/AND): the 1 hit (briefnr 124) matches because it separately contains "niet" (about the draft being incomplete) and "ontcijferd" (the cipher passage itself was long since deciphered, printed Groen I 231-233); excluded.
resources.huygens.knaw.nl (Besluiten Staten-Generaal 1626-1651 silva search)	cijfer	1	0	Control: query form works (returns the 1 hit); the hit is "het laatste cijfer van de datum" (last digit of the date), a false positive, same noise pattern LANE S found on jsru.kb.nl.
resources.huygens.knaw.nl (Besluiten Staten-Generaal 1626-1651)	cijferbrief / gecijferd / cijferschrift / geheimschrift / ontcijfer	0 each	0	Zero hits for all five; this volume's search only covers the editors' modern-Dutch summaries, not full manuscript detail, so a "no ontcijfering" verdict here is conditional on the summary, not the original (rule 2).
resources.huygens.knaw.nl (Resolutiën 1576-1625, Bescheiden Oldenbarnevelt, Briefwisseling van Johan de Witt, Briefwisseling Heinsius, Correspondentie Willem III/Bentinck)	(page-image "retroboeken" viewer, no full-text search box found)	--	--	Not searched this pass: these editions are served as page-image viewers (Dojo pagebrowser) with no exposed full-text search endpoint found in this budget; a future sweep should check whether OCR text underlies the viewer via a different URL pattern before giving up on them.
data.nationaalarchief.nl / www.nationaalarchief.nl	(reachability only)	--	--	503 "Site in onderhoud" on every path tried (/, /onderzoeken/archieven), matching LANE S's finding a few hours earlier same day; one retry, then stopped per the good-citizen rule. service.archief.nl/gaf/api/ 404 (wrong path, not explored further); data.nationaalarchief.nl CONNECT tunnel failed (proxy-level 000).
jsru.kb.nl (SRU)	(not re-queried)	--	--	LANE S already exhausted the reachable GGC collection this same day (noise only, sheet-music "cijferschrift"); not repeated per rule 1 (no duplicate work).
www.archivesportaleurope.net (advanced-search/search-in-archives, JS app, browser tool)	cijfer	10589	not triaged	Control: real NL-HaNA and NL-LwHCL fonds records returned (repositoryCode/recordId pairs), so the form works; 10,589 raw hits is far too broad for this budget (generic "cijfer" noise, mostly 19th-20th c. per two sample records opened). Old static search?query= URL 301-redirects to the JS app; curl alone returns "No results" template text, needed tools/browser_fetch.js --type.
www.archivesportaleurope.net	gecijferde brieven (phrase)	0	0	Phrase not literal-matched in descriptions.
www.archivesportaleurope.net	geheimschrift	~10 (not full count read)	0 pre-1800	Ten sample hits opened one (NL-HaNA 2.13.91, "Geheimschrift, 1920") -- 20th century, out of the 1550-1800 window; not pursued further.
search.arch.be	(reachability)	--	--	Decommissioned 23 Dec 2024 (confirmed by WebSearch and by curl: redirects to an "end of life notice" page serving an unrelated login-only genealogy app, DEMOGEN VISU). Successor is agatha.arch.be (used instead, see below), same institution (State Archives of Belgium), not a different host under the good-citizen host-restriction rule.
agatha.arch.be (Archive inventories search, JS app, browser tool)	cijfer	35	0 (page 1 only)	Control: real archival inventory titles returned (Dutch-language fonds descriptions with real shelfmarks/date ranges). Page 1 (10 of 35) is entirely 19th-20th c. administrative-court and provincial-finance fonds -- "cijfer" as generic Dutch for "figure/number", not cryptography. Not triaged past page 1 within this budget; flagged for a future sweep to filter by Heading = A1-A4 (Ancien régime central administrations) specifically, where a cipher-relevant hit would more likely sit.
opac.kbr.be / www.kbr.be	(reachability only)	--	--	Both HTTP 200; no query run this pass (budget exhausted on WVO/APE/AGATHA). Not searched.
