catalogue	reference	title_or_desc	date	held_by_or_source	rank	kind	score	edition_risk	group_target
TNA Discovery	SP 99/24/251	Letter in cipher from 159.	[? 1622]	The National Archives, Kew	N59	cryptanalysis	26	untested; Wotton's letters partly printed (Logan Pearsall Smith's edition) but not checked against this item	Letter in cipher from '159', in Sir Henry Wotton's hand
TNA Discovery	SP 36/74/1/60	Folio 60. Z Ball to [unknown]. In cipher.	1745 Nov 19	The National Archives, Kew	N62	cryptanalysis	25	untested	Z Ball to an unknown recipient, in cipher, the autumn before the '45
TNA Discovery	SP 81/37/284	Folio 284: Duplicate of paper sent by Mr. Stanning in cipher.	[? 1631]	The National Archives, Kew	N60	cryptanalysis	25	untested	Duplicate of a paper sent by Mr Stanning in cipher
TNA Discovery	SP 81/44/225	Folio 225: Roe to Secretary of State, with postscript in cipher.	1638 July 15/25	The National Archives, Kew	N58	cryptanalysis	26	untested; Roe's letters are partly printed (Negotiations of Sir Thomas Roe) but this volume/date not checked against it	Sir Thomas Roe to the Secretary of State, postscript in cipher
TNA Discovery	SP 77/32/289	Folio 289: Nicholas to Sir L.R. at St. Sebastian - in cipher.	1659 Aug 6/16	The National Archives, Kew	N52	cryptanalysis	28	untested	Secretary of State Nicholas to Sir L.R. at San Sebastián, in cipher
TNA Discovery	SP 78/69/91	Folio 214: Doncaster to Calvert - and duplicate, with advertisement in cipher (f.222).	1621 Sept 24	The National Archives, Kew	N53	cryptanalysis	28	untested	Doncaster (Earl of Carlisle) to Calvert, with an advertisement in cipher enclose
TNA Discovery	PRO 30/50/70/8	Letter, partly in cipher. Apparently an enclosure to PRO 30/50/70/7	1600 Jan 14	The National Archives, Kew	N63	cryptanalysis	25	untested	Elizabethan enclosure, partly in cipher, apparently attached to a neighbouring i
TNA Discovery	SP 54/19/98B	[?] from Seville, partially in cipher, concerning Stanhope's negotiations with Spain and also mentioning an...	1729 Oct 20	The National Archives, Kew		dropped			"found-already-decoded (cataloguer note / explicit ""decrypted"")"
TNA Discovery	SP 36/37/44	Folio 44. Andrew Stone to [Newcastle]. The Dutch post brought a letter in cypher from...	1735 Nov. 14	The National Archives, Kew	N65	cryptanalysis	25	untested	Andrew Stone to Newcastle, reporting the CONTENT of a cipher letter from Mr Robi
TNA Discovery	ADM 1/1665/176	Folios 518-519: Philip Carteret, HMS Pomone, Cape Finisterre. Written in cypher code and decrypted.	1813 Nov 4	The National Archives, Kew		dropped			"found-already-decoded (description states ""written in cypher code and decrypted"")"
TNA Discovery	SP 106/42	Parchment sheet entitled 'For writing in cypher'; two parchment sheets entitled 'For Decyphering', numbers 1-1800,...	18th century	The National Archives, Kew	N66	contribution	22	low	'For writing in cypher' and 'For Decyphering' parchment method-sheets, numbered 
TNA Discovery	SP 8/6/65	Folio 208. Letter from Major d'Ehrenstein to Monsiuer de Bernsdorff regarding Monsieur de Guldenstolp partly...	[1689]	The National Archives, Kew	N61	cryptanalysis	25	untested	Major d'Ehrenstein to M. de Bernsdorff regarding M. de Guldenstolp, partly in cy
TNA Discovery	SP 36/9/118	Folios 118-119. Note from (Newcastle) to the King. Finding upon a second reading of Mr....	1728 Dec. 19	The National Archives, Kew	N47	cryptanalysis	29	untested	Andrew Stone (Newcastle's under-secretary) reporting Mr Stanhope and Walpole's p
TNA Discovery	SP 14/1/38	Edward Reynoldes to Owen Reynoldes. Purposes to labour to be admitted in the office of...	1603 April 20	The National Archives, Kew	N64	cryptanalysis	25	untested	Edward Reynoldes to Owen Reynoldes, postscript partly in cipher, seeking a Privy
TNA Discovery	PRO 30/24/7/505	Draft of letter from Lord Shaftesbury to Mr. Percivall, also of one to Mr. Perkins,...	1682 June 6	The National Archives, Kew	N50	cryptanalysis	28	untested; Shaftesbury's own papers have been calendared (Christie's Life) but these specific cipher drafts not checked against it	Lord Shaftesbury's drafts of letters in cipher to Percivall, Perkins and Captain
TNA Discovery	SP 36/61/53	Folio 53. St. Quentin to [the Pretender] with news of the general situation concerning the...	1743 June 3	The National Archives, Kew	N54	cryptanalysis	28	untested	St Quentin to 'the Pretender', partly in cipher, on the Austrian military situat
TNA Discovery	SP 78/205/95	Folio 146: Waldegrave to Delafaye. He managed to see a paper carelessly left on a...	1734 July 21	The National Archives, Kew	N55	cryptanalysis	28	untested	Waldegrave to Delafaye: a paper of Cardinal Fleury's left on a table, copied and
TNA Discovery	PRO 30/53/11/42	[?] to Mrs Horesse	1717 Dec 4	The National Archives, Kew	N57	cryptanalysis	27	untested	Two related letters to 'Mrs Horesse', partly in cipher, same hand and date
TNA Discovery	PRO 30/53/11/43	Letter in the same hand to Mrs Horesse	1717 Dec 4	The National Archives, Kew	N57	cryptanalysis	27	untested	Two related letters to 'Mrs Horesse', partly in cipher, same hand and date
TNA Discovery	SP 78/232/44	Folio 103: Yorke to Bedford. Albermarle's appointment is welcomed. The answer about Townsend is enclosed....	1749 Mar 8/20	The National Archives, Kew	N51	cryptanalysis	28	untested	Yorke to Bedford: Albemarle's appointment, the Townshend answer, and Tobago's re
BL Archives and Manuscripts	Add MS 6912	King Charles I paper for Lord Digby, in cipher	1640s	Western Manuscripts	N44	cryptanalysis	31	untested; Civil-War-era royal correspondence is heavily edited in places, worth a named-edition check before a copy order	King Charles I's own cipher instructions to Lord Digby, countersigned on every p
BL Archives and Manuscripts	Add MS 20634-20635	 DRAFTS of letters of the Archbishop of Myra, as Papal Nuncio at Naples, to the Papal Secretary of State, to be written in cipher, or in answer to letters in cipher; 21 April, 1744-13 March, 1753. Ita	21 Apr 1744-13 Mar 1753	Western Manuscripts	N41	cryptanalysis	33	real, untested -- a documented Cardinal's own diplomatic archive; Italian nunciature scholarship on Gualterio not checked this sweep	Gualterio correspondence: fourteen BL volumes of letters to Cardinal Filippo Ant
BL Archives and Manuscripts	Add MS 8730	 COLLECTION OF 87 AVVISI TO THE PAPAL SECRETARY OF STATE FROM FRANCE; 1624-1627. Italian, Latin, and French. Partly copies, partly in cipher. Imperfect. The avvisi list miscellaneous news (wars and po	1624-1627	Western Manuscripts	N56	cryptanalysis	27	untested	87 avvisi (newsletters) to the Papal Secretary of State from France, partly copi
BL Archives and Manuscripts	Add MS 21483	 AUTOGRAPH letters to James II., and others, from 1669 to 1688, viz: 1. Anonymous letters, partly in cipher, on political affairs, with a key to some of the names; 25 Sept., 5 Oct. 1669, ff. 1-8. 2. J	1669-1688	Western Manuscripts	N43	recovery	33	untested	Anonymous 1669 cipher letters to James II with a partial key to the names, plus 
BL Archives and Manuscripts	Egerton MS 2813	 LETTER-BooK of Sir Dudley Carleton [cr. Baron Carleton 1626, and Viscount Dorchester 1628], Ambassador to Venice; Jan.-Sept. 1615. During the greater part (Feb.-July) of this time Carleton was on a s	Jan 1615-Sep 1615	Western Manuscripts		dropped			"false lead: no ""cipher""/""cypher"" anywhere in the full scope-and-content note"
BL Archives and Manuscripts	Add MS 24321	 LETTERS in cipher, relating to American affairs; 1777-1781 mostly copies; with deciphering, viz:- 1. [Victor Amadeus II.] King , of Sardinia to the Marquis de Cordon Turin, 26 Apr.. 1777. Fr. f. 1. 2	1777-1781	Western Manuscripts		dropped			"already-deciphered: harvest title reads ""with deciphering"""
BL Archives and Manuscripts	Add MS 38038	 ORIGINAL DISPATCHES, many of them in duplicate, from Alfonso VI., King of Portugal, and his ministers [Luis de Sousa e Vasconcellos], Conde de Castello Melhor, and Antonio de Sousa de Macedo, to Fran	1662-1666	Western Manuscripts	N45	cryptanalysis	31	untested; a Restoration Anglo-Portuguese diplomatic edition may exist, not checked this sweep	Portuguese royal despatches: Alfonso VI and his ministers to the ambassador in E
BL Archives and Manuscripts	Add MS 8526	 MARIA CASIMIRA, QUEEN OF POLAND: Letters to Clement XI; 1702-1709. French and Italian. Partly in cipher. Autograph. Collection of letters sent to Pope Clement XI (1700-1721) by Queen Marie Casimire S	1702-1709	Western Manuscripts	N48	cryptanalysis	28	untested	Maria Casimira, Queen of Poland (widow of John III Sobieski), autograph letters 
BL Archives and Manuscripts	Add MS 32499	 LETTER-BOOK of John Wallis, D.D., Savilian Professor of Astronomy at Oxford, decipherer of political correspondence to the government, etc., containing originals and copies of ciphered letters, with 	1651-1701	Western Manuscripts	N42	contribution	33	low as a target (already deciphered); real for anything matched to it (a printed Wallis biography or the Deciphering Branch scholarship may already list his solved corpus)	John Wallis's own decipherer's letter-book: originals and copies of ciphered let
