host	query	id_or_ref	title	date	note	status
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS/425	CICERO. HORACE. PALLADIUS.	12th-15th c.	Sancroft's contents note; no cipher relevance beyond incidental word match	noise
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/109a	PELHAM to ORMOND	20 Nov 1579	Carew MSS; no explicit cipher note itself, swept in by adjacent hits	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/158a	PELHAM to CAPTAIN YORKE	25 Dec 1579	"an alphabet to write ... in secret" -- cipher-adjacent, not itself ciphertext	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/228	PELHAM to the QUEEN	31 Jan 1580	"a cipher herein closed"; Carew Calendar (Brewer & Bullen 1867-73) vol.II covers this piece-run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/243a	PELHAM to the COUNCIL	11 Feb 1580	Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/246a	A CIPHER	11 Feb 1580	Record page's own FindingAids field cites "Calendar of the Carew Manuscripts ... ed. Brewer & Bullen (6 vols, 1867-73), vol. II, document 308" -- printed	found-solved-by-calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/314a	PELHAM to SIR WILLIAM WINTER	15 Apr 1580	Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/343a	PELHAM to SIR WARHAM SENTLEGER	30 May 1580	"your letter in cipher"; Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/346	PELHAM to SIR WARHAM SENTLEGER	15 June 1580	Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/413	LORD JUSTICE PELHAM to the QUEEN	12 Aug 1580	Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/414a	PELHAM to SECRETARY WALSINGHAM	12 Aug 1580	"In cipher"; Carew Calendar run	excluded_calendar
archives.lambethpalacelibrary.org.uk/CalmView	text=cipher	MSS-596-638/597/418	PELHAM to SIR WARHAM SENTLEGER	15 Aug 1580	Carew Calendar run	excluded_calendar
