host	query	raw_hits	kept	note
diglib.hab.de (Handschriftendatenbank, ?db=mss&q=)	Chiffre	1	0	Cod. Guelf. 409 Novi (Beulwitz Fuerstenbund papers, 18. Jh.) -- genuine hit ("22.Oct.1785 dechiffrirte Depesche in chiffre", Hertzberg an Beulwitz); record page has no Faksimile thumbnail and carries a "Digitisation of 409-novi" mailto request link -- confirmed NOT digitised.
diglib.hab.de	dechiffriert	6	0	Cod. Guelf. 90/91/92 Novi (Forstenheuser: Briefe an Herzog August von Braunschweig 1636-1659, 3 vols, 417+ Bl. each) -- genuine hit, physDesc: "haeufiger Geheimschriftpassagen, zum groessten Teil vom Empfaenger ueber der Zeile dechiffriert" (cipher passages, mostly interlinear-deciphered by the recipient -- i.e. SOME left undeciphered). Sibling 89-novi also referenced. Strong recovery-by-alignment lead per LESSONS.md pattern but NOT digitised (no Faksimile thumbnail, has "Digitisation of" mailto request link on all three record pages).
diglib.hab.de	Geheimschrift	18	0	All hits are isolated medieval scribal notes/alphabets in miscellanies (Cod. Guelf. 1.7.7 Aug.2f, 12.3 Aug.4f, 123 Blank., 14 Weiss. x3, 17.5 Aug.4f, 184 Blank., 404.8(27) Novi, 535.16 Novi, 55.7 Aug.4f, 63 Aug.8f, 900 Helmst., 243 Noviss.8f, M159, Cim I 88 ccc, 733 Helmst.), not letters/despatches; wrong kind for this brief regardless of digitisation status.
diglib.hab.de	chiffriert	0	0	no hits
diglib.hab.de	Ziffern	147	0	overwhelming false positives: "arabische/roemische Ziffern" = Arabic/Roman numerals used for foliation, quire signatures, dates -- not cipher. Not individually triaged past the first 15 (all noise).
diglib.hab.de	in Ziffern geschrieben	16	0	same false-positive pattern (dates/foliation written in numerals), not triaged further.
diglib.hab.de	Chiffreschrift / verschluesselt / Chiffren	0	0	no hits for any of these three terms
gdz.sub.uni-goettingen.de (/suche?search[q]=&search[searchType]=default)	Chiffre	123	0	sampled first page (13 titles): 100% false positive, French "chiffre" = digit/numeral in 19th-20th c. mathematics journals and academies' memoires (Journal fuer die reine und angewandte Mathematik, Belgian Academy Memoires, Inventiones Mathematicae). Collection is dominated by printed science journals, not manuscript correspondence.
gdz.sub.uni-goettingen.de	Geheimschrift	9	0	all history-of-mathematics/science journal articles (Nachrichten der Koenigl. Gesellschaft der Wissenschaften Goettingen, Zentralblatt fuer Mathematik, biquadratic-residues fragment) -- off-topic, no correspondence.
digital.slub-dresden.de	Chiffre/chiffriert/Geheimschrift (WebSearch site: query, and direct kollektionen?tx_dlf_search[query]= attempts)	10 (WebSearch)	0	WebSearch hits are all 20th c. newspapers (Wurzener Tageblatt, Illustriertes Unterhaltungsblatt, Saechsische Volkszeitung etc., 1902-1939) -- out of the 1450-1800 window. Direct curl search (tx_dlf_search[query]=) returns the unfiltered collections page (TYPO3 cHash-gated, no results render without a browser); browser_fetch.js timed out filling the search box (30s). Query form unverified for manuscript-scoped search.
digital.staatsbibliothek-berlin.de (/suche/?queryString=)	Chiffre	n/a	0	Meteor single-page app; curl returns only the SPA shell (no server-rendered results). browser_fetch.js timed out (60s) rendering the search results page. Query form unverified.
digi.ub.uni-heidelberg.de (/diglit/search)	Chiffre	n/a	0	Anubis bot-challenge on every /diglit/ page to curl (matches CLAUDE.md's existing note re. heidelberg597's IIIF manifest working but /diglit/ pages being Anubis-walled). Query form unverified.
digitale.bibliothek.uni-halle.de	(no query reached)	n/a	0	Home page is a generic WordPress site; its own search forms point to bibliothek.uni-halle.de (general library site) and halit.bibliothek.uni-halle.de (the actual digitised-collections catalogue) -- neither is the host named in this brief, so not queried (scope: host list is this worker's alone). Flagged for a future brief naming halit.bibliothek.uni-halle.de explicitly.
opac.lbs-braunschweig.gbv.de	(reachability only)	n/a	0	200 OK; used only as a cross-link target from diglib.hab.de record pages (OPAC "Weitere Literaturnachweise"), not queried directly as a search source this sweep.
Kiel/Hamburg	(not attempted)	n/a	0	Not reached this sweep -- budget spent establishing the six named hosts above; no specific Kiel/Hamburg host URL was in the brief beyond "if reachable".
