source_catalogue	ark	shelfmark	title	date	content_check	verdict	reason
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b525240150	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-profile:bnf francais 2988
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059908w	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-profile:bnf francais 2988
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b55006565c	Bibliothèque nationale de France, département Musique, MS-978	Deux Arabesques // pour le piano // Cl. Debussy (manuscrit autographe)	1891	noise-foliation/numeral/date	survives	
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52509819x	Bibliothèque nationale de France. Département des manuscrits. Français 4715	Recueil de pièces originales, la plupart en chiffre, relatives aux affaires de la Ligue, à la fin du règne de Henri III et au commencement du règne de Henri IV.	1501-1600	noise-on-inspection	excluded	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10032556x	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 132	Espagnol 132	1501-1600	noise-on-inspection	excluded	decode:bnf espagnol 132
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060138r	Bibliothèque nationale de France. Département des Manuscrits. Français 3013	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52503046q	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 318	Espagnol 318	1401-1600	noise-on-inspection	excluded	bourdeau:bnf espagnol 318
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90600370	Bibliothèque nationale de France. Département des Manuscrits. Français 3034	Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060086g	Bibliothèque nationale de France. Département des Manuscrits. Français 3015	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060172s	Bibliothèque nationale de France. Département des Manuscrits. Français 3126	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	noise-on-inspection	excluded	bourdeau-named:fr.3xxx
