host	query	id_or_ref	title	date	note	status
banchedatigonzaga.centropalazzote.it/collezionismo	(browsed, no query submitted)	n/a	Archivio corrispondenza Gonzaga 1563-1630	1563-1630	PRADO WebForms postback search form (schede_regesto/schede_note/testo fields); reproducing the POST with PAGESTATE not attempted this pass, budget. Subject matter is art-collecting/patronage correspondence (Bologna, Firenze, Milano, Parma, Piacenza, Roma, Venezia, Padova, Brescia, Corte Cesarea), not obviously diplomatic-cipher-bearing.	query_form_unverified
archiviodistatomantova.cultura.gov.it	Archivio Gonzaga inventario sommario (Torelli/Luzio, box-level)	Archivio_Gonzaga_2020.pdf	Archivio Gonzaga, 1045-1866	various	Box-level only (busta/città/anni), no item content notes; grep for cifra/cifrat/chiave/zifra = 0 hits. Torelli's FULL vol. I (25.7MB, accademianazionalevirgiliana.org, linked from this ASMn page) not fetched this pass -- budget; flagged as a follow-up.	no_content_notes
archiviodistatotorino.beniculturali.it	LETTERE-MINISTRI-Vol_I.pdf grep cifra/cifrat/chiave	mazzo 41, 68, 340, 343 various legations	Copia di cifrati annessi ai dispacci ordinari	1816-1849	All dated hits in Vol.I fall 1816-1849, outside the 1450-1800 window (Dispaccio con firma indecifrabile 1843; cifrati 1823-27, 1836-49, 1837-43, 1816-44, 1816-32)	out_of_period
archiviodistatotorino.beniculturali.it	LETTERE-MINISTRI-Vol_I.pdf grep cifra/cifrat/chiave	Lettere Ministri Gran Bretagna, mazzo 23	Contiene anche il cifrario del Conte della Perosa in 2 copie	1716-1719	Cipher-book of Savoy envoy Conte della Perosa in London kept with his correspondence; no sibling ciphertext letter identified in the box-level entry itself (mazzo lists correspondent names, not item-level content) -- lead only, not scored as a row this pass	lead_not_scored
archiviodistatotorino.beniculturali.it	upload/LETTERE MINISTRI_Vol.II.pdf (Inventario n.151/B, Carteggio diplomatico) grep cifra/cifrat/chiave	Lettere Ministri Olanda, mazzo 2	CIFRARIO al Conte e Presidente Della Torre	1690-1691	KEPT as IR1. Cipher-book with the correspondence of Savoy envoy extraordinary Della Torre at the Hague (League of Augsburg negotiations); box also holds his correspondents Lord Nottingham, Milord Monquille, Cav. Giuseppe Terne (London), Conte Caraffa, Prelà Doria, Marchese di Prie (Vienna), 1690-1700.	kept
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_roma.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Roma, envoy Taurello Petr'Antonio, busta "32" (piece no. as printed, not a definitive shelfmark)	Questa lettera e tutta in cifra	24 Jun 1527	KEPT as IR8. Single letter entirely in cipher, sent from Vetralla near Rome where Taurello had been dispatched to Filiberto di Chalons, Prince of Orange (imperial army context, months before the Sack of Rome).	kept
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_roma.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Roma, envoy Bentivoglio Annibale, Appendice II	con trascrizione della cancelleria della lettera cifrata ricevuta	1634	A contemporary chancery transcription (decipherment) is filed with the ciphertext -- unread axis 0, an edition not a target per README, dropped	excluded_edition
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_roma.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Roma, "Varie" fascicle, Appendice II	fascicolo contenente diversi dispacci, alcuni senza data, alcuni cifrati di incerta attribuzione, quasi tutte anonime	uncertain (positioned after 1778 entries)	Vague: no name, uncertain date/attribution, mixed with plain dispatches in one fascicle -- lead only, not scored as its own row this pass	lead_not_scored
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_francia_rev.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Francia, envoy Mannelli Flaminio, Appendice	Dispaccio parzialmente cifrato	8 Sep 1579	Single partially-ciphered dispatch, no key noted in this entry -- lead only, folded into the France fondo's broader appendix note, not scored as its own row	lead_not_scored
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_francia_rev.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Francia, N.N., Appendice	Decifrature, quadernetto di 6 carte risalente forse agli anni Ottanta del '500 / Decifrature 1559-1580 e segg. / decifrature cinquecentesche senza autore e senza data	1559-1580s	Three separate items are catalogued as DECIPHERMENT notebooks (already-decoded plaintext), not ciphertext; possible cribs for other France-fondo ciphertext but not themselves a fresh target -- excluded	excluded_edition
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_francia_rev.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Francia, envoy Clerville cav., Appendice	1648, aprile 27, con il foglio del cifrario impiegata nel dispaccio	27 Apr 1648	KEPT as IR5. Single dispatch filed WITH its own cipher-table sheet -- the strongest form of the "key beside the letter" pattern (LESSONS.md sec.2), but the item is small (one dispatch).	kept
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_francia_rev.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Francia, envoy Rangoni(?) Giovanni, Appendice	1720, lettere cifrate	1720	KEPT as IR9. Plural ciphered letters, no key noted in this entry, no content description.	kept
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_napoli.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Napoli, envoy Belmesseri Angelo, b.20 fasc.1	Evvi congiunta una cifra	16 May 1627 - Jan 1628	KEPT as IR3. Cipher explicitly attached to this envoy's dispatch run on the Stigliano marriage negotiation; precise busta/fascicolo given by the finding aid itself.	kept
asmo.cultura.gov.it	ASE_Cancelleria_ambasciatori_spagna.pdf grep cifra/cifrat/chiave	Carteggio ambasciatori Spagna, envoy Rossetti Alfonso, busta 4	fascicolo di lettere imperfette e decifrature senza data spettanti al carteggio del detto Rossetti	1533-1539	KEPT (lower confidence) as IR7. "Imperfect letters and decipherments" filed together in one fascicle -- may already be part-deciphered (edition risk), not resolved this pass.	kept
