host	query	shelfmark	record_id	folio	description	exclusion_reason
digi.vatlib.it	k_v=cifra	Arch.Cap.S.Pietro.C.132	207724	-	Titus Livius, Ab Urbe condita	not correspondence, foliation/content noise
digi.vatlib.it	k_v=cifra	Borg.cin.520	324919	-	Diego de San Francisco, Lettera a varie comunita cristiane	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Capp.Giulia.XIII.25	345992,346077	15v-17r,46v-47r	Beatus vir a 8 / Nativitas tua a 8 (music)	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Cappon.164	77893,77892	292r-299r,298r	5 cipher letters + 1, nuncio Taverna (Sp) to card. Boncompagni	CONFIRMED BY IMAGE (292r,298r): plaintext paraphrase under heading "Cifra del Nuntio di Spagna", not ciphertext; "cifra" is the document-class label, not the cipher itself
digi.vatlib.it	k_v=cifra	Cappon.266	246506	-	Comedia di Dante Allighieri	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Cappon.281.pt.1	247288	f.117r	Lettera di Giuseppe Rocco Volpi	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Chig.Q.IV.41	104529	-	Bernardo Sabadini, arie/ariette (music)	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Urb.lat.52	204710	-	S. Girolamo, opere varie	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Urb.lat.366	282983	-	Dante, Divina Commedia	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Urb.lat.367	214047	-	Dante, Divina Commedia	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Urb.lat.948	214439,378141	1r-101v	Scriptura occulta, vulgo cifra, Friderici II Urbini ducis (cipher system manual, Duke of Urbino, sec.XV)	KEY/SYSTEM manuscript, not correspondence; no undeciphered sibling letter located this pass -- resource lead only, see NOTES
digi.vatlib.it	k_v=cifra	Urb.lat.1704	309009	237r	Lettera nunzio G.B. Castagna (poi Urbano VII) al card. Alessandrino (M. Bonelli); note: "solo la parte in cifra" preserved	ALREADY PUBLISHED: L. Serrano, Correspondencia diplomatica entre Espana y la Santa Sede... Pio V, t.II, Madrid 1914, p.278-279 (cited in the record's own Bibliographic References); same correspondent pair already solved end-to-end by Bourdeau (cyphersolver/alessandrino1568, 11 letters, Lasry key, DECODE R93-R102/R115)
digi.vatlib.it	k_v=cifra	Vat.gr.2050	210912	-	Basilio, Ascetica	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.1579	210492	-	Vergilius, Operae	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.2392	247718	72v	Secretum quoddam ad aves capiendas scriptum in cifra cum eius explicatione	explicitly "cum eius explicatione" (with its explanation) -- has decipherment beside it
digi.vatlib.it	k_v=cifra	Vat.lat.3715	210209	-	De rebus bellicis; Notitia dignitatum	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.3793	282256	-	Canzoniere della lirica italiana delle origini	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.7319	204490	-	Seneca, Tragoediae	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.8214	25568	1r-333r	Lettere e capitoli di lettere di ambasciatori e agenti della Corte di Mantova, 1523-1524	no "cifra" mention found anywhere on the record detail page despite matching the keyword search; index noise, not pursued further
digi.vatlib.it	k_v=cifra	Vat.lat.8328	40552	21.2r-21.4r	Dini, Memoria dell'occorso al card. Colonna (heraldry dispute)	not cipher-related, keyword noise
digi.vatlib.it	k_v=cifra	Vat.lat.8338	26927	113r	Dini, lettera al segretario della cifra Federici (about the cipher office, not itself cipher text)	item is about the office of "segretario della cifra", not ciphertext
digi.vatlib.it	k_v=cifra	Vat.lat.9684	206,204,205	131r-133r,140r,144r-146v	"Parole anteposte alle cifre" + "De cifrazione di lettere in cifra" of the first Lincei (Cesi/Eck)	General note: ciphertext ff.23r-26r, DECIPHERED TEXT already present at f.140r (Cancellieri) and ff.144r-146v (Morosini), 19th-c. decipherment in the same codex
digi.vatlib.it	k_v=cifra	Vat.lat.10285	201674	52r,77r,89r,108r,111v	Piccardi, letters to the abate Baglioni, segretario della cifra	item is about the office of "segretario della cifra", not ciphertext
digi.vatlib.it	k_v=cifra	Vat.lat.13153	36045	29r-40v	La mina sventata... (printed-style narrative)	keyword noise, not correspondence
digi.vatlib.it	k_v=cifrata	Vat.lat.13153	36044,8959	38v-39r,40r-v	Du Vernay-Boucault (French envoy) to Thokoly Imre (Hungarian rebel leader), 1682, "con le parole e cifre originali"	General note: "In gran parte cifrata, con decifrazione interlineare" (largely ciphered WITH INTERLINEAR DECIPHERMENT); already discussed in print, Gerin, Revue des questions historiques vol.39 (1886) p.117-118
digi.vatlib.it	k_v=cifre	Barb.lat.9848	193751	2r-216r	Francesco Mancini to card. Francesco Barberini, 1644-1655	General note: "Cifre e decifrati" (ciphers and deciphered [versions] together in the same volume) -- resource/key lead only, see NOTES
digi.vatlib.it	k_v=cifre	Barb.lat.9849	193750,193752	2r-232r,92r-98r+	Francesco Mancini to card. F. Barberini / to mons. Attilio Marcellini, 1644-1655	General note: "Cifre e decifrati" -- resource/key lead only, see NOTES
digi.vatlib.it	k_v=cifre	(97 more of 106 total)	-	-	sampled shelfmark list for correspondence-shaped titles (Lettera/nunzio/card./ambasciat/dispacci); no new hits beyond Vat.lat.13153 (already excluded above)	pages 2-6 scanned by title only, not individually detail-checked (budget)
