source	item	reason
europeana	"87 records, dataProvider ""National Library of France"""	hosted on gallica.bnf.fr; host off-limits to this worker (CLAUDE.md: never fetch gallica.bnf.fr, another lane owns it) and duplicative of LANE G's direct Gallica SRU sweep
europeana	"Cartas de la Reina de Hungria al Cardenal Granvela, BNE MSS/7909/177-187 (bdh0000173419), 1544-1548, ""una de las cartas con texto cifrado"""	already in aaymeloglu/unsolved-ciphers catalogue/bne-ranked.md and bne-hits.jsonl (BNE swept there with the same terms cifra/cifrada/cifrado)
europeana	"Cartas del Duque de Sessa al Emperador Carlos V, BNE MSS/20214/52 (bdh0000172732), 1524-1554, ""algunas cartas con texto parcialmente cifrado"""	already in aaymeloglu/unsolved-ciphers bne-ranked.md; also distinct from but same correspondent/period as Bourdeau's already-solved sessa1524 (RAH Salazar A-31) -- edition/overlap risk flagged
europeana	Cifra, contracifra, antigua y moderna / Tamayo de Vargas, BNE MSS.MICRO/12253, 1612	already in aaymeloglu/unsolved-ciphers bne-ranked.md; BNE subject heading Paleografia/Taquigrafia -- a shorthand/abbreviation treatise, not diplomatic cipher correspondence
europeana	"~30 further National Library of Spain ""cifra"" hits (music tablature ""cifra para guitarra/acordeon"", ""se cifra en"" idiom, personal name Isabel Cifra, composer Antonio Cifra)"	"noise: Spanish ""cifra"" dominated by musical tablature notation and the idiom ""se cifra en"" (amounts to), matching the established chiffre-as-foliation noise pattern for a new language"
europeana	Letra de confiansa escrita en cifra por Felipe IV al conde de Onate, Digital Memory of Catalonia (Bonsoms 26817)	"leaf viewed: printed 17th-c. political pamphlet (signature marks A-C4), body text in plain printed Spanish prose, ""escrita en cifra"" is the pamphlet's rhetorical title only -- not an actual cipher"
europeana	La cifra del sig. Giovan Battista Belaso, European Library of Italy (BEIC), 1553	Belaso's own printed cipher treatise -- a published edition, not unread material
europeana	Il vero modo di scrivere in cifra con facilita..., Austrian National Library (ONB), 1564	printed cipher-writing manual -- a published edition, not correspondence
europeana	"~10 ""dechiffrement"" hits on ancient scripts (cuneiform, hieroglyphs, Etruscan, hieratic Mesoamerican), Bavarian State Library / ONB / Bodleian"	"""dechiffrement"" = decipherment of ancient/lost scripts, not historical cryptography; false positive on the query term"
europeana	Sein Kompass / Die Flucht eines deutschen Soldaten, Europeana 1914-1918, 1916	WWII/WWI-adjacent noise pattern named in the brief
europeana	Scrisoare adresata de Gheorghe Bengescu, Paris, 25 aug 1886, National Museum of Romanian Literature	letter reports receiving and paraphrases in clear the content of a ciphered telegram from Sturdza; the letter itself is plaintext, not ciphertext
europeana	Unterlagen v.a. aus der ersten Halfte des Monats April 1534, State Archives of Baden-Wurttemberg	administrative folder description; no cipher evidence found in the visible scope note
europeana	"~15 Dutch ""cijferschrift"" hits (Cheve-method schoolsong tablature), Digital Library for Dutch Literature"	cijferschrift = numbered-notation music teaching method, not cryptography
europeana	Melchias Uken Geheimschreibkunst in Versen, Bavarian State Library, 1759	a printed steganography/verse-cipher instruction manual (edition), not correspondence
rah	Morillo/Enrile 1817 (9/7658), Morillo/Herrera 1820 (9/7666), Isabel II/Canada 1869 (9/6958) -- QUEUE.md N1/N2	already on QUEUE.md, being checked by LANE S check-solved worker C this same wake -- excluded per brief
rah	"Plano del Puerto de Jagua, Cuba, 1813; Tab. II Ptolemy map ca.1618; Vista de Barcelona ca.1806 (bare ""cifra"" query)"	"noise: RAH catalogue ""cifra"" = numeral/scale-figure legend on maps and plans, same pattern as chiffre-as-foliation for a new host"
rah	Costados de Juan Pacheco Acuna..., I marques de Villena, conde de Xiquena	different historical Conde de Xiquena (genealogical roll); false positive on the surname query
rah	Alos to Morillo, despacho reservado y cifrado, 4 Dec 1819, RAH 9/7655 leg.12	"RAH's own Notas field: ""Publicado por Rodriguez Villa, doc. no.814, tomo IV, pp.155-158"" -- already in print"
rah	"Eguia to Morillo, 28 Oct 1818, RAH 9/7654 leg.11 (""cifrado en su mayor parte"")"	"RAH's own Notas field: ""publicado por Rodriguez Villa... tomo III, n.754, pp.693-694"" -- already in print"
rah	Cartas...Isabel II y Conde de Xiquena, minuta del parte de boda de la Infanta, 1868 (path 1008497)	same small file as E1 but a plain administrative minute, not ciphertext
rah	Cartas...Isabel II y Conde de Xiquena, sin fecha (path 1008499)	undated item in the same file as E1; not opened past the title/author fields this pass -- possible sibling, flagged not scored
