uri	date	title	shelfmark	holder	status	row_id	note
http://kalliope-verbund.info/CH-002121-2-991170522139805501	1813	Almanach oder Geschäfts-Kalender für alle Stände auf das Jahr 1813 / [genutzt von] Johann Heinrich Jung-Stilling	UBH NL 67 : Nachtrag B:3	Basel UB	excluded		noise: modern correspondence, no cipher term in title beyond query keyword coincidence
http://kalliope-verbund.info/DE-611-HS-2910521	1704-10-04	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/14 : 71	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-3794294	1984-04-11	Geheimschrift (Drucktitel)	2020.0023,279	Internationale Jugendbibliothek	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170453696005501	1806	Tagebuch auf das Jahr 1806 / Jung-Stilling	UBH NL 67 : Nachtrag B:2	Basel UB	excluded		noise: modern correspondence, no cipher term in title beyond query keyword coincidence
http://kalliope-verbund.info/DE-611-HS-2910525	1704-11-08	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/14 : 75	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170522139905501	1799	Hessischer Schreib-Almanach auf das Jahr Christi MDCCXCIX : Denen Collegiis sowol, als Gelehrten und Schreibern, wie auch Kauf- und Handwerksleuten, zum bequemen Gebrauch Wochenweise eingerichtet. : Nebst einer Nachricht, wie die sämtlichen Posten in der Residenzstadt Cassel abgehen und ankommen; und einem accuraten Verzeichnis, was, und wie viel für abzusendende Briefe und Acten, bey dem hiesigen Ober-Postamte bezahlet wird. / [genutzt von] Johann Heinrich Jung-Stilling	UBH NL 67 : Nachtrag B:1	Basel UB	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910511	1704-06-24	Brief von Daniel Ernst Jablonski an Paul von Radai.	Nachl. August Hermann Francke, 11,2/14 : 62	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910540	1705-04-18	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/15 : 13	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170525490805501	1559-02-04	Brief an Ambrosius Blaurerus / von J[ohannes] Hallerus	VadSlg Ms 37:216	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910535	1705-03-13	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/15 : 8	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910745	1712-01-05	Brief von Daniel Ernst Jablonski an Franz II. Rákóczy.	Nachl. August Hermann Francke, 11,2/17 : 91	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170478248605501	1548-01-05	Brief an [Wolfgangus] Musculus / von [Iacobus Sturmius]	StBZ Pa 14:1,179 (189)	Zofingen SB	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910627	1706-12-07	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/16 : 42	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-MUS-853418-D0059341		Dokument	A/2629/2010	Stadtgeschichtliches Museum Leipzig	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170512783205501	1549-01-01	Gedicht / von Th[omas] Bl[aurerus]	VadSlg Ms 36:1	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170525605105501	1557-01-13	Brief an [Joannes Gervicus Blaurerus] / von A[mbrosius] Bl[aurerus]	VadSlg Ms 37:119	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-2910560	1705-09-11	Brief von Daniel Ernst Jablonski an Paul v. Radai.	Nachl. August Hermann Francke, 11,2/15 : 33	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170516268705501	1555-08-22	Brief an [Joannes Gervicus Blaurerus] / von Ambrosius Blaurerus	VadSlg Ms 37:67	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170517547805501	1557-10-01	Brief an [Joannes Gervicus et Diethelmus Blaureri] / von Ambrosius Blaurerus	VadSlg Ms 37:163b	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-3252191	1726-04-13	Brief von August Hermann Francke an Karl Leopold v. Mecklenburg-Schwerin.	AFSt/H  A 149 : 9	Franckesche Stiftungen, Studienzentrum August Hermann Francke, Archiv und Bibliothek	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-2060-BE-25-349305-198474		Geheimschrift WA: e; vgl. I 6,347-349 Abschrift Druckvorlage zu C.1 Bd 5, 1827	GSA 25/W 14,2, Blatt 162	Goethe- und Schiller-Archiv / Klassik Stiftung Weimar	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-000015-0-1588201	1943	Hohl, Ludwig: Griechisches Alphabet (Titel)	SLA-Hohl-E-01-c-A-4-2, Kasten 272	Schweizerisches Literaturarchiv (SLA)	excluded		noise: modern correspondence, no cipher term in title beyond query keyword coincidence
http://kalliope-verbund.info/DE-611-HS-2111561		Div. Sonderdrucke etwa bis 1940, auch Dissertation 1908 (Manuskripttitel)	Heid. Hs. 3763 II E - 5, Blatt 1-16	Universitätsbibliothek Heidelberg	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-MUS-853418-Z0055053		Manuskript	A/8075/2006	Stadtgeschichtliches Museum Leipzig	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-2060-BE-25-350199	21. 9. 1815	Geheimschrift (Laßt euch, o Diplomaten! . . .) WA I 6, 191-192 WA: R Reinschrift egh ohne Titel, 21. 9. 1815	GSA 25/W 898	Goethe- und Schiller-Archiv / Klassik Stiftung Weimar	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-1299228		Sammlung über Steganographie oder Geheimschriften (Buchauszüge).	La 120 Bü 629	Hohenlohe-Zentralarchiv Neuenstein	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-1105837	1775-08-16	Predikt (Ansetzungssachtitel von Bearbeiter/in)	Slg. Darmstaedter 2d 1770: Langdon, Samuel, Blatt 1-8	Staatsbibliothek zu Berlin. Handschriftenabteilung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-2060-BE-165-439854	1934	"Unbekannter Verfasser, ""Bacons Geheimschrift"", Mitgliederversammlung der Bacon-Gesellschaft im Nietzsche-Archiv, Vortrag von Otto Altpeter, ""Allgemeine Thüringische Landeszeitung Deutschland"", 23.04.1934, Weimar. - ""Thüringische Staatszeitung"", 23.04.1934, Weimar"	GSA 165/946	Goethe- und Schiller-Archiv / Klassik Stiftung Weimar	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-000015-0-687234	1949/1951	Ernst an Räber, Anton; Korrespondenz, En campagne; Fribourg (Titel)	SLA-Raeber-E-01-C-03-d-02-DIVE/8, Kasten 130	Schweizerisches Literaturarchiv (SLA)	excluded		noise: modern correspondence, no cipher term in title beyond query keyword coincidence
http://kalliope-verbund.info/CH-002121-2-991170517367705501	1557-11-06	Brief an [Joannes Gervicus et Diethelmus Blaureri] / von Ambr[osius] Blaurerus	VadSlg Ms 37:168	St. Gallen KB Vadiana	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/CH-002121-2-991170501387405501	1893/1923	Geheimzeichen in Aktien und Obligationen: Schlüssel und Papierausweise von Orell Füssli	SWA PA 600 b D 0-0-1	Basel UB Wirtschaft - SWA	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-182253		Brief von Corona Schröter an Friedrich Hildebrand von Einsiedel,	KK 4566	Goethe-Museum Düsseldorf, Anton-und-Katharina-Kippenberg-Stiftung	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
http://kalliope-verbund.info/DE-611-HS-4524704	1960-01-15	Geheimzeichen: Weisses Taschentuch?	S. Schöpper 1960/01/15 (Einheit)	Universitäts- und Landesbibliothek Münster	excluded		noise or not correspondence (foliation/numeral/medieval-ms sense of query term, or unrelated hit)
