host	query	raw_count	kept	exclusion_reason
archivesetmanuscrits.bnf.fr	lettre avec chiffres (control)	976	1	control query: finds Clairambault 1067 (M18, Brienne to the Queen of Poland) -- confirms the search route before scoring anything, not scored again here
archivesetmanuscrits.bnf.fr	chiffrée	180	71 captured (pagination-capped, 2 of 2 pages served)	noise/context filters applied after capture; see M22-M34
archivesetmanuscrits.bnf.fr	déchiffrement	1291 reported	815 captured (pagination-capped at 4 pages of 50, site UI does not serve more regardless of total)	noise/context filters applied after capture; see M22-M34
archivesetmanuscrits.bnf.fr	contre-chiffre	317 reported	17-52 captured across two capture passes (pagination-capped at 7 pages of 50)	noise/context filters applied after capture; see M22-M34
archivesetmanuscrits.bnf.fr	cifra	9	9	all captured (single page); none survived noise/context filters as new (Italien 1270 Bellaso cipher treatise set aside as a technical work, not correspondence)
archivesetmanuscrits.bnf.fr	cifre	7	7 (0 in second capture pass)	all captured; noise (folio-number "cifra"/arithmetic uses in Latin/Italian mss)
archivesetmanuscrits.bnf.fr	cifrato	1	1	single hit, noise (not correspondence)
archivesetmanuscrits.bnf.fr	zifra	1	1	single hit, noise (not correspondence)
archivesetmanuscrits.bnf.fr	cifrada	0	0	genuine zero, term reachable and other Spanish/Portuguese terms return hits
archivesetmanuscrits.bnf.fr	Ziffer	0	0	genuine zero
archivesetmanuscrits.bnf.fr	Geheimschrift	0	0	genuine zero
archivesetmanuscrits.bnf.fr	(merged, deduplicated by ark, Gallica-flagged, noise/context-filtered)	894 unique arks captured	189	noise/pagination/correspondence-context filters (regex: chiffres arabes/romains, pagination, foliotation, numérotation, cotation, microfilm, reliure, estampille dropped; lettre/dépêche/ambassad-/secret/correspond-/roi/duc/cardinal/reine/instructions/négociat-/envoyé/ministre/cour/prince/comte/marquis/chevalier/espion/intercept/vice-roi required)
archivesetmanuscrits.bnf.fr	(Français 2900-3999 "Recueil de lettres" cluster identification)	~50 of the 189	0 (already excluded)	fetched item pages directly to read parent-volume breadcrumb (search-result snippets omit it for this fonds); 8 sample items all landed Français 3012-3675, confirming the whole cluster falls inside the already-established Français 3005-3993 exclusion (second pass, 24 Sept: Tomokiyo's Charles-IX/Henri-III and Mémoires-de-la-Ligue catalogue articles, Bourdeau's matching bourdeau-named:fr.3xxx convention) -- not re-scored
archivesetmanuscrits.bnf.fr	(solver-repo / DECODE exclusion of remaining candidates)	15 candidates below Français 3005 or in other fonds	13	Baluze 188 (DECODE record 2768, status Decrypted) dropped; Espagnol 336 (Bourdeau's solved segura1596/ + working lebel1593/, same shelfmark, whole-volume exclusion) dropped; Portugais 33 kept (in Bourdeau's raw unfiltered SRU scrape sru_chiffre_desc.json but not his curated bnf_candidates.txt)
gallica.bnf.fr	SRU / Pagination reachability probes (source 2: Arsenal/Mazarine/Institut dc.source sweep)	n/a	0	unreachable this session: curl (52) "Empty reply from server" on 3 attempts across 2 endpoints; /__agentproxy/status shows no gallica.bnf.fr entries in recentRelayFailures (only archivesetmanuscrits.bnf.fr tunnel resets logged there) -- looks transient/network-side, not a proxy denial or a Gallica challenge page; stood down per the one-retry-after-a-pause rule, not retried further. Source 2 only partly covered: 5 Arsenal rows (M22, M23, M24, M25 x2) found via archivesetmanuscrits.bnf.fr's own Arsenal/Archives-de-la-Bastille department filter instead. Mazarine and Institut/Godefroy not swept.
