query_term	referenceCode	date	objectType	type	hierarchy	caption	note	onlyDigitisedMaterials	decision	kind
chiffer	SE/RA/221/2210.02/10/R/9	1914 - 1919	Record	Dossier	Utrikesdepartementet med föregångare / Utrikesdepartementet 1902 års dossiersystem / Utrikesdepartementet och beskickningarna / Chiffern	Chiffer 1912		False	dropped	
chiffer	SE/RA/221/2210.02/84/F/5	1872 - 	Record	Dossier	Utrikesdepartementet med föregångare / Utrikesdepartementet 1902 års dossiersystem / Frankrike / Skatt och accis	Kommersiellt chiffer		False	dropped	
chiffer	SE/RA/221/2210.02/10/R/4	1905 - 1917	Record	Dossier	Utrikesdepartementet med föregångare / Utrikesdepartementet 1902 års dossiersystem / Utrikesdepartementet och beskickningarna / Chiffern	Chiffer 1905		False	dropped	
chiffer	SE/RA/221/2210.02/10/R/19	1919 - 	Record	Dossier	Utrikesdepartementet med föregångare / Utrikesdepartementet 1902 års dossiersystem / Utrikesdepartementet och beskickningarna / Chiffern	Utländskt chiffer		False	dropped	
chiffer	SE/RA/1207/02/F/F 7/035	1914 - 1938	Record	Dossier	Socialdepartementet / Socialdepartementet. Hemliga arkivet / HANDLINGAR ORDNADE EFTER ÄMNE / PM och betänkanden 	Handlingar ang. chiffer samt chiffernycklar	u.å., 1914, 1937-1938	False	dropped	
chiffer	SE/RA/720290/I/12/2/153		Record	Volume	Esplunda arkiv / Huvudserie / Excellensen greve Adolf Göran Mörners och hans makas handlingar / Inkommande brev	Brev från privatpersoner: Welin - Östergren, brev i chiffer och icke undertecknade		False	kept:R5	cryptanalysis
chiffer	SE/RA/721594		RecordSet	Fonds		Överstelöjtnant Carl Herslows anteckningar rörande ryska chiffer under 1. världskriget		False	dropped	
chiffer	SE/KrA/0418/001/264	1844 - 	Record	MapDrawing	Fanritningar / I: Modellritningar	"Namnchiffer. ""Ritning å Kongl: Maij= chiffer att brodera i hörnen å Arméens fahnor."" Oskar I:s monogram."		False	dropped	
chiffer	SE/KrA/0418/001/265	1844 - 	Record	MapDrawing	Fanritningar / I: Modellritningar	"Namnchiffer. Oskar den I:s monogram. ""Ritning å Kongl. Maij= chiffer att brodera i hörnen å Arméens fahnor."" ""Gillad den 28 Junii 1844 J:P: Lefrén."""		False	dropped	
chiffer	SE/RA/720290/I/01/D/14		Record	Volume	Esplunda arkiv / Huvudserie / Handlingar som år 1881 förtecknats av fil. dr V. Kôersner / Handlingar rörande Sveriges historia åren 1718-1809	Handlingar som legat i Utrikesexpeditionens vård. Handlingar rörande ryska kriget. Svenska sändebudet i Peterburg apostiller i chiffer till K.M:t. Handlingar rörande Gyllenstiernska ätten s.k. Danzige		False	dropped	
chiffer	SE/RA/720085/Y/052		Record	Dossier	Bergshammarsamlingen / Manuskript och avskrifter i historiska, litterära m.fl. ämnen	Hovartiklar 1687;...la vie d'une partie de plus illustres hommes de la Suéde...; Hennes Maj:ts Drottning Kristinas abjurationsprocess eller religionsavfall...1655; Domini Erici Sparre senatoris regnii		False	dropped	
chiffer	SE/RA/720807/10/~/20	Odat. - 	Record	Volume	Stafsundsarkivet / Manuskript- och avskriftssamlingen / 		CHIFFER	False	dropped	
chiffer	SE/RA/230/230019.2/C2/16	1945 - 	Record	Volume	Beskickningsarkiv / Beskickningsarkiv London / Avgående diarier		Myndigheter och chiffer	False	dropped	
chiffer	SE/KrA/0734/A/001:H/B/14	1945 - 	Record	Volume	I. militärbefälsstaben / Södra militärområdesstaben / I. militärbefälsstaben / Operationsavdelningen / Utgående (i viss utsträckning även inkommande) skrivelser		Säkerhetstjänst. Krypto. Chiffer	False	dropped	
chiffer	SE/KrA/0200/007:H/F VI/18	1918 - 	Record	Volume	Generalstaben / Utrikesavdelningen / Telegram från första världskriget		Bt. Engelska telegram i chiffer.	False	dropped	
