type	term_or_id	object_category_raw	holding_institution_archival	narrowed_total_HandschriftBriefeUrkundeArchivgut	kept	drop_reason
term	chiffr*	Buch 7057, Biogramm 40, Handschrift 12, Datensatz 6, Druckgraphik 6, Musikalie 5, Archäolog.Obj. 1, Briefe 1, Skulptur 1, Zeichnung 1	none (BSB/HK/UBE/Regensburg/Augsburg/Passau/KOENIGmuseum/Archäolog.Staatssamml./Monacensia/Bamberg only)	13	0	all 12 Handschrift+1 Briefe hits opened or already known: 4x Prey Cgm 2290 vols (heraldry, round1), Bonifatius VIII/Johannes Andreae Clm 2934, Avicenna Clm 13017, medical Clm 13033, Clm 13111, Cgm 10 Hohes Lied, "Eine Jugend in Deutschland" (20th c., out of period), Stadtfraubas BSB10616697 (round1 noise), Reventlow MON-HSS-...1106 (round1 noise), E.T.A.Hoffmann/Soden SBB-ETA-...5794 (round1 noise)
term	Chiffre*	Buch 6776, Biogramm 29, Handschrift 9, Druckgraphik 6, Musikalie 5, Datensatz 4, Archäolog.Obj. 1, Briefe 1, Skulptur 1, Zeichnung 1	none (subset of chiffr* institutions)	-	0	case-variant subset of chiffr* (9 of 12 Handschrift hits); no new institution or category beyond chiffr*, not re-narrowed
term	Geheimschrift*	Buch 605, Biogramm 8, Briefe 3, Handschrift 3, Druckgraphik 1, Musikalie 1	UBE Erlangen-Nürnberg 3	6	0	3 UBE hits are the already-nominated BV1 (x2, UBE-TRE-...16364/...16370) and TR-1 (UBE-TRE-...17900); remainder Codex Iustiniani Clm28178 (bfk/ownership-mark noise, round1), Amalarius Bamberg Msc.Lit.131 (bfk-Geheimschrift scribal convention, round1), music ms FFV-MUS-...9251 (round1)
term	dechiffr*	Buch 770, Biogramm 6, Datensatz 3, Handschrift 1	Staatsbibliothek Bamberg 1	1	0	Boethius De institutione arithmetica, Staatsbibliothek Bamberg Msc.Class.6 (SBB-KHB-...0081), end 10th/early 11th c.: catalogue's own content list names a "Brief über das griechische Zahlenalphabet (sog. Bamberger Kryptogramm)" and separately "Dechiffrierung eines Schriftstückes in einem Brief an einen schottischen Gelehrten namens Colgu" -- a named, already-described medieval philological curiosity, catalogue text itself uses "Dechiffrierung" for its content (drop-as-deciphered per brief); not correspondence, not an unsolved-cipher target
term	Ziffer*	Buch 20417, Biogramm 73, Druckgraphik 49, Geld 38, Karte 33, Fotografie 27, Musikalie 25, Kunsthandwerk 24, Technisches Objekt 19, Tondokument 19, Handschrift 18, Alltagsgegenstand 9, Datensatz 7, Einblattdruck 6, Planzeichnung 5, Briefe 4, Zeichnung 4, Kleidung/Textilien 2, Malerei 2, Archäolog.Obj. 1, Geografikum 1, Urkunde 1	Staatsarchiv Augsburg 1, Stadtarchiv München 1, Stadtarchiv Wasserburg am Inn 1	23	0	bare German word for "digit/numeral", overwhelmingly noise as round1 predicted for "cifra"; Urkunde hit = Stadtarchiv Wasserburg Akte AWA-AKT-...8922, "Ziffer" = seal's sundial dial-face ("Zifferblatt") in a guarantee-bond description, not cipher; Staatsarchiv Augsburg hit = a map (Karte, GDA-LAA-...PL387), Stadtarchiv München hit = a print (Druckgraphik), both outside Handschrift/Briefe/Urkunde/Archivgut narrow, not opened (category alone rules out correspondence)
term	Zifferschrift	Buch 91	none	0	0	100% Buch (printed-book OCR), no Handschrift/Briefe/Urkunde/Archivgut hits at all
term	cifr* (incl. cifra)	Buch 1548, Handschrift 73, Briefe 2, Einblattdruck 2, Musikalie 2, Karte 1	none (BSB/Regensburg/Augsburg/Passau only)	-	0	Briefe(2) opened: printed 1774 mineralogical travel-letters volume (BSB-MDZ-...3055, "Briefe" = published-correspondence genre, not manuscript), Stadtfraubas BSB10616697 (round1 noise, dup); Handschrift(73) not opened individually -- 0 archival institutions present and round1 already established this exact noise class (9 BSB Latin liturgical/legal mss where "cifra" = page/chapter numeral), same host+corpus, sampling not repeated per quality-over-quantity
term	"en chiffre"	Buch 130	none	0	0	100% Buch, identical shape to round1's own "en chiffre" run (130 raw / 0 narrowed); search does not enforce phrase adjacency (round1 caveat), quoting bought nothing
term	occult*	Buch 5880, Handschrift 177, Einblattdruck 21, Biogramm 16, Musikalie 5, Briefe 2, Datensatz 2, Druckgraphik 1	none (BSB/Regensburg/Augsburg/HK/Passau/Freising/Domspatzen/UBE only)	-	0	very noisy (Latin occultus/occulte, common word); Briefe(2) opened: 17th c. printed theological pamphlet "Send-Schreiben..." (BSB-MDZ-...8541), printed "Commercium Epistolicum Norimbergense" (BSB-MDZ-...4279) -- both printed editions of published correspondence, not manuscripts; Handschrift(177) not opened individually, 0 archival institutions present
term	"notis arcanis"	Buch 16	none	0	0	100% Buch
