name	shelfmark_or_ref	date	sender	recipient	source	status_at_source	exclusion_reason
Livingston to Jefferson, coded passages	Jefferson Papers 01-40-02-0352 (RC, 2d RC, Dupl.)	2 June 1803	Robert R. Livingston	Thomas Jefferson	founders.archives.gov	2d RC and Dupl marked "not deciphered" by the recipient; primary RC has TJ's own interlinear decipherment	found-solved: coded via Weber's identified Jefferson-Livingston diplomatic code; TJ's own RC copy already carries the decipherment, printed in the edition
Livingston to Jay, coded passages	Jay Papers 01-02-02-0258 (LS/triplicate LS/LbkCs)	1 Nov 1781	Robert R. Livingston (Sec. for Foreign Affairs)	John Jay	founders.archives.gov	triplicate LS and letterbook copies marked "partly in code, not decoded"	found-solved: YESCA cipher (WE033), decoded from the sibling LS that was deciphered on receipt; full text printed in the edition
Livingston to Jay, coded passage	Jay Papers 01-02-02-0272	28 Nov 1781	Robert R. Livingston (Sec. for Foreign Affairs)	John Jay	founders.archives.gov	ALS "partly in code, not decoded"; JJ endorsed "not decd."; coded passages omitted from the 1890s Johnston and Wharton printed editions	found-solved: code lost at sea with William Palfrey, JJ never could decode it, but editors recovered the plaintext from Livingston's own surviving draft ("Decoding based on Dft, with additional decoding by the editors")
Livingston to Jay, coded passage	Jay Papers 01-02-02-0254	20 Oct 1781	Robert R. Livingston (Sec. for Foreign Affairs)	John Jay	founders.archives.gov	ALS "Partly in code, not decoded... illegible to JJ"; endorsed "not decd."	found-solved: same lost Palfrey code; editors supplied the decoded passage from Livingston's draft (Dft, NHi)
Livingston to Adams, Lovell-cipher passages	Adams Papers 06-12-02-0044	20 Nov 1781	Robert R. Livingston (Sec. for Foreign Affairs)	John Adams	founders.archives.gov	8 passages in the Lovell cipher; JA's interlineations show he deciphered only the 2d, 3d, 5th and part of the 6th (enciphering errors defeated him on the rest)	found-solved: editors supplied the enciphered-passage text for the whole 4th paragraph from Livingston's surviving draft (NHi)
Madison to Jefferson, "Buried Cipher"	Madison Papers, letter of 22 Apr 1783	22 Apr 1783	James Madison	Thomas Jefferson	founders.archives.gov (via web search)	Madison heavily cancelled the coded passage and wrote "Undecypherable" in the margin	found-solved: Irving Brant (Madison biographer, 20th c.) was first to penetrate the cancellation and decode it; a well-known named case in Madison scholarship
Jefferson to Madison, coded passage	Jefferson Papers, letter of 14 Feb 1783	14 Feb 1783	Thomas Jefferson	James Madison	founders.archives.gov (via web search)	Madison noted in the margin "See Dictionary F & English" for a passage he did not decipher at the time	not pursued: well-documented Jefferson-Madison "Code No. 5" dictionary cipher (Weber 1979), one of the most thoroughly studied Founding-era codes; no indication any passage of it is unread in the modern edition
Governor Pettus / Jefferson Davis / Pemberton Vicksburg-cipher telegrams	Mississippi Dept. of Archives and History, Governor Pettus Papers	1863	Jefferson Davis, J. C. Pemberton	Gov. John J. Pettus	web search (cwrgmblog.org)	catalogued as coded/ciphered Confederate telegrams re: the Vicksburg campaign	found-solved: Vigenere ("Vicksburg cipher"), key "Manchester Bluff"; already deciphered and published by the Civil War & Reconstruction Governors of Mississippi (CWRGM) digital edition project
Huntington "Decoding the Civil War" Union telegram ledgers	Huntington Library, Eckert/US Military Telegraph collection	1862-1867	various Union officers/War Dept.	various	web search	~16,000 telegrams, ~1/3 in code, crowd-transcribed 2016-17	excluded per brief: same corpus as this repo's existing ciphers/eckert-1862 and ciphers/eckert-1864 targets, already worked (status: partial)
Thomas Hutchinson letterbook cipher passages	Massachusetts Archives, SC1/series 45X, vols. 26-27	1760s-1770s	Thomas Hutchinson (colonial Governor of Massachusetts)	various	web search (colonialsociety.org)	private cipher used by Hutchinson to protect his letterbooks from prying eyes	found-solved: Malcolm Freiberg decoded the passages using Hutchinson's own key, supplied by Hutchinson himself in vol. 27 (Mass. Archives, SC1/series 45X, 27:79); published with footnotes in the Colonial Society of Massachusetts's edition of Hutchinson's correspondence
Telegram in cipher to Jefferson Davis	Gilder Lehrman Institute, GLC00806	not established this pass	not established this pass	Jefferson Davis	web search	catalogue title only, item page not read	not pursued: host (gilderlehrman.org) outside this lane's authorised host list and returned HTTP 403 to both WebFetch and curl on the one attempt made
"Copies of Copies: British-Intercepted Letters During the Revolutionary War"	LOC Manuscript Division blog post, Sept 2025	n/a	n/a	n/a	blogs.loc.gov (attempted)	blog post about intercepted Revolutionary War letters; content not read	blocked: blogs.loc.gov returned HTTP 403 to curl and WebFetch and hit a Cloudflare challenge domain the egress proxy refuses to reach on the one browser-tool attempt made; not retried per the good-citizen rule
