catalogue	reference	title_or_desc	date	held_by_or_source	verdict	cipher_note	decipher_note	digitised	edition_risk	score
TNA Discovery	SP 99/24/251	Letter in cipher from 159.	[? 1622]	The National Archives, Kew	survives	? Wotton's hand			not assessed	
TNA Discovery	SP 78/111/135	Folio 300: Letter in cipher.	1644	The National Archives, Kew	survives					
TNA Discovery	SP 78/111/93	Folio 212: Letter entirely in cipher.	1642 Sept 20/30	The National Archives, Kew	survives					
TNA Discovery	SP 84/130/27	Folio 82: Portion in cipher concerning Mansfelt.	[1625 c Nov]	The National Archives, Kew	survives			false	medium	28
TNA Discovery	SP 78/113/123	Folio 189: Letter mostly in cipher - deciphered.	1657 May 18/28	The National Archives, Kew	survives					
TNA Discovery	SP 84/161/66	Folio 169: Letter in cipher (or shorthand.)	[1656] July 18	The National Archives, Kew	survives			false	low-medium	28
TNA Discovery	SP 77/6/229	Folio 229: Geo. Kendall to Cecil (in cipher).	1600 Nov 21/Dec 1	The National Archives, Kew	survives			false	medium	28
TNA Discovery	SP 36/74/1/60	Folio 60. Z Ball to [unknown]. In cipher.	1745 Nov 19	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 78/83/62	Folio 147: Louis XIII to Cesy, partly in cipher.	1628 Aug 31/Sept 10	The National Archives, Kew	survives			false	medium	29
TNA Discovery	SP 78/113/57	Folio 106: Despatch largely in cipher from [Wm. Swyfte].	1657 Feb 24	The National Archives, Kew	survives					
TNA Discovery	SP 81/46/273	Folio 273: Portion in cipher concerning Prince Palatine and France.	[? 1639 early]	The National Archives, Kew	survives			false	medium	28
TNA Discovery	PRO 30/25/6	Letter, partly in cipher, without name or address; dated, Venice.	1634 Aug. 26	The National Archives, Kew	survives					
TNA Discovery	SP 106/40	Parchment sheet entitled 'For writing in cipher', printed with manuscript annotations.	18th century	The National Archives, Kew	survives					
TNA Discovery	SP 81/37/284	Folio 284: Duplicate of paper sent by Mr. Stanning in cipher.	[? 1631]	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 81/44/225	Folio 225: Roe to Secretary of State, with postscript in cipher.	1638 July 15/25	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 77/32/289	Folio 289: Nicholas to Sir L.R. at St. Sebastian - in cipher.	1659 Aug 6/16	The National Archives, Kew	survives				not assessed	
TNA Discovery	SP 78/69/91	Folio 214: Doncaster to Calvert - and duplicate, with advertisement in cipher (f.222).	1621 Sept 24	The National Archives, Kew	survives				not assessed	
TNA Discovery	PRO 30/50/70/8	Letter, partly in cipher. Apparently an enclosure to PRO 30/50/70/7	1600 Jan 14	The National Archives, Kew	survives	API error on lookup			not assessed	
TNA Discovery	SP 34/24/86	Folios 153-154. [?] to [?], dated at London on 10 Apr, and partly in [?cipher]:...	[?Anne]	The National Archives, Kew	survives					
TNA Discovery	SP 34/10/120A	Folio 218. Extract from a letter of Baron Malknecht to [?], partly in cipher. (French)....	1709 [Mar]	The National Archives, Kew	survives			false	medium	27
TNA Discovery	SP 54/19/98B	[?] from Seville, partially in cipher, concerning Stanhope's negotiations with Spain and also mentioning an...	1729 Oct 20	The National Archives, Kew	survives	2 papers French	cataloguer notes a decipherment/decode present		not assessed	
TNA Discovery	SP 34/24/87	Folios 155-156. [?] to [?], dated at London on 20 Feb, and partly in [?cipher]:...	[?Anne]	The National Archives, Kew	survives					
