host	query	total	kept_or_excluded	title_or_note	url
fbc.pionier.net.pl	q:szyfr (word, ipp=5)	301	control	Type facets: teksty 272, obrazy 12, pozostałe 12, audio 3, muzykalia 1, wideo 1; Language: polski 283, angielski 27, łaciński 5, francuski 4, niemiecki 3; confirms query engine returns real title-matched hits with <em> highlighting for a common word, not a broken/no-op search (cf. Huntington CONTENTdm precedent in CLAUDE.md)	https://fbc.pionier.net.pl/results?action=AdvancedSearchAction&type=-3&val1=q:szyfr
fbc.pionier.net.pl	q:"listem szyfrowym" (phrase)	0	excluded	no hits	-
fbc.pionier.net.pl	q:"szyfrem pisany" (phrase)	0	excluded	no hits	-
fbc.pionier.net.pl	q:"szyfrem pisane" (phrase)	0	excluded	no hits	-
fbc.pionier.net.pl	q:"pismo szyfrowane" (phrase)	3	excluded	3 newspaper/journal OCR hits (Kurjer Wileński 1937, Gazeta Lwowska 1883, Przegląd Bibljoteczny 1950) -- the phrase appears in running prose, not as a manuscript description	-
fbc.pionier.net.pl	q:"list szyfrowany" (phrase)	3	excluded	3 newspaper OCR hits (Przegląd Wileński 1912, Gazeta Lwowska 1880 x2) -- same pattern	-
fbc.pionier.net.pl	q:"listy szyfrowane" (phrase)	1	excluded	1 newspaper OCR hit (Pamiętnik Akcji Letniej 1938)	-
fbc.pionier.net.pl	q:"depesza szyfrowa" (phrase)	1	excluded	1 newspaper OCR hit (Słowo Polskie 1899)	-
fbc.pionier.net.pl	q:"depesze szyfrowe" (phrase)	1	excluded	1 newspaper OCR hit (Kurjer Wileński 1933)	-
fbc.pionier.net.pl	nierozszyfrowany / "nie rozszyfrowany"	33	excluded	not triaged individually past sampling; dominated by 20th-c. newspaper/journal OCR ("nierozszyfrowany szyfr" as a generic phrase in press articles), no manuscript hit surfaced in the sample checked	-
fbc.pionier.net.pl	niezdeszyfrowany / deszyfraż (word)	0	excluded	no hits for either term	-
fbc.pionier.net.pl	q:"klucz do szyfru" (phrase)	8	excluded	8 hits, all 20th-c. (KARTA Institute intelligence notes, a 2001 informatics thesis, a 1967 literary-satire article, several newspapers) -- no pre-1900 manuscript	-
fbc.pionier.net.pl	q:"notis arcanis" (phrase, Latin)	0	excluded	no hits	-
fbc.pionier.net.pl	q:"in cifra" (phrase)	10	excluded	10 hits, all modern scholarly articles or unrelated (a 1621 music print with "in cifra" as a musical-notation term, a 1922 Galician statistics pamphlet on Polona, several journal articles using "cifra" in Spanish/Portuguese/Italian senses unrelated to cipher) -- no cipher correspondence	-
fbc.pionier.net.pl	q:"en chiffre" (phrase)	181	excluded	not triaged past the total (French-language scholarly/journal corpus dominates; would need a further pass with correspondence-specific narrowing)	-
fbc.pionier.net.pl	q:"cyfrą pisany" / "cyfrą pisana" / "cyfrą pisanym" / "cyframi pisany" / "cyframi pisanego" / "cyframi pisanej" / "cyframi pisanym" (phrase, 7 word-form variants)	3-7 each	1 kept-then-excluded, rest noise	Every variant surfaces the SAME genuine hit (see below) plus 2-6 unrelated OCR noise rows (1869 Kurjer Warszawski, a 1926 hunting-superstitions book, a 1938 student-ball invitation, a 1932 Kuryer Litewski page) -- confirms the search engine is stemming/fuzzy-matching these forms together, not finding distinct items	-
fbc.pionier.net.pl	q:"list w cyfrach" (phrase)	1	excluded	1 newspaper OCR hit (Gazeta Lwowska 1813)	-
fbc.pionier.net.pl	q:"korespondencja szyfrowa" / "pismem cyfrowym" / "szyfrowanym pismem" / "Extranea IX Polen" (phrase)	0 each	excluded	no hits for any of the four	-
fbc.pionier.net.pl	q:Radziwiłł szyfr (word AND, unquoted)	14	excluded	all full-text OCR co-occurrence noise in unrelated 19th/20th-c. newspaper pages (Gazeta Lwowska, Kurjer Lwowski, Słowo Polskie, a 2026 Patent Office bulletin) -- "AND of two words" in FBC's full-text index has no correspondence-narrowing effect, confirms this query shape is unusable for this project without a phrase or field restriction	-
fbc.pionier.net.pl	q:"cyframi pisanego" (the genuine hit, isolated)	-	EXCLUDED as edition	„Copia listu od Jego Mci Pana Podkomorzego lwowskiego (cyframi pisanego) posła wielkiego JKMci do Porty Ottomańskiej” -- Aleksander Trzebiński (Chamberlain of Lwów, envoy to the Ottoman Porte) to Hetman Stanisław Koniecpolski, dated Kararagata(?), 6 Feb 1634. Type: rękopis (per repcyfr.pl's own metadata, not exposed in FBC's Type facet). Archive: Riksarkivet (Stockholm), Extranea IX Polen, sygn. 140. repcyfr.pl id 15343. Image checked (PDF, 2pp, copy-free download): the leaf is entirely PLAIN Polish cursive text, headed "Copia listu ... (cyframi pisanego)" -- i.e. this IS a period chancellery decipherment/plaintext transcript of a letter that was originally in cipher, not the ciphertext itself. Excluded per brief rule: catalogue/content already gives the plaintext, no cipher symbols on the digitised leaf.	https://repcyfr.pl/dlibra/doccontent?id=15343
repcyfr.pl	OAI-PMH ListSets	-	route confirmed	15 sub-collections under Riksarkivet (Extranea IX Polen 130-148) + 3 under Centralne Państwowe Archiwum Historyczne Ukrainy we Lwowie (f.13 op.1 sygn. 34/36/81); OAI base https://repcyfr.pl/dlibra/oai-pmh-repository.xml works with plain curl, no bot-challenge	-
repcyfr.pl	OAI ListRecords, set=...:riksarkivet:extraneaixpolen133	51	excluded (harvest)	all 51 records' dc:title/dc:description checked for szyfr/cyfr/deszyfr/cifra/chiffre roots -- 0 hits	-
repcyfr.pl	OAI ListRecords, set=...:riksarkivet (top-level, includes most but apparently not all sub-collections -- 130-148 individually mostly returned 0 via OAI despite being populated per the site's own nav, a set-membership staleness flagged as a caveat)	387	excluded (harvest)	all 387 records' dc:title/dc:description checked for szyfr/cyfr/deszyfr/cifra/chiffre roots -- 0 hits (record 15343 above is NOT among these 387, confirming the OAI set index is incomplete/stale relative to the live site for this collection)	-
repcyfr.pl	classic dlibra results page (action=AdvancedSearchAction, val1=q:szyfr)	-	route not found	page loads (200, no bot-challenge) but returns no results markup in either curl or a rendered Playwright session (0 XHR/fetch calls captured) -- repcyfr.pl's own site search could not be queried this budget; FBC's central index (which does cover repcyfr.pl, see above) was used instead	https://repcyfr.pl/dlibra/results?action=AdvancedSearchAction&type=-3&val1=q:szyfr&p=0
polona.pl	API/route reverse-engineering (continuing the Z-sweep's unfinished attempt)	-	blocked, route not found	/api/search-service/search/advanced-form (GET) gives the full field schema: ANY-field target "ANY" name "any"; documentTypes facet values include "Rękopisy" (manuscripts) confirming a manuscript-only filter exists once the endpoint is found. /api/search-service/search/search exists (GET returns 400, not 404/405; POST returns 405) but no parameter shape tried (any=, query=, q=, JSON body) was accepted. /api/search-service/search/suggest?query=TERM works and returns grouped autocomplete (title/keywords/creator/subject) but not full search results ("Szyfr Stanisława Lubienieckiego" surfaced this way -- a 2019 scholarly article about a 17th-c. Lubieniecki cipher, not a digitised primary source, not pursued). Browser automation (Playwright, headless): the on-page "Zaawansowane" (advanced search) modal opens after dismissing a cookie-consent overlay first (new finding: the earlier Z-sweep attempt likely failed partly because of this consent banner), but a persistent `#main-loading` overlay mask and, once the modal is open, an `ngb-modal-window` intercept every fill/click attempt on the modal's own criterion input and submit button within an 8-30s wait budget across 3 attempts -- not resolved this session.	https://polona.pl/api/search-service/search/advanced-form
