term	date_bucket	ark	shelfmark	catalogue_text	resolution
avec chiffres	1500-1599	ark:/12148/cc495202		Français 306 . Nicolas Houel, Histoire de la reine Artémise	"not cipher: Français 306, Nicolas Houel Histoire de la reine Artemise (literary work) -- ""reine"" false positive"
avec chiffres	1500-1599	ark:/12148/cc493855/cd0e354	Français 2933	11 Lettre en chiffres, et en italien, de « JOHANNES, cardinalis de Salviatis,... Die XVI octobris 1525 ».	KEPT survivor M35: Français 2933 no.11, cipher letter of cardinal Salviati, 16 Oct 1525 -- not in either solver repo, not in CATALOG.md/QUEUE.md, no key/decipherment named
avec chiffres	1500-1599	ark:/12148/cc49442s/cd0e173	Français 2988	8 Copie des « articles secretz » conclus entre le pape et les ambassadeurs du roi de France, au sujet du mariage de Mme d'Urbino, nièce de Clément VII, avec Henri d'Orléans (plus tard Henri II). « Fait à Albine, le venredi IXe de jung M.V.C.XXXI ».	"not cipher: Français 2988 no.8, ""articles secretz"" (secret articles, not ciphertext) -- also already in CATALOG.md line 191 ""Earlier"" list (""misplaced English cipher in BnF fr.2988"")"
avec chiffres	1500-1599	ark:/12148/cc504266/cd0e37708		Français 3995 . Recueil de chiffres avec leurs clefs, de l'année 1580 à l'année 1595. Ces chiffres sont principalement ceux employés par le duc de Nevers et ses correspondants.	"flagged, not nominated: Français 3995 ""Recueil de chiffres avec leurs clefs...du duc de Nevers"" -- inside the ""Français 3974-3995, Collection Mémoires de la Ligue"" volume named verbatim in the Fourth pass exclusion note (Tomokiyo Mémoires-de-la-Ligue coverage), 2 past the exclusion's stated upper bound of 3993 -- boundary should be corrected to 3995 in QUEUE.md, not a new candidate"
avec chiffres	1500-1599	ark:/12148/cc58099s		Français 5109 . Registre du procès criminel du connétable de Bourbon	"not cipher: Français 5109, ""Registre du proces criminel du connetable de Bourbon"" (a trial register) -- ""connetable"" false positive, no chiffre word"
avec chiffres	1500-1599	ark:/12148/cc58260b		Français 5271 . Formulaire de chancellerie (incomplet du commencement), composé à peu près exclusivement de lettres de rois de France du XIVe et du XVe siècles (de Jean le Bon à Charles VII).	"not cipher: Français 5271, chancery formulary (style manual of royal letters) -- ""lettres""/""rois"" false positive, no chiffre word"
avec chiffres	1500-1599	ark:/12148/cc587094/cd0e296	Français 5761	3 Recueil des négociations « pour le faict de l'empire » recherché par François Ier contre Charles, roi d'Espagne, le futur Charles-Quint, après la mort de l'empereur Maximilien Ier. « Instruction... à ceulx qui vont devers le conte palatin. Messieurs Cordier, conseiller du roy en son grant conseil, et le Sr de La Motheaugroing, l'un des gentilz hommes de la maison dud. Sr, lesquels le roy envoye par devers son très cher et très amé cousin le conte palatin du Rin, prince et electeur de l'empire, après avoir baillé les lectres de creance que led. Sr luy escript, diront par icelles ce qu'il s'ensuit... ». (Fol. 46-50.) « Chiffres desquelz l'on a usé durant le voiage d'Allemagne, faict pour l'empire, deppartiz ainsi qu'i s'ensuit : A monseigneur Cordier et Sr de La Motheaugroing,... A monseigneur de Langjac,... à monseigneur de La Vernade, devers monseigneur de Treves,... Baillé à monseigneur de Lorraine, monseigneur d'Orval, monseigneur de Bazoges, Savonnières, Chasteaubrehant et Salviati, à monseigneur le tresorier Robertet,... à monseigneur de La Guische,... Joachin de Moltzau, devers le marquis de Brandebourg,... Tavannes et de Surie, pardevers le duc de Saxe,... le grant archedyacre de Sens, devers le legat qui est en Allemaigne... maistre François de Bourdeaulx, devers le marquis de Brandebourg ». (Fol. 50-53).	"KEPT survivor M36: Français 5761 no.3, ""Chiffres desquelz l'on a use durant le voiage d'Allemagne"" -- a cipher-assignment key list for the 1519 embassy to the Palatine elector over the imperial election, named correspondents (Cordier, La Motheaugroing) -- not in either solver repo, not in CATALOG.md/QUEUE.md"
avec chiffres	1500-1599	ark:/12148/cc51969r		Français 20974 . Clefs de la correspondance chiffrée de François, duc DE GUISE, avec quelques lettres de lui. (1556).	"already known: Français 20974, ""Clefs de la correspondance chiffree de Francois, duc DE GUISE"" -- this is the exact key register QUEUE.md M17 cites as Tomokiyo's guise.htm source (""fr.20974 no.15... substitution+nulls key""), already in use in this repo"
avec chiffres	1500-1599	ark:/12148/cc102756w		Grec 2489 . Volume composite très hétéroclite : Ptolémée, Almageste ; Plutarque, De fraterno amore ; épitaphes grecques et latines ; Giovanni Aurispa, poème pour Cyriaque d’Ancône ; Procope de Césarée, Sur les monuments ; anonyme, Lettre à l’impératrice Irène Paléologue ; Scholies à Platon ; Théodose de Tripoli, Sphériques ; Geminus [sous le nom de Proclus*], Eléments Astronomiques ; Proclus, scholie à Hésiode ; Ps-Libanios, Les genres épistolaires ; Hierothéos de Céphalonie, Sur le tremblement de terre de 1637 ; Nil Cabasilas ( ?), Sur le syllogisme ; Démosthène, Lettres ; Lucien de Samosate, La Traversée et Zeus Confondu.	not cipher: Grec 2489, Greek literary/scientific miscellany (Ptolemy, Plutarch, etc.) -- no cipher word, false positive
avec chiffres	1500-1599	ark:/12148/cc90886j		Grec 2678 . Recueil (Argonautiques orphiques,Lettres de Chion d'Héraclée, Pseudo-Pythagore, Pseudo-Phocylide,Hésiode, Pseudo-Hésiode,Lucien, Isocrate, Grégoire de Corinthe).	not cipher: Grec 2678, Greek literary recueil (Argonautica Orphica etc.) -- no cipher word, false positive
avec chiffres	1600-1699	ark:/12148/cc110139		italien 2061 . Mélanges. — I. Recueil de 43 lettres (copies), rangées chronologiquement, du 13 oct. 1608 à nov. 1612, dont 26 de frà Paolo Sarpi, savoir : 17 à Castrino, numérotées 1 à 4, 7 à 11, 14 à 18, 22, 23 et 33 (1, 24, 43, 69v, 100v) ; 4 à Gillot, conseiller en la cour, numérotées 19, 25 (extr.), 34 et 41 (54v, 77, 401v, 115); et 5 sans adresse, numérotées 5, 12, 13, 20 et 21 (16v, 38v, 63) ; — 11 lettres adressées à Castrino : 2 par Pietro Giusto, numérotées 32 et 35 (97v et 104v) ; 1 par Pietro Lusco, numérotée 31 (94) ; 2 par Pietro Morali, numérotées 28 et 30 (85 et 92); 5 par Muniti (?) Rut, numérotées 36 à 40 (107v) ; 1 par Pietro Vito, numérotée 29 (87v) ; — une lettre anonyme à Gillot, numérotée 42 (117) ; — 2 lettres d'Antonio Loschi, sans adresses, numérotées 24 et 26 (73 et 79v) ; — 3 lettres anonymes sans adresses, numérotées 6, 27 et 43 (20, 82 et 119v) ; — chiffres employés dans les précédentes lettres (125). — II. Lettre de frà Paolo Sarpi à Giacomo Badoaro, Venise, 30 mars (129). — III. Extraits de lettres « del Spica » (131) et des oeuvres d'Heinsius (133), relatifs principalement à Paolo Sarpi. — IV. Lettre du P. Jean Bourgeois, S. J., au card. Bellarmin, et réponse de ce dernier, 1606 (134). — V. Documents sur Isaac Casaubon : Lettre d'Isaac Casaubon au synode assemblé à Gergovia [Jargeau], avec la réponse dudit synode, 1601 (138) ; — « Medici Londinensis eximii epistola de viri celeberrimi Isaaci Casauboni morbi mortisque causa, edita ex museo Joachimi Morsi, Lugduni Batavorum, excudebat Jacobus Marci » 1619, pièce imprimée, de 4 pages (144) ; — « De morbo et morte cl. viri Isaaci Casauboni narratio », par Raphaël Thorius (146).	"duplicate-risk, not nominated: italien 2061, Paolo Sarpi/Castrino/Gillot correspondence 1608-1612 with ""chiffres employes dans les precedentes lettres"" at f.125 -- same correspondents (Castrino, Gillot) and years as QUEUE.md M3 (BnF Dupuy 111, Sarpi's Castrino cipher, found-solved via Busnelli 1931/1986); needs a check-solved pass against Dupuy 111/Busnelli before any nomination, not done this pass"
avec chiffres	1600-1699	ark:/12148/cc101368p/cN10384	Persan 169	DAVĀʾIR al-H̱AMSA fī ISTIH̱RĀǦ al-ḤURŪF MUẔAMĪRĀT, figure, commentée, où 5 cercles sécants indiquent les valeurs cabalistiques des lettres, avec table des valeurs en chiffres de ces lettres.	"not cipher: Persan 169, cabalistic letter-value table -- ""chiffres"" = numeral/digit sense, same false-positive pattern as round 5's Arabe 2473 ghubar-numeral treatise"
avec chiffres	1600-1699	ark:/12148/cc1249291/cN65596	MS002-MS0053	MS0002 . Livre du trésor des secrets et des ressources des gens de bien	"not cipher: Memonum MS0002, ""Livre du tresor des secrets"" (a book-of-secrets/recipe genre) -- ""secrets"" false positive, no correspondence"
avec chiffres	1700-1799	ark:/12148/cc104971r/cN114212	1-1039	Ms_303 . Recueil. > Ms_303_13 . Lettre à Séguier.	not cipher: Nimes Ms_303, letter to Seguier -- no chiffre word visible in the displayed catalogue text
avec chiffres	1700-1799	ark:/12148/cc104971r/cN114336	1-1039	Ms_303 . Recueil. > Ms_303_16 . Lettre à Séguier.	not cipher: Nimes Ms_303, letter to Seguier -- no chiffre word visible
