id	shelfmark	folio	date	sender	recipient	language	status	neighbour_id	neighbour_folio	neighbour_date	neighbour_status	why_matched	bourdeau_id_hit	bourdeau_volume_hit	aym_id_hit	aym_volume_hit	queue_hit	verdict
9962	ags_est_leg_853	3	1531-10-24	Antonio Muxetula, ambassador in Rome	Charles V, Holy Roman Emperor	Spanish	Non-decrypted	9961	2	1531	Decrypted	adjacent folio (f.3 vs f.2, diff 1); same sender (author) named	muxetula1531[already solved]					excluded:bourdeau-id
9960	ags_est_leg_853	1	1531-9-12		High Commander of León	Spanish	Non-decrypted	9961	2	1531	Decrypted	adjacent folio (f.1 vs f.2, diff 1)	mai1531[already solved];muxetula1531[already solved]					excluded:bourdeau-id
9901	brah_signatura-9/34	6	1525	Luis Fernández		Spanish	Non-decrypted	9898	3	1525	Decrypted	adjacent folio (f.6 vs f.3, diff 3)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9899	brah_signatura-9/34	4	1525	Luis Fernández		Spanish	Non-decrypted	9898	3	1525	Decrypted	adjacent folio (f.4 vs f.3, diff 1)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9896	brah_signatura-9/34	1	1525	Luis Fernández		Spanish	Non-decrypted	9898	3	1525	Decrypted	adjacent folio (f.1 vs f.3, diff 2)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9894	brah_signatura-9/31	25	1524-7	Luis Fernández?		Spanish	Non-decrypted	9895	26	1524	Decrypted	adjacent folio (f.25 vs f.26, diff 1)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9892	brah_signatura-9/31	23	1524-6	Luis Fernández?		Spanish	Non-decrypted	9895	26	1524	Decrypted	adjacent folio (f.23 vs f.26, diff 3)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9891	brah_signatura-9/31	22	1524-6	Luis Fernández?		Spanish	Non-decrypted	9893	24	1524	Decrypted	adjacent folio (f.22 vs f.24, diff 2)	sessa1524[read in part]			catalogue/decode-ranked.md	id	excluded:bourdeau-id
9889	brah_signatura-9/31	20	1524-5	Luis Fernández?		Spanish	Non-decrypted	9890	21	1524	Decrypted	adjacent folio (f.20 vs f.21, diff 1)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
9888	brah_signatura-9/31	19	1524-5	Lope Hurtado de Mendoza		Spanish	Non-decrypted	9890	21	1524	Decrypted	adjacent folio (f.19 vs f.21, diff 2)		sessa1524[read in part]		catalogue/decode-ranked.md	id	excluded:bourdeau-volume
