term	date_bucket	bucket_total	ark	catalogue_text	resolution
en chiffre	1500-1599	1471	ark:/12148/cc84040b	Ms-3333 . Recueil de pièces de vers, la plupart de Philippe Desportes, envoyé, en 1572, à Antoinette Chabot, fille de Philippe, comte de Charny et de Busançais, amiral de France, p	not cipher: Ms-3333 recueil de vers (Desportes poetry) -- 'roi' context-word false positive
en chiffre	1500-1599	1471	ark:/12148/cc853005	Ms-5095 réserve . Psautier français de Claude Gouffier, marquis de Boissy, grand écuyer de France, duc de Roannais	not cipher: Ms-5095 Psautier (psalter) -- 'roi' false positive
en chiffres	1500-1599	446	ark:/12148/cc30390t	Arabe 2473 . كشف الاسرار عن وضع حروف الغبار « Révélation des secrets dans l'emploi des caractères ghobâr », par ʿAlî ibn Moḥammad al-Qalaṣâdî, d'Espagne.	not cipher: Arabe 2473, Arabic treatise on ghubar numerals -- 'chiffre'=digit/numeral sense
avec chiffres	1500-1599	323	ark:/12148/cc139329	Clairambault 813 . Nicolas Berthereau, Etat des gages des officiers de la maison du roi	not cipher: Clairambault 813, gages des officiers (payroll) -- 'roi' false positive
avec chiffres	1500-1599	323	ark:/12148/cc137837/cd0e14521	Clairambault 1111-1230 . I-CXX « Minutes du Recueil pour servir à l'histoire de l'Ordre et des commandeurs, chevaliers et officiers de l'Ordre du Saint-Esprit, par Clairambault, » 	already known: Clairambault 1225 Paget item = M4 (Clairambault 1225, check-solved 23 Sept, open)
avec chiffres	1500-1599	323	ark:/12148/cc13826w/cd0e1559	Clairambault 328 . XVII Règne de François Ier (suite). — 1528, mai-décembre. > Lettre orig. de Guillaume Bochetel au grand-maître et maréchal de France, Montmorency (Montcallier, 2	already known: Clairambault 328 Bochetel-Montmorency 1528 -- QUEUE.md 'Exclusion' line 555, DECODE record, dropped
avec chiffres	1500-1599	323	ark:/12148/cc13826w/cd0e8431	Clairambault 348 . XXXVIII Règne de Henri II. — Années 1555-1557. > Lettre d'Hippolyte d'Este, cardinal de Ferrare, au duc de Guise (3 janvier 1557), avec chiffres.	already known: Clairambault 348 -- part of same Clairambault 296-582 d'Estrades/Guise cluster as M17 (Clair 349); not separately scored
avec chiffres	1500-1599	323	ark:/12148/cc13826w/cd0e8847	Clairambault 349 . XXXIX Règne de Henri II. — Année 1556. — Correspondance des Guise, etc. > Lettres orig. du cardinal de Ferrare [Hippolyte d'Este], au duc de Guise et réponse (no	already known: Clairambault 349 = M17 (check-solved 24 Sept, partial -- Tomokiyo's guise.htm key)
avec chiffres	1500-1599	323	ark:/12148/cc13826w/cd0e9660	Clairambault 351 . XLI Règne de Henri II. — 1557, août-1558, avril. — Correspondance des Guise ; lettres orig. signées :	already known: Clairambault 351 = M2 (check-solved 23 Sept, closed-negative, key-only)
avec chiffres	1500-1599	323	ark:/12148/cc137820/cd0e6771	Clairambault 1067 . X BRUN (DE)-BUX (DU). > Lettre avec chiffres adressée par de Brienne à la reine de Pologne (19 mai 1646).	already known: Clairambault 1067 = M18 (check-solved 24 Sept, open) -- THE CONTROL ITEM
