cs2_id	section	id_and_url	title	date	shelfmark	his_status	image_route	copy_free_or_order	our_match
CS2-01	b,c	catalogue item 7 (catalogue.html)	Hieronimo Ranzo(?) to 'Garbino', intercepted imperial letter	11 Apr 1528	BnF fr. 3022 no. 20 (ff.44r-46v)	attempted, open (~3,900 groups, function-word skeleton only, no key)	Gallica ark btv1b90601558 (full IIIF)	copy-free	none
CS2-02	c	catalogue item 10 (catalogue.html)	Seure (Lisbon) to de Fresne and Henri II, six letters	12-27 Dec 1558	BnF fr. 3151 nos. 39-44	attempted, open (~2,000 signs homophonic+numeral, no decipherment on leaves)	Gallica ark btv1b9059865k	copy-free	none
CS2-03	c	catalogue item 13 (catalogue.html)	Anonymous to the Duke of Mercoeur	c.1586 ('ce xxvj juin')	BnF fr. 15564 f.151	attempted, open (too short for ciphertext-only; not Lasry/Mayenne-Forget/Clair.357 keys)	not captured this pass (BnF fr. 15564, likely Gallica; ark not confirmed)	copy-order (unconfirmed)	none
CS2-04	c	catalogue item 20 (catalogue.html)	Papal-side letters: Sega, Baudouin-Desportes, Mauclerc	14 May-4 Aug 1593	BnF fr. 3984 nos.6,8,88,90; fr.3985 no.7	attempted, open (~5,000 polyphonic glyphs; classifier reads 75-79% held-out; needs >90%)	Gallica ark btv1b9060633d, btv1b90606498	copy-free	none
CS2-05	c	catalogue item 25 (catalogue.html)	Marie de Medicis to Savary de Breves	10 Nov 1610	BnF fr. 3789 no.12	attempted, open (probably Lasry 2021 key fr.3642 but DECODE key photo partial, no French)	Gallica ark btv1b9059628m	copy-free	none
CS2-06	c	catalogue item 30 (catalogue.html)	Lauriere to Nevers, Chalons	9 Jul 1593	BnF fr. 3625 no.55 (f.66r)	attempted, open (19/86 groups read from a rebuilt 12-entry table; syllable groups remain)	Gallica ark btv1b52511322v (canvas 143)	copy-free	none
CS2-07	c	catalogue item 35 (catalogue.html)	Nicolas Desmarets (Marly) to unknown recipient	4 Jun 1710	DECODE R10198	attempted, open (~570-value numerical code, 471 groups; no key found)	DECODE only (thumbnail)	copy-order	none
CS2-08	c	catalogue item 36 (catalogue.html)	Frederick II of Prussia to Louis Michell	28 Dec 1751	KHA Prins Willem V inv.198, DECODE R1955	attempted, open (362 code groups transcribed; likely sibling of solved R1957/Michell1751)	DECODE only (thumbnail)	copy-order	QUEUE.md:1392 (Michell1751 R1957 already found-solved; R1955 is the unread sibling)
CS2-09	c	catalogue item 53 (catalogue.html)	Heinrich Anton von Zeschau to Albin Leo von Seebach, 4 ciphertexts	18 Jan 1841-26 Oct 1843	Saxon Main State Archive Dresden, DECODE R5005-R5008	attempted, open (two-digit syllabary from rubbed pencil; no key on DECODE; ciphertext-only solvers failed)	DECODE only (thumbnail)	copy-order	none
CS2-10	c	catalogue item 76 (catalogue.html)	Unknown to unknown recipient (BL Add MS 32280)	undated	BL Add MS 32280 f.1-2, DECODE R8870	attempted, open (901 numeric groups 1-1647; none of 27 Add MS 32280 key records fit)	BL viewer offline since 2023; DECODE thumbnail only	copy-order	none
CS2-11	c	catalogue item 77 (catalogue.html)	Unknown sender to unknown recipient (BL Add MS 32287)	4 Aug 1728 (docket)	BL Add MS 32287 f.37-40, DECODE R7707	attempted, open (205 invented cursive signs; contemporary codebreaker's own tallies survive but no reading; mono/periodic/Quagmire anneals failed)	BL viewer offline since 2023; DECODE thumbnail only	copy-order	none
