row	archive	signatura	date	sender	recipient	description	image_url_tested	copy_free	kind	status
PP-01	ANTT	PT/TT/LMP/0001	1657-1667	multiple (crown, ministers, ambassadors)	Francisco de Melo, conde da Ponte e marquês de Sande	Composite codex, 592 images, langs por/ita/lat/eng/fre; catalogue note: "cartas assinadas pelo rei/rainha e ministros, copias... cartas cifradas e copias de cartas"; diplomatic archive of Sande's embassy to England for the Catarina de Braganca-Charles II marriage and the 1661 Anglo-Portuguese treaty	https://digitarq.arquivos.pt/fileViewer/7d037cd7783448dfb5fa761cf9301aa5	copy-free	cryptanalysis	stride-sweep 24 Sept 2026 (scDIGI): no children/sub-units catalogued (children.total=0); 50/592 images sampled (stride 12) + 5 cipher_page_detector top hits pulled full-res -- all ordinary Portuguese/Italian/Latin cursive, no cipher-leaf texture found; ~8.4% coverage, cipher folio still not isolated, 542 images unseen
PP-02	ANTT	PT/TT/LMP/0002	1660-1663	King and Queen of Portugal, ministers	conde de Vila Flor; D. Sancho Manuel	Composite codex, 864 images, Portuguese; catalogue note: "cartas assinadas pelo Rei e pela Rainha, cartas cifradas e copias de cartas"; Conselho de Guerra correspondence on troop pay, the Real de Agua levy, army financing	https://digitarq.arquivos.pt/fileViewer/8e069ec117cb4177a02c2f8f79fee294	copy-free	cryptanalysis	stride-sweep 24 Sept 2026 (scDIGI): no children/sub-units catalogued; 48/864 images sampled (stride 18) + 2 cipher_page_detector top hits pulled full-res -- all ordinary Portuguese cursive/docket pages, no cipher-leaf texture found; ~5.6% coverage, cipher folio still not isolated, 816 images unseen
PP-03	ANTT	PT/TT/CLNH/0086/11	1780-1827 (maco range, item undated)	(unknown; noble-house papers, fonds Condes de Linhares)	(unknown)	"6-image item, catalogue title ""Chave de uma cifra"": m0001 unrelated French billet; m0002 live numeric ciphertext; m0003-m0004 a titled ""Chave"" explaining a book/dictionary cipher (digit-group -> dictionary page/column/word-position, nulls signal switch to English dictionary), worked example ""a guerra de Franca com a Russia parece inevitavel""; m0005-m0006 unrelated Hope & Co. Amsterdam exchange note"	https://digitarq.arquivos.pt/fileViewer/a03cef08d3c04758aa148f5be56d3401	copy-free	recovery	eye-checked 24 Sept 2026 (scDIGI2), all 6 images full-res; key and ciphertext on same unit, neither transcribed nor applied this pass
PP-04	ANTT	PT/TT/FCC/001/0021/00026	1865-07-08	Caetano de Magalhaes (Secretaria)	"""Meu caro Conde"" (unnamed, fonds Familia Costa Cabral)"	"3-image item, catalogue note: ""Inclui um rascunho de uma copia de carta cifrada""; m0112 plaintext ""Reservadissimo"" cover letter re routing a papal letter to the Minister (Conde d'Avila named, ill) without the Pontifical government suspecting; m0113-m0114 the cipher draft, 4-digit nomenclator with plaintext syllables interlined above almost every group"	https://digitarq.arquivos.pt/fileViewer/b482fac086d54e2bae791264bb78b79f	copy-free	recovery	eye-checked 24 Sept 2026 (scDIGI2), all 3 images full-res; self-glossed encoding worksheet, ~50 syllable/word-to-number pairs visible, not yet transcribed into a key file
PP-05	ANTT	PT/TT/MSLIV/1017/00223	1645-04-28	D. Joao IV	marques de Nisa Vasco Luis da Gama (ambassador in France)	"""Carta do rei D. Joao IV ao marques de Nisa Vasco Luis da Gama, embaixador em Franca, remetendo carta em cifra de Francisco Taquet"" (Taquet = Fernando de la Houe, secret agent for the infante D. Duarte)"		copy-order	cryptanalysis	hasImages:false, not digitized; logged not pursued (LANE N4 copy-free-only goal)
PP-06	ANTT	PT/TT/CLNH/0020/14	undated (fonds Condes de Linhares)			"""Chave de uma cifra"""		copy-order	recovery	hasImages:false, not digitized; logged not pursued
PP-07	ANTT	PT/TT/CLNH/0078/80	undated (fonds Condes de Linhares, maco 78)			"""Chave de uma cifra"""		copy-order	recovery	hasImages:false, not digitized; logged not pursued
PP-08	ANTT	PT/TT/MMIP/23	undated			"""Chave para a leitura de uma cifra""; description transcribes: ""Chave para decifrar da cifra que chamamos de Franca. Esta cifra tem D. Luis da Cunha, Sebastiao Jose de Carvalho [Pombal]. Fica para mandar-se brevemente a Antonio Freire de Andrade."""		copy-order	recovery	hasImages:false, not digitized; logged not pursued
PP-09	ANTT	PT/TT/CPN/000210	1658-04-24		Rei de Portugal's ambassador in Rome	"""Carta ao embaixador do Rei de Portugal em Roma"" -- ""Parcialmente em cifra."""		copy-order	cryptanalysis	hasImages:false, not digitized; logged not pursued
PP-10	ANTT	PT/TT/MMCG/3L (series, 25 items)	1658-1660	conde de Miranda (ambassador extraordinary, Holland)	Francisco de Melo [Torres] (ambassador extraordinary, England)	"Parent title: ""Cartas do conde de Miranda, que escreveu sendo embaixador extraordinario em Holanda a Francisco de Melo sendo embaixador extraordinario em Inglaterra""; children.total=25; 8 items confirmed by id (000009,000011,000034,000050,000058,000059,000062,000063,000072,000076,000080), each ""Parte da carta esta em cifra"" or (000076) ""Toda a carta esta em cifra"""		copy-order	cryptanalysis	hasImages:false on every item checked, not digitized; same embassy circle as PP-01 (PT/TT/LMP/0001) and QUEUE row N45 (BL Add MS 38038); logged not pursued
