key_id	label	kind	by	year	cited_sources	n_targets	reads	note
k-r1024	DECODE R1024 Grand Chiffre	DECODE key record	William V's chancery	1782	DECODE database	2	vanreede1787[Van Reede from Berlin, 1787–1793, 1787–93; read unchanged] | vanreede1792[Van Reede to William V, 1792, 1792; read unchanged]	The 1782 Grand Chiffre of William V, filed on DECODE.
k-r639	DECODE R639 (Bonac et Graffei)	DECODE key record			DECODE database	2	rakoczi1704[Four letters to and from Ferenc Rákóczi II, 1706–1711, 1706–11; read unchanged] | rakoczi1707[Philippe Groffey (?) to Ferenc Rákóczi II, 15 October 1707, 1707; read unchanged]	Preserved Rakoczi-circle key among the NAH G15 records.
k-r580	DECODE R580 Pápai key	DECODE key record			DECODE database	1	papai1706[János Pápai to Ferenc Rákóczi II, 1706–1710, 1706–10; read unchanged]	The envoy's own numeric key, never linked to his letters on DECODE.
k-r1038	DECODE R1038 Croiset key	DECODE key record		1765	DECODE database	1	deswart1782[De Swart to Van Bleiswijk, St Petersburg, 1782, 1782; read unchanged]	Croiset's 1765 key.
k-r2233	DECODE R2233	DECODE key record		1801	DECODE database	1	r2232[Wolff to Princess Wilhelmina of Orange, 25 July 1801, 1801; read unchanged]	Wolff/Wilhelmina key, the record after the letter.
k-r2235	DECODE R2235 five-alphabet key	DECODE key record		1796	DECODE database	1	r2234[An Orangist at Basle to William V, 1796, 1796; read unchanged]	Five alphabets, changing every line.
k-r2118	DECODE R2118	DECODE key record		1620	DECODE database	1	haga1620[Cornelis Haga at Constantinople to the States General, 1620, 1620; read unchanged]	Key filed in the same DECODE series as Haga's letters.
k-r2237	DECODE R2237 word list	DECODE key record		1795	DECODE database	1	hereditary1796[The Hereditary Prince of Orange from Berlin, 12 March 1796, 1796; rebuilt from]	Orange word-list code; the table was rebuilt from R2237.
k-r367	DECODE R367	DECODE key record		1548	DECODE database	1	malvezzi1548[Ferdinand I to Giovanni Maria Malvezzi, Augsburg, 23 January 1548, 1548; read unchanged]	Key filed at the same shelfmark as the letter.
k-r5017	DECODE R5017/R5018 Windischgrätz keys	DECODE key record		1720	DECODE database	1	windischgraetz1720[Charles VI to Count Windischgrätz, 1720–1722, 1720–22; read unchanged]	Two keys named on the DECODE record; each reads different letters.
k-mirka	Mírka's key on R5029	scholar's key	Mírka	1721		1	windischgraetz1721[A letter between the Windischgrätz brothers, Brussels 1721, 1721; partial]	Key sheet attached to the record as a spreadsheet.
k-r725	DECODE R725	DECODE key record		1623	DECODE database	1	sp106box10[A codebreaker’s file: TNA SP 106/10, c. 1623–1624, 1623–24; read unchanged]	Key of the SP 106/10 codebreaker's file.
k-lasry-sp106-5	Lasry's SP 106/5 King–Queen key	scholar's key	George Lasry	1645	George Lasry	2	rupert1645[Charles I to Prince Rupert, Oxford, 29 April 1645, 1645; read unchanged] | hm1645[Henrietta Maria’s household to Charles I, 1645–46, 1645–46; read unchanged]	Lasry's reconstruction of the Charles I–Henrietta Maria cipher.
k-lasry-spagna6	Lasry's Spagna 6 nunciature key	scholar's key	George Lasry	1568	George Lasry	2	alessandrino1568[Cardinal Alessandrino to the nuncio in Spain, 1568–69, 1568–69; read unchanged] | nuncio1566[Cardinal Alessandrino to the nuncio in Spain, 1567, 1567; read unchanged]	Polyphonic key, one digit standing for two letters.
k-lasry-ceva	Lasry's Barberini–Ceva key	scholar's key	George Lasry	1632	George Lasry	1	ceva1632[Francesco Barberini to Nuncio Ceva, 1632, 1632; read unchanged]	Reconstructed 24 Oct 2020, on the DECODE records.
k-lasry-dandini	Lasry's key D3190 (R72)	scholar's key	George Lasry	1580	George Lasry	1	dandini1580[The Cardinal of Como to Dandini, 1580, 1580; adapted]	Letter key permuted inside Lasry's frame.
k-lasry-sauli	Lasry's Portugal nunciature key	scholar's key	George Lasry	1579	George Lasry	1	sauli1579[Sauli and Riario, Portugal, 1579–81, 1579–81; read unchanged]	Checked against contemporary decipherments.
k-lasry-lucini	Lasry's key (R121)	scholar's key	George Lasry	1767	George Lasry	1	lucini1767[Nuncio Lucini from Madrid, 13 October 1767, 1767; read unchanged]	Filed for R121, read R120 too.
k-lasry-acciaiuoli	Lasry's key D3232	scholar's key	George Lasry	1758	George Lasry	1	acciaiuoli1757[Nuncio Acciaiuoli from Lisbon, 1758–60, 1758–60; adapted]	Lisbon nunciature key.
k-lasry-1718	Lasry's Spagna 1718 key	scholar's key	George Lasry	1718	George Lasry	1	nunzio1718[The Secretariat of State to the Nuncio in Spain, 1718–1720, 1718–20; adapted]	268-entry nomenclator.
k-lasry-1736	Lasry's Spagna 423 key	scholar's key	George Lasry	1736	George Lasry	1	nunzio1736[The Secretariat of State to the nunciature in Spain, 1736, 1736; adapted]	Key without its nomenclator.
k-lasry-santacroce	Lasry's Santa Croce key	scholar's key	George Lasry	1552	George Lasry	1	santacroce1552[Santa Croce to Cardinal del Monte, 1553, 1553; read unchanged]	Applied to the 2016 DECODE transcriptions.
