source_catalogue	ark	shelfmark	title	date	reason
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b525240150	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-profile:bnf francais 2988
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059908w	Bibliothèque nationale de France. Département des Manuscrits. Français 2988	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-profile:bnf francais 2988
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52509819x	Bibliothèque nationale de France. Département des manuscrits. Français 4715	Recueil de pièces originales, la plupart en chiffre, relatives aux affaires de la Ligue, à la fin du règne de Henri III et au commencement du règne de Henri IV.	1501-1600	bourdeau-named:Nevers
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b10032556x	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 132	Espagnol 132	1501-1600	decode:bnf espagnol 132
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060138r	Bibliothèque nationale de France. Département des Manuscrits. Français 3013	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b52503046q	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 318	Espagnol 318	1401-1600	bourdeau:bnf espagnol 318
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90600370	Bibliothèque nationale de France. Département des Manuscrits. Français 3034	Recueil de lettres originales et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060086g	Bibliothèque nationale de France. Département des Manuscrits. Français 3015	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060172s	Bibliothèque nationale de France. Département des Manuscrits. Français 3126	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059406b	Bibliothèque nationale de France. Département des Manuscrits. Français 3983	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90598719	Bibliothèque nationale de France. Département des Manuscrits. Français 3029	Recueil de lettres originales et de copies indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060633d	Bibliothèque nationale de France. Département des Manuscrits. Français 3984	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90602650	Bibliothèque nationale de France. Département des Manuscrits. Français 3147	Recueil de lettres et de pièces originales.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060253s	Bibliothèque nationale de France. Département des Manuscrits. Français 3091	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b100325613	Bibliothèque nationale de France. Département des Manuscrits. Espagnol 336	Espagnol 336	1501-1700	bourdeau:bnf espagnol 336
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060546p	Bibliothèque nationale de France. Département des Manuscrits. Français 3977	Collection Mémoires de la Ligue. Recueil de lettres et pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b90598430	Bibliothèque nationale de France. Département des manuscrits. Français 2984	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-profile:bnf francais 2984
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9059870w	Bibliothèque nationale de France. Département des manuscrits. Français 3040	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060038d	Bibliothèque nationale de France. Département des Manuscrits. Français 3081	Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
gallica.bnf.fr SRU (BnF Manuscrits)	https://gallica.bnf.fr/ark:/12148/btv1b9060548h	Bibliothèque nationale de France. Département des Manuscrits. Français 3976	Collection Mémoires de la Ligue. Recueil de lettres et de pièces originales, et de copies de pièces indiquées comme telles dans le dépouillement qui suit.	1501-1600	bourdeau-named:fr.3xxx
