line	position	value	grade	reason
f110-1	3	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-1	12	y	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-1	32	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-1	33	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	4	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	7	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	16	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	19	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	32	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	38	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	46	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	52	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-2	57	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	10	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	28	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	33	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	42	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	43	e	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	49	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	58	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	60	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-3	62	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	15	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	17	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	23	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	25	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	30	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	35	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-4	44	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	8	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	13	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	14	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	18	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	20	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	34	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	37	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	52	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-5	57	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	8	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	13	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	26	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	27	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	31	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	45	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	56	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-6	71	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-7	11	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-7	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-7	29	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-7	33	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-7	44	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	5	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	20	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	32	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	36	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	39	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-8	41	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-9	14	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-9	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-9	29	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-9	42	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	13	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	20	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	30	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	31	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	38	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-10	45	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-11	12	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-11	42	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	4	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	10	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	17	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	22	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	31	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	40	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-12	47	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	5	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	8	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	25	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	30	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	33	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	40	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-13	44	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	3	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	7	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	12	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	13	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	14	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	32	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-14	34	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-15	16	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-15	18	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-15	23	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-15	37	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-15	38	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	11	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	13	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	16	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	19	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	29	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-16	43	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-17	3	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-17	7	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-17	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-17	31	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-17	36	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	10	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	18	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	20	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	23	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	31	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	32	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	35	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	42	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-18	52	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	7	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	12	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	15	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	17	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	22	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-19	40	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	11	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	19	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	35	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	40	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	41	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	49	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-20	53	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	6	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	24	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	33	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	36	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	49	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	51	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-21	53	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	6	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	14	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	20	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	23	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	27	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	28	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	43	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-22	44	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	5	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	8	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	14	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	15	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	18	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	43	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	47	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-23	48	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	4	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	8	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	9	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	14	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	17	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	18	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	21	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	22	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-24	32	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	9	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	10	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	15	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	24	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	28	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	39	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-25	45	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	13	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	15	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	18	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	23	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	27	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	28	o	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	40	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-26	42	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	3	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	10	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	16	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	24	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	30	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	33	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-27	41	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-28	30	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	5	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	15	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	17	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	41	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-29	42	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-30	13	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-30	16	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-30	22	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-31	16	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-31	17	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-31	23	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-31	24	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-32	6	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-32	7	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-32	13	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-32	19	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-32	26	c	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	2	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	10	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	15	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	20	i	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-33	21	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-34	11	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	1	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	4	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	10	s	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	19	u	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	24	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
f110-35	25	n	S	bMATBEAM fr16 6-gram beam, known-answer control 0.83
