code	value	grade	source	note
a	a	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
D	a	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
th	m|a	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
x	e	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
t	e	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
h	e	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
d	s	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
J	s	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
yy	ss|s	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
6	i|n|s	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
i	i|e	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
o	i	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
E	i|y	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
B	i|y	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
m	t	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
Z	t	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
.v.	n	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
ff	n|o	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
n	l	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
A	l	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
he	l	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
H	o	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
7	o	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
c	p	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
L	r	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
g	u	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
s	u	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
q	u	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
w-	d	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
oo	d	H	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
f	c|u	M	Bourdeau cyphersolver matignon1586 key.json, commit fc0c9e8, 25 Sept 2026, CC BY 4.0/MIT	
