canvas	ark	sample_group	cipher	notes
405	btv1b10035069t	first-40	no	title leaf: Depesches de M. de Brienne Tom.II, Hollande/Angleterre/Espagne/Italie/Turquie, juillet-dec.1661
406	btv1b10035069t	first-40	no	
407	btv1b10035069t	first-40	no	Table des lettres contenus en ce Volume
408	btv1b10035069t	first-40	no	
409	btv1b10035069t	first-40	no	
410	btv1b10035069t	first-40	no	
411	btv1b10035069t	first-40	no	
412	btv1b10035069t	first-40	no	
413	btv1b10035069t	first-40	no	
414	btv1b10035069t	first-40	no	
415	btv1b10035069t	first-40	no	M. de Brienne a M. de Thou, 29 juillet 1661
416	btv1b10035069t	first-40	no	
417	btv1b10035069t	first-40	no	
418	btv1b10035069t	first-40	no	
419	btv1b10035069t	first-40	no	
420	btv1b10035069t	first-40	no	
421	btv1b10035069t	first-40	no	
422	btv1b10035069t	first-40	no	
423	btv1b10035069t	first-40	no	
424	btv1b10035069t	first-40	no	
425	btv1b10035069t	first-40	no	
426	btv1b10035069t	first-40	no	
427	btv1b10035069t	first-40	no	
428	btv1b10035069t	first-40	no	
429	btv1b10035069t	first-40	no	
430	btv1b10035069t	first-40	no	
431	btv1b10035069t	first-40	no	
432	btv1b10035069t	first-40	no	
433	btv1b10035069t	first-40	no	
434	btv1b10035069t	first-40	no	
435	btv1b10035069t	first-40	no	
436	btv1b10035069t	first-40	no	
437	btv1b10035069t	first-40	no	
438	btv1b10035069t	first-40	no	
439	btv1b10035069t	first-40	no	
440	btv1b10035069t	first-40	no	
442	btv1b10035069t	first-40	no	
443	btv1b10035069t	first-40	no	
444	btv1b10035069t	first-40	no	
445	btv1b10035069t	every-5th	no	
450	btv1b10035069t	every-5th	no	
455	btv1b10035069t	every-5th	no	
460	btv1b10035069t	every-5th	no	
475	btv1b10035069t	every-5th	no	
480	btv1b10035069t	every-5th	no	
490	btv1b10035069t	every-5th	no	
495	btv1b10035069t	every-5th	no	
500	btv1b10035069t	every-5th	no	
505	btv1b10035069t	every-5th	no	
510	btv1b10035069t	every-5th	no	
515	btv1b10035069t	every-5th	no	
520	btv1b10035069t	every-5th	no	
525	btv1b10035069t	every-5th	no	
530	btv1b10035069t	every-5th	no	
535	btv1b10035069t	every-5th	no	
540	btv1b10035069t	every-5th	no	
545	btv1b10035069t	every-5th	no	
550	btv1b10035069t	every-5th	no	
555	btv1b10035069t	every-5th	no	
560	btv1b10035069t	every-5th	no	
565	btv1b10035069t	every-5th	no	
570	btv1b10035069t	every-5th	no	
575	btv1b10035069t	every-5th	no	
580	btv1b10035069t	every-5th	no	
585	btv1b10035069t	every-5th	no	
590	btv1b10035069t	every-5th	no	
595	btv1b10035069t	every-5th	no	
600	btv1b10035069t	every-5th	no	
605	btv1b10035069t	every-5th	no	
610	btv1b10035069t	every-5th	no	
615	btv1b10035069t	every-5th	no	
620	btv1b10035069t	every-5th	no	
625	btv1b10035069t	every-5th	no	
630	btv1b10035069t	every-5th	no	
635	btv1b10035069t	every-5th	no	
640	btv1b10035069t	every-5th	no	
645	btv1b10035069t	every-5th	no	
650	btv1b10035069t	every-5th	no	
655	btv1b10035069t	every-5th	no	
660	btv1b10035069t	every-5th	no	
665	btv1b10035069t	every-5th	no	
670	btv1b10035069t	every-5th	no	
675	btv1b10035069t	every-5th	no	
680	btv1b10035069t	every-5th	no	
685	btv1b10035069t	every-5th	no	
690	btv1b10035069t	every-5th	no	
695	btv1b10035069t	every-5th	no	
700	btv1b10035069t	every-5th	no	
705	btv1b10035069t	every-5th	no	
710	btv1b10035069t	every-5th	no	
715	btv1b10035069t	every-5th	no	
720	btv1b10035069t	every-5th	no	
725	btv1b10035069t	every-5th	no	
730	btv1b10035069t	every-5th	no	
735	btv1b10035069t	every-5th	no	
740	btv1b10035069t	every-5th	no	
745	btv1b10035069t	every-5th	no	
750	btv1b10035069t	every-5th	no	
755	btv1b10035069t	every-5th	no	
760	btv1b10035069t	every-5th	no	
765	btv1b10035069t	every-5th	no	
770	btv1b10035069t	every-5th	no	M. de Brienne to Roboly Marchand at Constantinople (end of volume, Turquie)
775	btv1b10035069t	every-5th	no	
779	btv1b10035069t	every-5th	no	
441	btv1b10035069t	unfetched	unchecked	connection reset x2, not retried further (good-citizen rule)
465	btv1b10035069t	unfetched	unchecked	connection reset x2, not retried further (good-citizen rule)
470	btv1b10035069t	unfetched	unchecked	connection reset x2, not retried further (good-citizen rule)
485	btv1b10035069t	unfetched	unchecked	connection reset x2, not retried further (good-citizen rule)
