line	pos	script_code	script_marks	share
1	1	_	#	1.00
1	2	_		1.00
1	3	lam		0.38
1	4	_		1.00
1	5	g	1	0.58
1	6	p		1.00
1	7	_		0.39
1	8	lam		0.40
1	9	_		0.82
1	10	psi		0.62
1	11	+		0.79
1	12	_		1.00
1	13	[		1.00
1	14	bh		0.81
1	15	rz		0.81
1	16	U		1.00
1	17	y		0.81
1	18	nt		0.54
1	19	[		0.60
1	20	bh		1.00
1	21	sq	ot	0.81
1	22	psi		1.00
1	23	lam	o	1.00
1	24	eps	5	1.00
1	25	nt		0.63
1	26	[		1.00
2	1	rz		1.00
2	2	g	~	1.00
2	3	m	~	1.00
2	4	w		1.00
2	5	_		1.00
2	6	L		1.00
2	7	g	~	1.00
2	8	o.		1.00
2	9	S7		1.00
2	10	lam	dot	1.00
2	11	S7	~	1.00
2	12	e	#	1.00
2	13	g	~	1.00
2	14	_		0.60
2	15	_		0.58
2	16	_		0.60
2	17	]	o	1.00
2	18	_	dot	1.00
2	19	bh	dot	1.00
2	20	S7	+	1.00
2	21	a		1.00
2	22	S7	~	1.00
2	23	lam	~	1.00
2	24	e	#	1.00
2	25	wd		1.00
2	26	bh		1.00
2	27	K		1.00
2	28	Lx	#	0.80
3	1	bh		1.00
3	2	]	o	1.00
3	3	Z		1.00
3	4	]	dot|o	1.00
3	5	S7	dot	1.00
3	6	f		1.00
3	7	e	dot	1.00
3	8	y		1.00
3	9	e		1.00
3	10	_		0.40
3	11	_		0.80
3	12	lam	7	0.60
3	13	g		1.00
3	14	Z		1.00
3	15	S4		1.00
3	16	f		0.39
3	17	_		1.00
3	18	_		1.00
3	19	_	1	0.41
3	20	ch		1.00
3	21	S		1.00
3	22	S	#	0.81
3	23	_		1.00
3	24	_		0.61
3	25	S		1.00
3	26	_		0.81
3	27	_	dot	1.00
3	28	_		1.00
3	29	N		1.00
3	30	y		0.58
3	31	S4		0.81
4	1	bh		0.78
4	2	y		0.65
4	3	lam	1	1.00
4	4	_	dot	1.00
4	5	]	o	1.00
4	6	g	~	1.00
