line	pos	code	marks	action	conf	note
1	1	bh		correct	M	recrop: tall stem + small hooked loop upper-mid + tail to dot matches bh exemplars far better than y's closed-loop tail; y-cluster dist here (4.412) was the highest of any y-call on this leaf; h/bh-adjacent judgment call
1	2	ch		confirm	H	recrop: clean match; this exact box is itself one of the atlas's own ch exemplars
1	3	_		plain	M	plain cursive stretch (reads '...lo Truono...'); classifier itself low-share _ (0.60)
1	4	_		confirm	H	part of same plain-cursive stretch as pos3, classifier share 1.00
1	5	_		confirm	H	part of same plain-cursive stretch, classifier share 1.00
1	6	_		confirm	H	part of same plain-cursive stretch, classifier share 1.00
1	7	_		confirm	H	recrop shows plain cursive '...ruo...' (part of 'Truono'), classifier share 1.00 despite w-cluster proximity
1	8	_		correct	M	recrop shows plain cursive continuing ('...ouo...'), not a w sign; classifier's own w-guess was only 0.80
1	9	_		confirm	M	recrop shows plain cursive tail ('Af/Nf'-like), classifier share 0.81
1	10	dl		correct	M	recrop shows a clear closed-loop + tilde-tail shape (dl), not g; classifier's g guess had share 0.59/dist 6.162 (poor fit). Box also contains a separate '+' sign immediately to its right -- see split row 10.5
1	10.5	+		correct	M	split: box f56v_01_010 contains two signs, a dl (this row's pos10) and a separate '+' cross to its right; recrop shows them as clearly distinct strokes with a gap between
1	11	psi		confirm	M	confusable psi/y checked via tight recrop: clear V-fork at top + straight, unclosed tail = psi, not y (y would close into a loop at the bottom, as seen at pos1/pos13-area bh and at true y's elsewhere on this leaf)
1	12	nt		confirm	H	clean n+cross shape, share 1.00
1	13	bh		confirm	H	clean stem+hooked-loop+tail, dist 1.465 (tight fit), share 1.00
1	14	a	5	correct	M	recrop shows bold cursive 'a' with a clear s/5-hook mark above (mark_desc '5'); classifier's own _ guess was low-share (0.80) and this sits in an unbroken cipher run between bh(13) and tee(16)
1	15	a	5	correct	M	same a+5 pattern as pos14 (identical composition), corrected from low-share _ (0.80)
1	16	tee		confirm	H	clean vertical-stroke-with-right-bar shape, share 1.00
1	17	lam		confirm	H	clean Λ shape, share 1.00
1	18	S		confirm	H	clean S/5-squiggle, share 1.00
1	19	Z	dot|ot	confirm	H	clean Z shape, share 1.00, confusable Z/L checked -- no L-like right-angle present
1	20	g		confirm	H	clean 9-loop shape, share 1.00
1	21	lam	7	confirm	H	clean Λ shape with 7-mark, share 1.00
1	22	rz		confirm	H	clean low wavy 'lying-z' shape with ~ mark, share 1.00
1	23	g		confirm	H	clean 9-loop shape, share 1.00
1	24	a	5	correct	M	recrop shows the same S/5-hook-above-bold-a pattern as pos14/15, not plain; classifier's own guess was low-share _ (0.75) and this sits between g(23) and tee(25) in an unbroken cipher run
1	25	tee		confirm	H	clean vertical-stroke-with-right-bar shape, share 1.00
1	26	lam		confirm	H	clean Λ shape, share 1.00
1	27	S		confirm	H	clean S/5-squiggle, share 1.00
1	28	_		confirm	M	recrop shows a stem + hooked v-like element + 2 dots; visually suggestive of 'v' but classifier's plain-cluster fit was its highest-confidence call anywhere nearby (share 1.00); read as plain cursive (dotted letter, e.g. 'si'/'fi'), dots likely ordinary i-dots not a cipher mark, so marks left blank
1	29	bh	dot	confirm	H	clean stem+hooked-loop+tail+dot, share 1.00
1	30	Z	#	correct	M	raw per-box code guess was already Z (cluster label conflicted at _, share only 0.43); recrop shows a Z (top bar + diagonal + bottom bar) with a '#' mark overlaid near the top, matching Z's own marks_seen (#:4)
1	31	phi	dot	confirm	M	share 0.83 checked: clean φ (slashed circle on a stem) with dot above, matches atlas phi well
1	32	w		confirm	H	clean cursive w/omega with lead-in stroke, share 1.00
2	1	v	dot	confirm	M	share 0.40 checked via wide context crop: a rounded hooked-left-arm curl ('u'-like) matching atlas v, with a dot above
2	2	y		correct	M	recrop/wide-context crop shows a clear cursive y (hook + closed descender loop) right after pos1's v; classifier's own guess was low-share _ (0.60)
2	3	S7		confirm	H	clean 7-shaped sign, share 1.00
2	4	y	5	confirm	H	clean y with s/5-hook mark, share 1.00
2	5	w		confirm	H	clean cursive w, share 1.00
2	6	Z	ot	confirm	H	clean Z shape, share 1.00
2	7	lam		confirm	H	clean Λ shape, share 1.00
2	8	g	~	confirm	H	clean 9-loop with ~ mark, share 1.00
2	9	e	#	correct	M	recrop shows the looped-e bowl with a clear # mark above that the classifier's marks field missed (code itself already e, share 1.00)
2	10	tee		confirm	H	clean vertical-stroke-with-right-bar, share 1.00
2	11	K	1	confirm	H	clean K, share 1.00
2	12	phi	5	confirm	M	share 0.81 checked: clean φ (slashed circle on stem) with 5-hook mark, matches atlas phi well
2	13	U		confirm	H	clean ⊔ square-cup shape, share 1.00
2	14	w		confirm	H	clean cursive w, share 1.00
2	15	bh		confirm	H	clean stem+hooked-loop+tail, dist 1.784, share 1.00
2	16	lam	~	confirm	H	clean Λ with ~ mark, share 1.00
2	17	_		confirm	H	recrop shows a stem with a closed loop AT THE BOTTOM (plain d/l/h style), distinct from bh's small hooked loop upper-right; matches the atlas's own retired h/d/ll-confusion note; share 1.00 for plain
2	18	bh		confirm	H	clean stem+hooked-loop+tail, dist 1.657, share 1.00
2	19	g		confirm	H	clean 9-loop, share 1.00
2	20	Z		confirm	M	share 0.82 checked: clean small zigzag shape, matches atlas Z
2	21	Z		confirm	H	clean Z shape, share 1.00
2	22	g		confirm	H	clean 9-loop, share 1.00
2	23	S		confirm	H	clean S/5-squiggle, share 1.00
