line	pos	code	marks	grade
1	1	bh		settled
1	2	ch		AB
1	3	_		AB
1	4	_		AB
1	5	_		AB
1	6	_		AB
1	7	_		AB
1	8	_		settled
1	9	_		AB
1	10	dl		settled
1	10.5	+		settled
1	11	psi		AB
1	12	nt		AB
1	13	bh		AB
1	14	a	5	AB
1	15	a	5	AB
1	16	tee		AB
1	17	lam		AB
1	18	S		AB
1	19	Z	dot|ot	AB
1	20	g		AB
1	21	lam	7	AB
1	22	rz	~	settled
1	23	g		AB
1	24	a	5	settled
1	25	tee		AB
1	26	lam		AB
1	27	S		AB
1	28	_		AB
1	29	bh	dot	AB
1	30	Z	#	AB
1	31	phi	dot	AB
1	32	w		AB
2	1	v	dot	AB
2	2	y		settled
2	3	S7		AB
2	4	y	5	AB
2	5	w		AB
2	6	Z	ot	AB
2	7	lam		AB
2	8	g	~	AB
2	9	e	#	settled
2	10	tee		AB
2	11	K	1	AB
2	12	phi	5	AB
2	13	U		AB
2	14	w		AB
2	15	bh		AB
2	16	lam	~	AB
2	17	_		AB
2	18	bh		AB
2	19	g		AB
2	20	Z		AB
2	21	Z		AB
2	22	g		AB
2	23	S		AB
2	24	e	#	settled
2	25	p	1	AB
2	26	eps	o	AB
2	27	tee		AB
2	28	p		AB
2	29	_		AB
3	1	g	dot	settled
3	2	_		AB
3	3	_		AB
3	4	_		AB
3	5	_		AB
3	6	_		AB
3	7	_		AB
3	8	_		AB
3	9	_		AB
3	10	_		AB
3	11	_		settled
3	12	lam		AB
3	13	nt		settled
3	14	+		settled
3	15	y		AB
3	16	e	+	settled
3	17	e		settled
3	18	rz		AB
3	19	g	7	AB
3	20	g		AB
3	21	Z		AB
3	22	S7		AB
3	23	+		settled
3	24	rz	dot	AB
3	25	S7		AB
3	26	lam		AB
3	27	_		settled
3	28	a		settled
3	29	wd		settled
3	30	p		AB
3	31	_		AB
3	32	H		settled
4	1	w		AB
4	2	tee		AB
4	3	rz		AB
4	4	y		AB
4	5	lam		AB
4	6	lam	1	AB
4	7	S7		AB
4	8	U		AB
4	9	w		AB
4	10	bh		AB
4	11	a	~	AB
4	12	nt		AB
4	13	bh		AB
4	14	dl		AB
4	15	Lx		AB
4	16	g		settled
4	17	w		AB
4	18	tee		AB
4	19	Z	dot	settled
4	20	eps	~	AB
4	21	g		AB
4	22	Z		AB
4	23	phi		AB
4	24	w		AB
4	25	w		AB
4	26	psi		AB
4	27	S7		AB
4	28	_		AB
4	29	S7		AB
5	1	eps	~	AB
5	2	wd		AB
5	3	o.		AB
5	4	w		AB
5	5	g	5	AB
5	6	a		settled
5	7	y		settled
5	7.5	y		settled
5	8	_		AB
5	9	e	+	AB
5	10	_		AB
5	11	psi		AB
5	12	_		AB
5	13	w		AB
5	14	g		AB
5	15	m	~	AB
5	16	w		AB
5	17	m	1	AB
5	18	w		AB
5	19	lam	~	AB
5	20	e		AB
5	21	wd		AB
5	22	bh	7	settled
5	23	K	1	AB
5	24	nt		settled
6	1	_		AB
6	2	_		AB
6	3	_		AB
6	4	_		AB
6	5	_		AB
6	6	_		AB
6	7	_		AB
6	8	_		AB
6	9	Lx		AB
6	10	lam		AB
6	11	S7	~	AB
6	12	lam		AB
6	13	g	1|~	AB
6	14	nt		AB
6	15	S7		AB
6	16	+		AB
6	17	dl	5	AB
6	18	S		settled
6	18.5	eps		settled
6	19	S7		AB
6	20	S	~	AB
6	21	H	1|o	AB
6	22	m		AB
6	23	w		AB
6	24	tee		AB
6	25	o.		AB
7	1	_		AB
7	2	y		AB
7	3	nt		AB
7	4	o.		AB
7	5	S7		AB
7	6	#		AB
7	7	]		settled
7	7.5	S7		settled
7	8	_		AB
7	9	L	~	AB
7	10	S7		settled
7	11	g		AB
7	12	bh		AB
7	13	S7	#	AB
7	14	e		AB
7	15	wd		AB
7	16	y		AB
7	17	y		AB
7	18	o.		AB
7	19	rz		AB
7	20	g		AB
7	21	e	#	settled
7	22	tee		AB
7	23	K		AB
7	24	g		AB
7	25	e	#	AB
7	26	Z	#	AB
7	27	S7	dot	AB
7	28	+		settled
7	29	lam	dot	AB
7	30	y	1	AB
7	31	S7	#	AB
7	32	phi	dot	AB
8	1	_		AB
8	2	L		AB
8	3	bh		AB
8	4	g		AB
8	5	S7	~	AB
8	6	lam		AB
8	7	S7		AB
8	8	phi	+	settled
8	9	e	#	AB
