line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f55v_01_001	1	368	145	52	66	_	5.343	1.00	_	
1	f55v_01_002	2	394	189	58	24	_	4.362	1.00	_	
1	f55v_01_003	3	454	188	45	24	_	5.238	0.80	_	
1	f55v_01_004	4	518	189	108	24	_	3.444	1.00	_	
1	f55v_01_005	5	642	154	84	63	_	4.501	1.00	_	
1	f55v_01_006	6	726	176	48	49	S4	4.406	1.00	S4	
1	f55v_01_007	7	779	169	44	44	dl	3.386	1.00	dl	
1	f55v_01_008	8	806	172	64	72	_	5.714	1.00	_	1
1	f55v_01_009	9	882	192	51	26	v	3.650	1.00	v	5|1
1	f55v_01_010	10	934	234	7	14	_	5.751	1.00	_	
1	f55v_01_011	11	942	192	27	49	y	3.775	0.61	y	
1	f55v_01_012	12	971	195	54	36	nt	3.033	0.80	nt	
1	f55v_01_013	13	1023	169	32	70	bh	1.865	1.00	bh	
1	f55v_01_014	14	1050	203	50	17	w	3.504	1.00	w	dot
1	f55v_01_015	15	1109	180	39	51	e	4.423	1.00	e	
1	f55v_01_016	16	1162	199	25	29	eps	4.322	1.00	eps	5
1	f55v_01_017	17	1188	204	30	41	S7	5.027	1.00	S7	
1	f55v_01_018	18	1224	185	35	42	p	4.058	1.00	p	
1	f55v_01_019	19	1259	157	23	28	g	4.701	0.43	g	
1	f55v_01_020	20	1275	197	54	22	v	4.109	1.00	v	1|1
1	f55v_01_021	21	1342	200	33	20	m	4.223	1.00	m	1
1	f55v_01_022	22	1376	169	32	71	bh	1.865	1.00	bh	
1	f55v_01_023	23	1413	175	47	49	Z	3.908	1.00	Z	
2	f55v_02_001	1	388	277	28	32	S7	2.116	1.00	S7	+
2	f55v_02_002	2	416	274	27	40	g	2.604	1.00	g	dot
2	f55v_02_003	3	456	252	42	47	S4	2.745	1.00	S4	~
2	f55v_02_004	4	506	251	37	39	dl	2.958	1.00	dl	
2	f55v_02_005	5	552	244	45	73	_	3.987	0.83	_	
2	f55v_02_006	6	619	239	22	94	bh	4.602	0.80	_	
2	f55v_02_007	7	637	269	15	25	tee	4.558	0.41	_	
2	f55v_02_008	8	652	263	28	35	tee	6.110	0.39	lam	
2	f55v_02_009	9	702	270	26	22	N	2.855	1.00	N	
2	f55v_02_010	10	743	268	15	26	S	4.303	1.00	S	
2	f55v_02_011	11	773	266	42	26	Lx	3.733	0.82	_	
2	f55v_02_012	12	817	254	35	25	v	4.525	0.58	_	
2	f55v_02_013	13	860	248	46	49	S4	2.367	1.00	S4	
2	f55v_02_014	14	916	256	45	36	dl	2.256	1.00	dl	
2	f55v_02_015	15	949	269	50	22	rz	2.777	1.00	rz	
2	f55v_02_016	16	1001	266	32	30	#	4.029	0.58	#	
2	f55v_02_017	17	1036	278	53	16	w	1.689	1.00	w	
2	f55v_02_018	18	1094	276	24	22	_	2.254	1.00	_	
2	f55v_02_019	19	1119	275	43	19	rz	3.059	1.00	rz	
2	f55v_02_020	20	1168	277	33	21	Z	4.130	1.00	Z	~
2	f55v_02_021	21	1217	257	43	51	e	4.286	1.00	e	
2	f55v_02_022	22	1254	254	48	40	wd	4.476	0.63	wd	
2	f55v_02_023	23	1285	275	43	42	y	2.656	1.00	y	
2	f55v_02_024	24	1344	256	44	49	e	3.757	1.00	e	dot
2	f55v_02_025	25	1383	272	23	49	psi	2.916	1.00	psi	
2	f55v_02_026	26	1411	278	37	18	m	3.997	1.00	m	~
3	f55v_03_001	1	386	355	30	51	L	6.107	0.20	_	
3	f55v_03_002	2	413	319	25	85	bh	1.828	0.68	bh	
3	f55v_03_003	3	442	337	34	57	phi	3.518	1.00	phi	
3	f55v_03_004	4	468	347	35	56	y	2.610	1.00	y	
3	f55v_03_005	5	499	344	29	29	#	3.996	0.59	+	
3	f55v_03_006	6	522	324	36	78	g	3.265	1.00	g	
3	f55v_03_007	7	559	351	30	20	]	4.181	1.00	]	o
3	f55v_03_008	8	591	345	31	31	lam	2.232	1.00	lam	
3	f55v_03_009	9	624	322	29	72	bh	1.503	1.00	bh	
3	f55v_03_010	10	651	359	27	25	S7	3.046	1.00	S7	#
3	f55v_03_011	11	693	331	72	46	_	3.013	1.00	_	1
3	f55v_03_012	12	764	341	50	42	S4	4.285	1.00	_	
3	f55v_03_013	13	835	338	51	53	_	5.536	0.39	_	
