line	pos	script_code	script_marks	share
1	1	_		1.00
1	2	_		1.00
1	3	_		0.80
1	4	_		1.00
1	5	_		1.00
1	6	S4		1.00
1	7	dl		1.00
1	8	_	1	1.00
1	9	v	5|1	1.00
1	10	_		1.00
1	11	y		0.61
1	12	nt		0.80
1	13	bh		1.00
1	14	w	dot	1.00
1	15	e		1.00
1	16	eps	5	1.00
1	17	S7		1.00
1	18	p		1.00
1	19	g		0.43
1	20	v	1|1	1.00
1	21	m	1	1.00
1	22	bh		1.00
1	23	Z		1.00
2	1	S7	+	1.00
2	2	g	dot	1.00
2	3	S4	~	1.00
2	4	dl		1.00
2	5	_		0.83
2	6	bh		0.80
2	7	tee		0.41
2	8	tee		0.39
2	9	N		1.00
2	10	S		1.00
2	11	Lx		0.82
2	12	v		0.58
2	13	S4		1.00
2	14	dl		1.00
2	15	rz		1.00
2	16	#		0.58
2	17	w		1.00
2	18	_		1.00
2	19	rz		1.00
2	20	Z	~	1.00
2	21	e		1.00
2	22	wd		0.63
2	23	y		1.00
2	24	e	dot	1.00
2	25	psi		1.00
2	26	m	~	1.00
3	1	L		0.20
3	2	bh		0.68
3	3	phi		1.00
3	4	y		1.00
3	5	#		0.59
3	6	g		1.00
3	7	]	o	1.00
3	8	lam		1.00
3	9	bh		1.00
3	10	S7	#	1.00
3	11	_	1	1.00
3	12	S4		1.00
3	13	_		0.39
3	14	_	dot	0.46
3	15	_		1.00
3	16	_		0.81
3	17	_		1.00
3	18	_		1.00
3	19	_		0.62
3	20	_		1.00
3	21	_		1.00
3	22	_		0.79
3	23	_		1.00
3	24	_		0.60
3	25	f		0.41
3	26	_		1.00
4	1	_		0.61
4	2	_		1.00
4	3	S		1.00
4	4	_		1.00
4	5	_		1.00
4	6	_		0.41
4	7	_		1.00
4	8	p		1.00
4	9	_		1.00
4	10	_		0.81
4	11	bh		1.00
4	12	S4		1.00
4	13	Lx		0.84
4	14	+		0.60
4	15	lam		1.00
4	16	nt	~	1.00
4	17	y		1.00
4	18	g		1.00
4	19	_		1.00
4	20	Z		0.38
