line	pos	code	marks	grade
1	1	_		AB
1	2	_		settled
1	3	_		AB
1	4	_		AB
1	5	_		AB
1	6	_		AB
1	7	_		AB
1	8	_		AB
1	9	_		settled
1	10	_		AB
1	11	_		AB
1	12	_		AB
1	13	_		AB
1	14	ch		AB
1	15	S4		AB
1	16	Lx		settled
1	17	S7		AB
1	18	#		AB
1	19	Z		settled
1	20	nt		AB
1	21	S7		AB
1	22	#		settled
1	23	e	dot	AB
1	24	wd		AB
1	25	S		AB
1	26	_		settled
2	1	o.		AB
2	2	g		AB
2	3	y		AB
2	4	]	ot	AB
2	5	g		AB
2	6	S		AB
2	7	S		AB
2	8	o.		settled
2	9	phi		AB
2	10	m	1	AB
2	11	w		AB
2	12	S		AB
2	13	]	o	AB
2	14	H	1|o	AB
2	15	e	+	settled
2	16	m	~	AB
2	17	g		AB
2	18	S7		AB
2	19	e	#	AB
2	20	eps	5|dot	AB
2	21	S7		AB
2	22	]	dot|o	AB
2	23	y		AB
2	24	tee		AB
2	25	f		AB
2	26	w		AB
2	27	o.		AB
2	28	g		AB
2	29	e	#	AB
2	30	nt		AB
2	31	y		AB
3	1	_		settled
3	2	e	dot	AB
3	3	psi		AB
3	4	lam	1	AB
3	5	m	~	AB
3	6	g		AB
3	7	g	~	AB
3	8	H		AB
3	9	a		settled
3	9.5	sq		settled
3	10	psi		AB
3	11	_		settled
3	12	phi		AB
3	13	H	#	AB
3	14	v	1|5	AB
3	15	rz		AB
3	16	nt		AB
3	17	rz		AB
3	18	S7		settled
3	19	e	#	AB
3	20	_	dot	AB
3	21	psi		AB
3	22	f		settled
3	23	w		AB
3	24	bh		AB
3	25	eps	1	AB
3	26	w		AB
3	27	e	dot|dot	AB
4	1	S7	+	settled
4	1.5	S7		settled
4	2	]		AB
4	3	_		settled
4	4	psi		AB
4	5	m	1	AB
4	6	w		AB
4	7	S7		AB
4	8	o.		settled
4	8.5	nt		settled
4	9	bh		AB
4	10	]	ot	AB
4	11	v		settled
4	12	_	#	AB
4	13	e	#	AB
4	14	nt		settled
4	15	rz		AB
4	16	eps	5	AB
4	17	]		settled
4	18	S7		settled
4	18.5	m		settled
4	19	eps		AB
4	20	g	~|~	AB
4	21	e	dot|+	AB
4	22	sq	ot	AB
4	23	psi		AB
4	24	lam	5	AB
4	25	]	o	AB
4	26	S7	+	AB
5	1	lam		AB
5	2	bh		AB
5	3	S7		AB
5	4	#		AB
5	5	psi		AB
5	6	eps		AB
5	7	w		AB
5	8	o.		settled
5	9	Z	dot	AB
5	10	S7	#	AB
5	11	e	#	AB
5	12	g	dot	AB
5	13	y		AB
5	14	a	1	AB
5	15	S7		AB
5	16	y	#	AB
5	17	dl		settled
5	18	phi		AB
5	19	S4		AB
5	20	dl		AB
5	21	_		AB
5	22	_		AB
5	23	_		AB
5	24	_		settled
5	25	_		AB
5	26	_		AB
6	1	_		AB
6	2	_		AB
6	3	_		AB
6	4	_	dot	AB
6	5	a		AB
6	6	_		AB
6	7	_		AB
6	8	_		AB
6	9	_		AB
6	10	#	#	AB
6	11	y		AB
6	12	v		AB
6	13	S		AB
6	14	_	1	AB
6	15	_		AB
6	16	N		AB
6	17	_	dot	AB
6	18	_		AB
6	19	_		AB
6	20	_		AB
6	21	eps		AB
6	22	tee		AB
6	23	_		AB
6	24	_		AB
6	25	_	dot	AB
6	26	S		AB
7	1	_	5|~	AB
7	2	_		settled
7	3	_		AB
7	4	_	dot	settled
7	5	_	o|dot	AB
7	6	_		AB
7	7	S	#	AB
7	8	S4		AB
7	9	y		AB
7	10	tee		AB
7	11	L		AB
7	12	w		AB
7	13	w		AB
7	14	tee		AB
7	15	o.		AB
7	16	U	1	settled
7	17	rz		AB
7	18	o.		AB
7	19	g		AB
7	20	w		AB
7	21	Z	dot|ot	AB
7	22	lam		AB
7	23	bh		AB
7	24	e	dot|#	AB
7	25	v	#	AB
7	26	y		AB
7	27	y		AB
7	28	Z		AB
7	29	S7		AB
7	30	e	#	settled
7	31	f	dot	AB
7	32	U		settled
8	1	_	1|?	AB
8	2	w		AB
8	3	bh		AB
8	4	a	~	AB
8	5	nt		AB
8	6	bh		AB
8	7	phi		AB
8	8	o.		AB
8	9	tee		AB
8	10	U		AB
8	11	g	5	AB
8	12	]	o	AB
8	13	S7		AB
8	14	#	o	AB
8	15	w		AB
8	16	]	dot|o	AB
8	17	rz		AB
8	18	a	5	AB
8	19	tee		AB
8	20	lam	5	AB
8	21	a	1	AB
8	22	]	ot	AB
8	23	y	dot	AB
8	24	U		AB
8	25	w		AB
8	26	bh		AB
8	27	m		AB
8	28	g		AB
8	29	lam		AB
8	30	S		AB
9	1	y		AB
9	2	bh		AB
9	3	g	7	AB
9	4	eps	5	AB
9	5	w		AB
9	6	e	+	settled
9	7	lam		AB
9	8	S		AB
9	9	H	1|o	AB
9	10	a	1	AB
9	11	S7		AB
9	12	e	dot	AB
9	13	S7	#	AB
9	14	nt		settled
9	15	S7	#	AB
9	16	o.		settled
9	17	bh		settled
9	18	psi		settled
9	19	e		AB
9	20	g	dot|~	AB
9	21	eps	5	AB
9	22	S7		AB
9	23	L		AB
9	24	S7		AB
9	25	g		AB
9	26	#		AB
9	27	S7		AB
9	28	lam		settled
9	29	o.	~	AB
9	30	S7		AB
10	1	g		AB
10	2	a	1	AB
10	3	phi		AB
10	4	S4		AB
10	5	tee		AB
10	6	Lx		AB
10	7	_		AB
10	8	nt		AB
10	9	_		AB
10	10	e		AB
10	11	_		AB
10	12	_	dot	AB
10	13	ch		AB
10	14	g		AB
10	15	_	dot	AB
10	16	tee		AB
10	17	_		AB
10	18	_		AB
10	19	N		AB
11	1	_		AB
11	2	_		AB
11	3	_		AB
11	4	_		AB
11	5	_		AB
11	6	_		AB
11	7	_	dot	AB
11	8	_		settled
11	9	_		AB
11	10	_		settled
11	11	_		settled
11	12	m	~	AB
11	13	_		AB
11	14	bh		AB
11	15	y		AB
11	16	tee		AB
11	17	e	dot	AB
11	18	eps	1|dot	AB
11	19	e	#	AB
11	20	S4		AB
11	21	_		AB
12	1	g		AB
12	2	nt		AB
12	3	y		AB
12	4	S4	1	AB
12	5	dl		AB
12	6	Lx		AB
12	7	dl		AB
12	8	S4		AB
12	9	_		AB
12	10	]	o	AB
12	11	Z		AB
12	12	S7		AB
12	13	lam		AB
12	14	sq		AB
12	15	y	#	AB
12	16	eps	1	AB
12	17	w		AB
12	18	e	dot|+	AB
12	19	S7	+	AB
12	20	]	ot	AB
12	21	eps	5	AB
12	22	Z	ot	AB
12	23	Z		AB
13	1	_		settled
13	2	_		settled
13	3	_		settled
13	4	_		AB
13	5	_		AB
13	6	_	dot	AB
13	7	_		settled
13	8	_		AB
13	9	_		AB
13	10	_		AB
13	11	_		settled
13	12	_		settled
13	13	_		AB
13	14	_		settled
13	15	_		AB
13	16	_		AB
13	17	_		AB
13	18	_		AB
13	19	_		AB
13	20	_		AB
13	21	_		settled
13	22	_	#	AB
13	23	_		AB
13	24	_		settled
13	25	_		settled
14	1	m	1	AB
14	2	f		AB
14	3	w		AB
14	4	bh		AB
14	5	S7		AB
14	6	#		AB
14	7	e	+	AB
14	8	S		AB
14	9	g		AB
14	10	phi		settled
14	11	rz		AB
14	12	Z		AB
14	13	S7		AB
14	14	#	dot	AB
14	15	lam	dot	AB
14	16	y	5	AB
14	17	e	dot|#	AB
14	18	]	ot	AB
14	19	w		AB
14	20	bh		AB
14	21	S7		AB
14	22	#		AB
14	23	dl		settled
14	24	eps	5	AB
14	25	_		AB
14	26	_		settled
14	27	_		settled
14	28	_		AB
14	29	_		settled
14	30	_	o	AB
15	1	_		settled
15	2	_		AB
15	3	_		settled
15	4	_		settled
15	5	_		settled
15	6	_		settled
15	7	_		AB
15	8	_		settled
15	9	_		AB
15	10	_		AB
15	11	_		settled
15	12	_		AB
15	13	_		AB
15	14	_		settled
15	15	_		settled
15	16	_		settled
15	17	_		settled
15	18	_		settled
15	19	_		AB
15	20	_		AB
15	21	_		AB
15	22	_	dot	AB
15	23	_		AB
15	24	_		AB
15	25	_		settled
16	1	_		AB
16	2	_		AB
16	3	_		AB
16	4	_		AB
16	5	_		settled
16	6	_		settled
16	7	_		settled
16	8	eps	1	AB
16	9	w		AB
16	10	e	dot	AB
16	11	S7	+	AB
16	12	]	ot	AB
16	13	y		AB
16	14	y		AB
16	15	g	1	AB
16	16	o.		AB
16	17	S7		AB
16	18	lam		AB
16	19	g	~	AB
16	20	bh		AB
16	21	_		AB
16	22	S7		AB
16	23	o.		AB
16	24	eps	5	AB
16	25	g		AB
16	26	phi		AB
16	27	g		AB
16	28	S7		AB
16	29	#		AB
17	1	e		AB
17	2	Lx	dot	AB
17	3	y		AB
17	4	_		AB
17	5	S7		AB
17	6	tee		AB
17	7	g		AB
17	8	Lx		AB
17	9	S4		AB
17	10	_		AB
17	11	_		AB
17	12	_		settled
17	13	_		AB
17	14	_		AB
17	15	_		AB
17	16	_		AB
17	17	_	dot	AB
17	18	_		settled
17	19	_		AB
17	20	_	dot	AB
17	21	_		settled
17	22	_	dot	AB
17	23	_		settled
17	24	_		AB
17	25	_		settled
17	26	_		AB
17	27	_		settled
17	28	_		AB
17	29	_		AB
18	1	_		AB
18	2	_		AB
18	3	dl		AB
18	4	+		AB
18	5	w		AB
18	6	tee		AB
18	7	w		AB
18	8	w		AB
18	9	y		AB
18	10	S7		AB
18	11	eps	1	AB
18	12	S7		AB
18	13	eps	~	AB
18	14	wd		AB
18	15	_		AB
18	16	rz		AB
18	17	g	5	AB
18	18	phi		AB
18	19	y		AB
18	20	_		AB
18	21	_		AB
18	22	w		AB
18	23	a	1	AB
18	24	lam		AB
18	25	a	7	AB
18	26	H	1	AB
18	27	g		AB
19	1	_		AB
19	2	S7		AB
19	3	_	dot	AB
19	4	_		AB
19	5	o.		AB
19	6	g	~	AB
19	7	H	1|o	AB
19	8	_	1	AB
19	9	y		AB
19	10	y		AB
19	11	y		AB
19	12	S7		AB
19	13	#		AB
19	14	]	o	AB
19	15	y		AB
19	16	y		AB
19	17	psi		AB
19	18	eps		AB
19	19	w		AB
19	20	_		AB
19	21	U		AB
19	22	lam		AB
19	23	phi		AB
19	24	Lx		AB
19	25	_		AB
19	26	_		AB
19	27	_		settled
19	28	_		AB
19	29	_		AB
19	30	_		AB
