line	signs_A	signs_B	agree	columns	share
f54r_L01	0	0	0	0	1.000
f54r_L02	19	19	0	19	0.000
f54r_L03	21	19	2	21	0.095
f54r_L04	12	16	3	17	0.176
f54r_L05	9	22	0	22	0.000
f54r_L06	18	17	4	18	0.222
f54r_L07	14	17	0	17	0.000
f54r_L08	25	19	0	25	0.000
f54r_L09	18	21	0	21	0.000
f54r_L10	12	7	3	12	0.250
f54r_L11	12	19	0	19	0.000
f54r_L12	13	18	0	18	0.000
f54r_L13	6	15	0	15	0.000
f54r_L14	12	13	0	13	0.000
f54r_L15	13	14	0	14	0.000
f54r_L16	8	11	3	11	0.273
f54r_L17	7	12	0	12	0.000
f54r_L18	12	14	0	14	0.000
f54r_L19	9	17	0	17	0.000
f54r_L20	5	15	0	15	0.000
