line	pos	code	marks	conf	note
1	5	+		M	curved lead-in stroke into full crossing (both arms), on the line
1	8	g		M	two stacked/retraced loop-tail shapes, bold, like doubled 9
1	27	f		H	long crossbar stroke with hooked top, matches f exemplars
2	1	S7	#	H	7-shape with double-cross mark directly above
2	1.5	S7	#	H	same crop as pos1 (duplicate), same glyph
2	5	wd		M	w-body joined to tall right stroke ending in loop, wd ligature
2	20	Z		M	complex n+-like upper part flowing into swirl tail, matches Z's varied atlas forms
2	20.5	Z		M	near-identical crop to pos20, same complex glyph
2	26	eps		H	two stacked open bowls, open right, no closed loop
2	26.5	g		M	9/g loop-tail shape following the eps, left neighbor visible at edge
3	7	m		H	three-hump cursive m, bold
3	7.5	S7		H	7-shape below the m, distinct sign
3	13	v		H	arc rising into hooked loop on right, matches v
3	19	o.		M	ring with central dot; cursive y visible as right neighbor
4	22	g		M	bold loop-tail (9-shape) right of a partial 7; center falls on the g
4	28	wd		M	w-body with tall joining stroke and loop tail, matches wd
4	29	y		H	cursive y with looped tail
5	2	]	ot	H	small ot/of mark above a box open to the left
5	15	o.		H	clean ring with center dot
5	19	m		H	bold three-hump m
5	24	]		H	box shape open to the left, no mark visible
5	26	Z		M	hooked cursive stroke resembling a 2/Z form
6	20	Z		L	curvy hook-and-tail flourish above a partial loop; ambiguous among Z/S/rz shapes
7	15	m		H	three-hump m above a 7-shape
7	15.5	S7		H	7-shape below the m, same crop as pos15
7	17	w		M	w with lead-in stroke, above a 7-shape and a loop
7	17.5	S7		M	7-shape below the w, same crop as pos17
7	23	w		M	w with lead-in stroke, left of a marked g
7	23.5	g	1	M	9-loop shape with a short stroke/mark above, right of the w
8	3	a		H	bold cursive a
8	12	y		H	cursive y with looped tail
8	22	#		H	tall double-barred cross standing on the line
8	22.5	o.		H	ring with dot, right of the # sign
8	25	m		H	bold three-hump m
9	3	S7	#	H	7-shape with double-cross mark above
9	3.5	S7	#	H	same crop as pos3, same glyph
9	4	e	#	H	looped e (single bowl, loop at top) with double-cross mark above
9	4.5	e	#	H	same crop as pos4, same glyph
9	12	o.		M	ring with dot, left of a 7-shape
9	12.5	S7		M	7-shape right of the o. sign
9	13	bh		M	tall stem with small hooked loop at upper right, leftmost in a bh/w/S7/o. run
9	13.1	w		M	w with lead-in stroke, second in the run
9	13.2	S7		M	7-shape tail following the w, third in the run
9	13.3	o.		M	ring with dot, fourth in the run, partial a visible as right neighbor
9	18	g		M	looped 9-shape with an upper flourish resembling a 3
10	7	m	~	M	bold m, wavy curl above resembling tilde/3-shape
10	16	nt	 	M	hooked curve crossed by short stroke, n+ shape
10	20	#	 	H	two parallel strokes each crossed, double-barred cross on line
11	15	o.	 	H	ring with central dot, clean circle
11	15.5	S7	 	H	7-shaped stroke below the ring
11	19	+	 	H	single cross standing on line
12	9	o.	 	H	ring with dot, left of pair
12	9.5	nt	 	M	n-loop merging into crossed stroke right of o.
12	21.5	H	 	H	bold H with top flourish, dominant sign
13	5	N	 	M	large curvy double-loop shape, cursive N
13	17	y	 	L	vertical stroke with loop and dot, ambiguous with p/g
13	17.5	v	 	M	broad open curve, hooked left arm
13	21	w	 	H	omega-like double hump with lead-in stroke
13	21.5	o.	 	H	ring with dot right of w
14	6	#	 	H	double cross between plain a and o. context
14	10	dl	 	H	small loop with curling tail rising to upper right
14	20	y	 	H	left of pair of looped-tail signs
14	20.5	y	 	H	right of pair, same looped-tail shape
14	25	g	 	H	9/g-shaped loop, left of y neighbour
14	26	y	 	H	looped-tail sign right of g
15	3	y	 	H	bold looped-tail sign, upper of pair
15	3.5	e	 	M	closed loop/bowl below y, numeral-3-like
15	9	H	 	H	bold H with top flourish
15	16	S7	 	H	7-shaped stroke above lam
15	16.5	lam	 	H	tall Λ, two strokes meeting at apex
16	22	Z	 	H	bold Z stroke below n+ context
17	6	phi	 	H	small slashed circle on long stem
17	6.5	bh	 	H	tall stem with hooked loop upper right, below phi
17	17	v	 	H	curved v with hooked left arm
17	18	S	 	H	S/ʃ curve
17	19	f	 	H	long f with crossbar
17	22	m	 	H	three-hump cursive m
17	24	nt	 	M	hook plus crossing horizontal stroke
18	4	S4	 	M	diagonal slash crossing a horizontal bar/foot
18	22	bh	 	H	tall stem with hooked loop upper right
19	9	g	 	H	9/g loop shape
19	13	+	 	H	single cross on line
19	23	nt	 	H	n loop plus crossed stroke, clear n+ shape
19	25	S7	+	M	7-shaped stroke with cross mark above
19	25.5	y	 	H	looped-tail sign right of S7
