line	box	pos	x	y	w	h	code	dist	share	cluster_code	marks
1	f56r_01_001	1	217	166	27	60	_	2.069	1.00	_	
1	f56r_01_002	2	233	201	25	24	N	3.968	1.00	N	
1	f56r_01_003	3	280	177	23	73	bh	4.164	0.62	_	
1	f56r_01_004	4	292	205	35	23	_	4.913	1.00	_	
1	f56r_01_005	5	324	182	50	44	_	3.912	1.00	_	
1	f56r_01_006	6	390	178	86	46	_	4.314	1.00	_	
1	f56r_01_007	7	490	195	36	42	_	4.744	0.44	_	
1	f56r_01_008	8	529	178	34	44	Lx	4.713	0.39	Lx	
1	f56r_01_009	9	554	199	67	54	w	4.083	0.82	w	
1	f56r_01_010	10	618	176	38	46	_	5.208	0.81	f	
1	f56r_01_011	11	671	200	56	23	_	4.089	1.00	_	
1	f56r_01_012	12	742	201	60	21	_	4.362	1.00	_	
1	f56r_01_013	13	802	178	32	43	_	4.487	1.00	_	
1	f56r_01_014	14	850	177	44	46	ch	4.911	1.00	ch	
1	f56r_01_015	15	890	175	50	49	S4	2.714	1.00	S4	
1	f56r_01_016	16	943	184	37	35	Z	3.373	0.43	Z	
1	f56r_01_017	17	987	204	29	25	S7	3.443	1.00	S7	
1	f56r_01_018	18	1011	172	25	29	#	4.681	1.00	+	
1	f56r_01_019	19	1028	199	45	38	nt	3.590	0.81	nt	
1	f56r_01_020	20	1077	202	51	30	nt	4.824	1.00	nt	
1	f56r_01_021	21	1123	207	33	31	S7	4.339	1.00	S7	
1	f56r_01_022	22	1150	180	31	65	_	3.766	0.63	_	
1	f56r_01_023	23	1183	184	45	52	e	4.266	1.00	e	dot
1	f56r_01_024	24	1223	176	49	44	wd	2.955	1.00	wd	
1	f56r_01_025	25	1376	48	14	30	S	4.955	1.00	S	
1	f56r_01_026	26	1396	31	33	39	Z	5.304	0.21	Lx	
2	f56r_02_001	1	214	287	22	23	o.	4.100	1.00	o.	
2	f56r_02_002	2	227	257	45	80	g	2.994	1.00	g	
2	f56r_02_003	3	262	284	30	52	y	3.821	1.00	y	
2	f56r_02_004	4	302	283	28	23	]	5.748	0.81	]	ot
2	f56r_02_005	5	336	249	45	87	g	2.625	1.00	g	
2	f56r_02_006	6	379	281	12	25	S	2.811	1.00	S	
2	f56r_02_007	7	389	282	14	23	S	3.591	1.00	S	
2	f56r_02_008	8	406	280	24	24	_	2.453	1.00	_	
2	f56r_02_009	9	437	265	34	83	_	4.911	0.61	_	
2	f56r_02_010	10	473	285	40	21	m	3.133	1.00	m	1
2	f56r_02_011	11	516	289	52	15	w	1.979	1.00	w	
2	f56r_02_012	12	568	320	18	29	S	3.424	1.00	S	
2	f56r_02_013	13	577	285	38	18	]	3.893	1.00	]	o
2	f56r_02_014	14	619	277	39	30	H	2.909	1.00	H	1|o
2	f56r_02_015	15	669	282	57	46	w	7.338	0.41	_	+
2	f56r_02_016	16	724	285	39	20	m	2.797	1.00	m	~
2	f56r_02_017	17	769	253	48	81	g	3.376	1.00	g	
2	f56r_02_018	18	812	287	22	27	S7	2.236	1.00	S7	
2	f56r_02_019	19	838	286	36	31	e	3.299	1.00	e	#
2	f56r_02_020	20	887	284	19	27	eps	4.111	1.00	eps	5|dot
2	f56r_02_021	21	908	288	25	24	S7	2.996	1.00	S7	
2	f56r_02_022	22	939	281	36	19	]	2.441	1.00	]	dot|o
2	f56r_02_023	23	965	279	41	48	y	2.873	1.00	y	
2	f56r_02_024	24	1003	277	17	26	tee	3.705	0.82	tee	
2	f56r_02_025	25	1015	264	40	56	f	1.883	1.00	f	
2	f56r_02_026	26	1042	290	52	14	w	2.016	1.00	w	
2	f56r_02_027	27	1096	286	23	21	o.	4.809	1.00	o.	
2	f56r_02_028	28	1110	254	46	80	g	2.657	1.00	g	
2	f56r_02_029	29	1161	283	41	34	e	3.668	1.00	e	#
2	f56r_02_030	30	1198	284	54	31	nt	3.733	1.00	nt	
2	f56r_02_031	31	1231	285	47	39	y	3.558	1.00	y	
3	f56r_03_001	1	188	343	27	33	g	7.911	0.60	g	
3	f56r_03_002	2	214	355	36	53	e	4.992	1.00	e	dot
3	f56r_03_003	3	245	372	20	49	psi	2.916	1.00	psi	
3	f56r_03_004	4	263	368	18	25	lam	3.474	1.00	lam	1
3	f56r_03_005	5	289	371	41	19	m	3.866	1.00	m	~
3	f56r_03_006	6	335	336	47	86	g	3.151	1.00	g	
3	f56r_03_007	7	379	369	22	37	g	2.297	1.00	g	~
3	f56r_03_008	8	423	356	41	38	H	2.074	1.00	H	
