line	pos	code	marks	action	conf	note
1	1	L	dot|~	confirm	M	
1	2	S7		confirm	H	
1	3	y	dot|1|dot	confirm	H	
1	4	bh		confirm	H	
1	5	S7	#	confirm	H	
1	6	e		confirm	H	
1	7	tee	dot	confirm	H	
1	8	g		confirm	H	
1	9	bh	dot|dot|dot	confirm	H	
1	10	psi		confirm	H	
1	11	lam		confirm	H	
1	12	lam	5|1	confirm	H	
1	13	H	5	confirm	H	
1	14	y		confirm	H	
1	15	_		plain	L	
1	16	_		plain	L	
1	17	w		confirm	H	
1	18	bh		confirm	H	
1	19	a	~	confirm	H	
1	20	nt		confirm	H	
1	21	w		confirm	H	
1	22	m	~	confirm	H	
1	23	w		confirm	H	
1	24	_		plain	H	
1	25	tee		confirm	H	
1	26	e	dot	confirm	H	
1	27	eps	dot|1	confirm	H	
1	28	H		confirm	M	
1	29	bh		confirm	M	
2	1	g	dot|dot	confirm	H	
2	2	S7		confirm	H	
2	3	lam		confirm	H	
2	4	S4	~	confirm	H	
2	5	dl		confirm	H	
2	6	K		confirm	H	
2	7	_		plain	H	
2	8	rz		confirm	H	
2	9	S7	+	confirm	H	
2	10	g		confirm	H	
2	11	a	1	confirm	H	
2	12	_		plain	H	
2	13	e		confirm	H	
2	14	g	1	confirm	H	
2	15	U		confirm	M	
2	16	w		confirm	H	
2	17	rz		confirm	H	
2	18	psi		confirm	H	
2	19	lam	5	confirm	H	
2	20	phi		confirm	M	
2	21	[		confirm	M	
2	22	tee		confirm	M	
2	23	Z	#	confirm	H	
2	24	eps	~	confirm	H	
2	25	g		confirm	H	
2	26	y	~	confirm	H	
2	27	y		confirm	H	
2	28	g	7	confirm	H	
3	1	_		plain	H	
3	2	eps	5	confirm	H	
3	3	w		confirm	H	
3	4	e		confirm	H	
3	5	lam	5	confirm	L	
3	6	_	dot|+	plain	M	
3	7	L		confirm	H	
3	8	g	~	confirm	H	
3	9	Z		confirm	H	
3	10	S7		confirm	H	
3	11	_	dot	plain	H	
3	12	psi		confirm	H	
3	13	lam		confirm	H	
3	14	lam	5	confirm	H	
3	15	e	+	confirm	H	
3	16	H	#	confirm	H	
3	17	_		plain	M	
3	18	w		confirm	H	
3	19	lam	?	confirm	H	
3	20	eps	7	confirm	H	
3	21	m	7	confirm	H	
3	22	S7		confirm	H	
3	23	w	dot|#	confirm	H	
3	24	S7		confirm	H	
3	25	_	dot|#|dot	plain	H	
3	26	]	dot|o	confirm	H	
3	27	phi		confirm	H	
4	1	o.		confirm	H	
4	2	tee		confirm	H	
4	3	_		plain	H	
4	4	_		plain	H	
4	5	]	ot	confirm	H	
4	6	phi		confirm	H	
4	7	lam		confirm	H	
4	8	S		confirm	H	
4	9	bh		confirm	H	
4	10	lam		confirm	H	
4	11	rz		confirm	H	
4	12	a	5	confirm	M	
4	13	S7		confirm	H	
4	14	lam	7	confirm	H	
4	15	phi		confirm	H	
4	16	H	1|o	confirm	H	
4	17	m	~	confirm	H	
4	18	w		confirm	H	
4	19	]	o	confirm	H	
4	20	psi		confirm	H	
4	21	_		plain	M	
4	22	_		plain	H	
4	23	]	o|dot	confirm	H	
4	24	lam	1	confirm	H	
4	25	e		confirm	H	
4	26	_		plain	M	
4	27	psi		confirm	H	
4	28	bh		confirm	H	
4	29	_		plain	M	
4	30	_		plain	H	
5	1	a	~	confirm	H	
5	2	_		plain	H	
5	3	rz		confirm	H	
5	4	tee		confirm	M	
5	5	eps	1	confirm	H	
5	6	m	7	confirm	H	
5	7	lam		confirm	H	
5	8	S7	#	confirm	H	
5	9	e		confirm	H	
5	10	wd		confirm	H	
5	11	y		confirm	M	
5	12	_		plain	M	
5	13	y		confirm	H	
5	14	_		plain	L	
5	15	_		plain	H	
5	16	_		plain	H	
5	17	]	o	confirm	H	
5	18	_		plain	M	
5	19	nt		confirm	H	
5	20	y		confirm	H	
5	21	w		confirm	H	
5	22	e	dot	confirm	H	
5	23	y		confirm	H	
5	24	phi		confirm	H	
5	25	nt		confirm	H	
5	26	f		confirm	M	
6	1	eps	1	confirm	H	
6	2	_		plain	L	
6	3	lam	1	confirm	H	
6	4	S7		confirm	H	
6	5	#		confirm	H	
6	6	e		confirm	H	
6	7	Z		confirm	H	
6	8	S7		confirm	H	
6	9	lam	~	confirm	H	
6	10	e		confirm	H	
6	11	w		confirm	H	
6	12	a	~	confirm	H	
6	13	eps	5	confirm	H	
6	14	S7		confirm	H	
6	15	L		confirm	H	
6	16	e		confirm	H	
6	17	S7		confirm	H	
6	18	lam		confirm	H	
6	19	H	1|o|~	confirm	H	
6	20	e		confirm	H	
6	21	_		plain	M	
6	22	_		plain	H	
6	23	e		confirm	H	
6	24	e		confirm	H	
6	25	_		plain	M	
6	26	S4		confirm	H	
6	27	_		plain	L	
7	1	eps		confirm	H	
7	2	+		confirm	H	
7	3	_		plain	M	
7	4	_		plain	M	
7	5	_		plain	H	
7	6	_		plain	H	
7	7	_		plain	M	
7	8	_		plain	M	
7	9	_		plain	H	
7	10	_		plain	M	
7	11	_		plain	M	
7	12	_		plain	H	
7	13	rz		confirm	H	
7	14	tee		confirm	M	
7	15	Z	dot	confirm	H	
7	16	Z		confirm	H	
7	17	w		confirm	H	
7	18	Z		confirm	M	
7	19	lam		confirm	H	
7	20	g	5	confirm	H	
7	21	Z		confirm	H	
7	22	H	5	confirm	H	
7	23	_		plain	M	
7	24	_		plain	M	
7	25	_		plain	H	
7	26	_		plain	H	
7	27	_		plain	H	
8	1	_		plain	H	
8	2	_		plain	H	
8	3	v		confirm	M	
8	4	_		plain	L	
8	5	_		plain	H	
8	6	S		confirm	H	
8	7	lam		confirm	H	
8	8	_		plain	H	
8	9	_		plain	H	
8	10	_		plain	H	
8	11	_		plain	H	
8	12	_	dot	plain	H	
8	13	_		plain	M	
8	14	_		plain	H	
8	15	#		confirm	L	
8	16	_		plain	H	
8	17	_		plain	H	
8	18	_		plain	M	
8	19	tee		confirm	M	
8	20	_		plain	M	
8	21	S		confirm	H	
8	22	tee		confirm	H	
8	23	_		plain	H	
8	24	a		confirm	H	
8	25	_		plain	H	
8	26	_		plain	M	
8	27	lam		confirm	M	
9	1	dl		confirm	H	
9	2	Lx		confirm	H	
9	3	[	dot	confirm	M	
9	4	S7		confirm	H	
9	5	_		plain	H	
9	6	+	dot	confirm	L	
9	7	]		confirm	M	
9	8	w	dot|#	confirm	M	
9	9	y		confirm	H	
9	10	nt		confirm	M	
9	11	bh		confirm	H	
9	12	w		confirm	H	
9	13	e		confirm	H	
9	14	f		confirm	H	
9	15	w		confirm	H	
9	16	y		confirm	H	
9	17	_		plain	H	
9	18	tee		confirm	H	
9	19	K		confirm	H	
9	20	phi		confirm	H	
9	21	_		plain	H	
9	22	rz		confirm	H	
9	23	tee		confirm	M	
10	1	_		plain	M	
10	2	y		confirm	L	
10	3	_		plain	H	
10	4	g		confirm	H	
10	5	S7	1	confirm	H	
10	6	#	dot	confirm	H	
10	7	_	5	plain	H	
10	8	S7		confirm	H	
10	9	_		plain	H	
10	10	tee		confirm	H	
10	11	Lx		confirm	M	
10	12	e	#	confirm	H	
10	13	g	~	confirm	H	
10	14	y		confirm	H	
10	15	Z	ot	confirm	H	
10	16	S7		confirm	H	
10	17	lam		confirm	H	
10	18	H	o|1	confirm	H	
10	19	eps	#	confirm	H	
10	20	S7		confirm	H	
10	21	eps		confirm	H	
10	22	_		plain	L	
10	23	nt		confirm	H	
10	24	e		confirm	H	
10	25	_	5	plain	L	
11	1	Z	dot	confirm	H	
11	2	y		confirm	H	
11	3	nt		confirm	H	
11	4	bh		confirm	H	
11	5	Z		confirm	M	
11	6	S7		confirm	M	
11	7	p		confirm	H	
