path	bytes	sha1	dims	kind	source	cited_by
images/canvas55_f54_confirm.jpg	20306	26bcb06be7a28b7063ba8a5505648e48883b6dd6	400x270	image	not recorded	./NOTES.md;./images_manifest_full.tsv
images/canvas56_native.jpg	57304	94171077153910c830c029a0ae6ec231620bf06d	600x407	image	not recorded	./images_manifest_full.tsv
images/canvas57_native.jpg	56129	53c3a4ec78990dc9cf110613f4755d48d779f323	600x409	image	not recorded	./images_manifest_full.tsv
images/canvas58_native.jpg	59132	f20f32cb746bba0f7ca8dde4f2197e369488acef	600x405	image	not recorded	./images_manifest_full.tsv
images/canvas59_native.jpg	52637	d27fac6ed3fd0309b128a9bfaeab5c39349b23ae	600x406	image	gallica.bnf.fr IIIF: https://gallica.bnf.fr/iiif/ark:/12148/btv1b90600674/f59/full/600,/0/default.jpg	./images_manifest_full.tsv
images/canvas71_fol70_check.jpg	31806	d96c092ffd218bf9eb59a642ec3d47ca5dd91294	600x409	image	not recorded	./NOTES.md;./images_manifest_full.tsv
images/canvas72_fol70_check.jpg	29601	eba8a0e79bc9e6cf053b6e5cf4d84d9e249a6346	600x407	image	not recorded	./NOTES.md;./images_manifest_full.tsv
images/f54r_L01_s1.jpg	130169	c1b37d0df34ebb33086cc2c5c00522f92e32a318	2400x434	image	crop of images/src_ark_12148_btv1b90600674_f55_4085_0_4086_5513.jpg box=[4085, 0, 6485, 434] via tools/iiif_lines.py row ink profile (params {'pitch_autocorr': 210, 'distance': 147, 'prominence': 612.9}, 24 Sep 2026)	./images_manifest_full.tsv
images/f54r_L01_s2.jpg	142062	d9c4808c2793b87d4f5ff00be92ac926261ab288	2400x434	image	crop of images/src_ark_12148_btv1b90600674_f55_4085_0_4086_5513.jpg box=[5771, 0, 8171, 434] via tools/iiif_lines.py row ink profile (params {'pitch_autocorr': 210, 'distance': 147, 'prominence': 612.9}, 24 Sep 2026)	./images_manifest_full.tsv
images/f54r_L02_s1.jpg	182893	8184040ff3f3f2ca014530cbc108d2e2f4531bee	2400x466	image	crop of images/src_ark_12148_btv1b90600674_f55_4085_0_4086_5513.jpg box=[4085, 434, 6485, 900] via tools/iiif_lines.py row ink profile (params {'pitch_autocorr': 210, 'distance': 147, 'prominence': 612.9}, 24 Sep 2026)	./images_manifest_full.tsv;./disagreements.tsv
images/f54r_L02_s2.jpg	172900	b48b5584e09d6da19d8e634682795999672c4e1b	2400x466	image	crop of images/src_ark_12148_btv1b90600674_f55_4085_0_4086_5513.jpg box=[5771, 434, 8171, 900] via tools/iiif_lines.py row ink profile (params {'pitch_autocorr': 210, 'distance': 147, 'prominence': 612.9}, 24 Sep 2026)	./images_manifest_full.tsv;./disagreements.tsv
