line	pos	code	marks	grade
1	1	_		AB
1	2	o.		AB
1	3	y		AB
1	4	bh		AB
1	5	e		AB
1	6	tee		AB
1	7	_		settled
1	8	_		settled
1	9	_		settled
1	10	_		settled
1	11	_	~	settled
1	12	bh		AB
1	13	g		AB
1	14	_		AB
1	15	Z	dot	AB
1	16	nt		AB
1	17	y		AB
1	18	e		AB
1	19	w		AB
1	20	psi		settled
1	21	e	+	settled
1	22	w		AB
1	23	H	5|1	AB
1	24	nt		AB
1	25	S7		AB
1	26	_		AB
1	27	_		AB
1	28	S		AB
1	29	S		AB
2	1	e		AB
2	2	e	dot|#	AB
2	3	#	dot|~	AB
2	4	bh		AB
2	5	S7		AB
2	6	Z	dot	AB
2	7	e		AB
2	8	wd		AB
2	9	y		AB
2	10	a	~	AB
2	11	e	#	settled
2	12	g	7	settled
2	13	a	1	AB
2	14	a	1	AB
2	15	S		AB
2	16	w		AB
2	17	rz		AB
2	18	y		AB
2	19	tee		AB
2	20	_		AB
2	21	g		AB
2	22	_		settled
2	23	_		AB
2	24	S7		AB
2	25	bh		AB
2	26	g	~	AB
2	27	y		AB
2	28	_		AB
2	29	_		AB
2	30	bh		AB
2	31	]	o	AB
2	32	lam	5	AB
2	33	phi		AB
2	34	a	7	AB
3	1	_		AB
3	2	_		AB
3	3	m	1	AB
3	4	w		AB
3	5	]	o	AB
3	6	lam	5	AB
3	7	H	1|5	AB
3	8	e		AB
3	9	wd		AB
3	10	y		AB
3	11	L		AB
3	12	w		AB
3	13	tee		AB
3	14	o.		AB
3	15	nt		AB
3	16	bh		AB
3	17	]	o	AB
3	18	e		AB
3	19	_		AB
3	20	phi		AB
3	21	y		AB
3	22	nt		AB
3	23	o.		settled
3	24	g	3	settled
3	25	g	~	AB
3	26	g	1	AB
3	27	e		settled
4	1	_		AB
4	2	S4		AB
4	3	dl		AB
4	4	p		settled
4	5	_		settled
4	6	_		AB
4	7	_		AB
4	8	_		AB
4	9	eps		AB
4	10	+		AB
4	11	p		settled
4	12	_		settled
4	13	_		AB
4	14	a	dot	AB
4	15	_		AB
4	16	_		AB
4	17	_		AB
4	18	_		AB
4	19	_		AB
4	20	_		settled
4	21	_		AB
4	22	_		AB
4	23	_		AB
4	24	_		AB
4	25	_		AB
4	26	_		AB
5	1	y		AB
5	2	_		AB
5	3	_		AB
5	4	_		AB
5	5	_		AB
5	6	_	dot	settled
5	7	_		AB
5	8	_		AB
5	9	_		AB
5	10	_		settled
5	11	S		AB
5	12	_		settled
5	13	phi		AB
5	14	a	7	AB
5	15	g	7	AB
5	16	a	1	AB
5	17	S7		AB
5	18	e	dot|+	settled
5	19	L		settled
5	20	S7		AB
5	21	S		AB
5	22	w		AB
5	23	_		AB
5	24	rz		AB
5	25	lam	5	AB
6	1	sq		settled
6	2	psi		AB
6	3	lam	5	AB
6	4	eps	5	AB
6	5	nt		AB
6	6	[		AB
6	7	rz		AB
6	8	g	~	AB
6	9	Z		AB
6	10	]	o	AB
6	11	S7		AB
6	12	e	#	AB
6	13	eps	5	AB
6	14	_		AB
6	15	lam		AB
6	16	S		AB
6	17	_		AB
6	18	rz		AB
6	19	]	ot	AB
6	20	g		AB
6	21	g	7	AB
6	22	]	o	AB
6	23	lam		AB
6	24	bh		AB
6	25	S7	#	AB
6	26	Lx		AB
6	27	dl		AB
6	28	_		settled
6	29	_		AB
6	30	_		AB
7	1	_		AB
7	2	_		AB
7	3	S		AB
7	4	S	#	AB
7	5	ch		AB
7	6	e		AB
7	7	_		AB
7	8	S4		settled
7	9	dl		AB
7	10	_		settled
7	11	nt		AB
7	12	S7	+	AB
7	13	bh		AB
7	14	nt		AB
7	15	y		AB
7	16	g		AB
7	17	bh		AB
7	18	S7		AB
7	19	#		settled
7	20	g	1	AB
7	21	w		AB
7	22	y		settled
7	23	_		AB
7	24	S7		AB
7	25	]	o	AB
7	26	sq		settled
8	1	Z		AB
8	2	_		AB
8	3	bh		AB
8	4	sq	o	AB
8	5	w	#	AB
8	6	rz		AB
8	7	lam		AB
8	8	g	1|~	AB
8	9	]		AB
8	10	y	ot	AB
8	11	lam		AB
8	12	lam		AB
8	13	g		AB
8	14	bh		AB
8	15	phi		AB
8	16	e		AB
8	17	g		AB
8	18	bh		AB
8	19	[		AB
8	20	_		AB
8	21	_		AB
8	22	m	~	AB
8	23	w		AB
8	24	m	~	AB
8	25	lam		AB
8	26	bh	7	AB
8	27	phi		AB
8	28	y		AB
8	29	g		AB
8	30	Z		AB
8	31	g		AB
8	32	Z		AB
9	1	m	~	AB
9	2	w		AB
9	3	y		AB
9	4	a	7	AB
9	5	_		AB
9	6	_		AB
9	7	L		AB
9	8	w		AB
9	9	tee		AB
9	10	_		AB
9	11	nt		AB
9	12	bh		AB
9	13	]	ot	AB
9	14	nt		AB
9	15	_		AB
9	16	U		settled
9	17	w		AB
9	18	o.		AB
9	19	S7		AB
9	20	eps	7	AB
9	21	m	~	AB
9	22	rz		AB
9	23	tee		AB
9	24	a	1	AB
9	25	_		AB
9	26	bh		AB
9	27	g		AB
9	28	Z		AB
9	29	phi		AB
9	30	[		AB
10	1	a	7	settled
10	2	w		AB
10	3	tee		AB
10	4	o.		AB
10	5	bh		AB
10	6	g	~	AB
10	7	H		AB
10	8	L		AB
10	9	Lx		AB
10	10	o.		AB
10	11	a	1	AB
10	12	o.		AB
10	13	e		AB
10	14	nt		AB
10	15	S7		AB
10	16	S		settled
10	17	_		AB
10	18	eps	5	AB
10	19	tee		AB
10	20	sq	?	AB
10	21	]	ot	AB
10	22	tee		settled
10	23	dl		AB
10	24	p		AB
10	25	_		AB
10	26	_		AB
10	27	_		AB
11	1	_		AB
11	2	_		AB
11	3	_		settled
11	4	_		AB
11	5	_		AB
11	6	_		AB
11	7	_		AB
11	8	_		AB
11	9	phi		AB
11	10	S7	#	AB
11	11	m		settled
11	12	f		AB
11	13	w		AB
11	14	_		AB
11	15	m		AB
11	16	_		AB
11	17	_		AB
11	18	rz		AB
11	19	H	1	AB
11	20	e	dot|+	AB
11	21	L		AB
11	22	w		AB
11	23	tee		AB
11	24	_		AB
11	25	nt		AB
12	1	Z	dot	AB
12	2	phi		AB
12	3	_		AB
12	4	dl		AB
12	5	eps		AB
12	6	_		AB
12	7	_		AB
12	8	_		AB
12	9	_		AB
12	10	_		AB
12	11	a		settled
12	12	_		AB
12	13	_		settled
12	14	_		AB
12	15	_		AB
12	16	_		AB
12	17	_		AB
12	18	_		AB
12	19	_		AB
12	20	_		settled
12	21	_		AB
12	22	tee		AB
12	23	_		AB
12	24	_		settled
12	25	_		AB
12	26	_		AB
12	27	_		AB
12	28	N		AB
12	29	eps		AB
12	30	+		AB
12	31	p		AB
12	32	m		AB
12	33	_		AB
12	34	_		AB
12	35	bh		AB
13	1	_		settled
13	2	_		settled
13	3	lam		AB
13	4	w		AB
13	5	eps	5	AB
13	6	H		AB
13	7	eps		AB
13	8	w		AB
13	9	lam		AB
13	10	L	7	AB
13	11	eps	5	AB
13	12	S		settled
13	13	g		AB
13	14	H	1|o	AB
13	15	tee		AB
13	16	bh		AB
13	17	K		AB
13	18	v	#|1	AB
13	19	m	1	AB
13	20	w		AB
13	21	]	o	AB
13	22	Z		AB
13	23	m	~	AB
13	24	_		AB
13	25	g		AB
13	26	o.		AB
13	27	S7		AB
13	28	y		AB
13	29	tee		AB
13	30	f		AB
13	31	g		AB
13	32	S		AB
13	33	m		settled
14	1	nt		AB
14	2	H	1|o	AB
14	3	o.		AB
14	4	S7		AB
14	5	sq		settled
14	6	psi		AB
14	7	lam		AB
14	8	S4	5	AB
14	9	phi		AB
14	10	S4		AB
14	11	S		AB
14	12	_		AB
14	13	_		settled
14	14	N		AB
14	15	_		AB
14	16	_		AB
14	17	_		AB
14	18	_		AB
14	19	_		AB
