line	pos	script_code	script_marks	share
1	1	y		1.00
1	2	ch		0.81
1	3	_		0.60
1	4	_	1	1.00
1	5	_		1.00
1	6	_		1.00
1	7	_	#	1.00
1	8	w		0.80
1	9	_		0.81
1	10	g		0.59
1	11	psi		0.80
1	12	nt		1.00
1	13	bh		1.00
1	14	_		0.80
1	15	_		0.80
1	16	tee		1.00
1	17	lam		1.00
1	18	S		1.00
1	19	Z	dot|ot	1.00
1	20	g		1.00
1	21	lam	7	1.00
1	22	rz	~	1.00
1	23	g		1.00
1	24	_		0.75
1	25	tee		1.00
1	26	lam		1.00
1	27	S		1.00
1	28	_	dot	1.00
1	29	bh	dot	1.00
1	30	Z		0.43
1	31	phi	dot	0.83
1	32	w		1.00
2	1	v	dot	0.40
2	2	_		0.60
2	3	S7		1.00
2	4	y	5	1.00
2	5	w		1.00
2	6	Z	ot	1.00
2	7	lam		1.00
2	8	g	~	1.00
2	9	e		1.00
2	10	tee		1.00
2	11	K	1	1.00
2	12	phi	5	0.81
2	13	U		1.00
2	14	w		1.00
2	15	bh		1.00
2	16	lam	~	1.00
2	17	_		1.00
2	18	bh		1.00
2	19	g		1.00
2	20	Z		0.82
2	21	Z		1.00
2	22	g		1.00
2	23	S		1.00
2	24	e		1.00
2	25	p	1	1.00
2	26	eps	o	1.00
2	27	tee		0.79
2	28	p		1.00
2	29	nt		0.60
3	1	y	dot	1.00
3	2	_	dot	0.85
3	3	_		0.80
3	4	_	dot	0.80
3	5	_		1.00
3	6	_	dot	0.81
3	7	_		0.80
3	8	_		1.00
3	9	lam		0.63
3	10	_		1.00
3	11	#		0.81
3	12	lam		1.00
3	13	f		0.41
3	14	Z		0.43
3	15	y		1.00
3	16	e	dot	1.00
3	17	_		0.83
3	18	rz		1.00
3	19	g	7	1.00
3	20	g		1.00
3	21	Z		1.00
3	22	S7		1.00
3	23	#		0.59
3	24	rz	dot	1.00
3	25	S7		1.00
3	26	lam		1.00
3	27	nt		0.61
3	28	Lx		0.78
3	29	g		0.62
3	30	p		0.81
3	31	_		0.61
3	32	_		0.81
4	1	w		1.00
4	2	tee		1.00
4	3	rz		1.00
4	4	y		1.00
4	5	lam		1.00
4	6	lam	1	1.00
4	7	S7		1.00
4	8	U		0.82
4	9	w		1.00
4	10	bh		1.00
4	11	a	~	1.00
4	12	nt		0.78
4	13	bh		1.00
4	14	dl		1.00
4	15	Lx		1.00
4	16	y		0.82
4	17	w		0.40
4	18	tee		0.81
4	19	y	dot	0.41
4	20	eps	~	1.00
4	21	g		1.00
4	22	Z		1.00
4	23	phi		1.00
4	24	w		0.61
4	25	w		1.00
4	26	psi		1.00
4	27	S7		1.00
4	28	_		1.00
4	29	S7		1.00
5	1	eps	~	1.00
5	2	wd		1.00
5	3	o.		1.00
5	4	w		1.00
5	5	g	5	1.00
5	6	g		0.42
5	7	_		0.82
5	8	_		1.00
5	9	e	+	0.66
5	10	_	dot	1.00
5	11	psi		1.00
5	12	_		1.00
5	13	w		1.00
5	14	g		0.75
5	15	m	~	1.00
5	16	w		1.00
5	17	m	1	1.00
5	18	w		1.00
5	19	lam	~	1.00
5	20	e		1.00
5	21	wd		1.00
5	22	bh		0.83
5	23	K	1	1.00
5	24	_		0.60
6	1	_	dot	0.64
6	2	_		1.00
6	3	_	dot	0.59
6	4	_	1	0.39
6	5	_		1.00
6	6	_		1.00
6	7	_		1.00
6	8	_		0.82
6	9	Lx		1.00
6	10	lam		1.00
6	11	S7	~	1.00
6	12	lam		1.00
6	13	g	1|~	1.00
6	14	nt		1.00
6	15	S7		1.00
6	16	+		0.80
6	17	dl	5	0.59
6	18	_		1.00
6	19	S7		1.00
6	20	S	~	0.62
6	21	H	1|o	1.00
6	22	m		1.00
6	23	w		1.00
6	24	tee		1.00
6	25	o.		1.00
7	1	_		1.00
7	2	y		1.00
7	3	nt		0.76
7	4	o.		1.00
7	5	S7		1.00
7	6	#		1.00
7	7	Z	o	0.79
7	8	_		1.00
7	9	L	~	1.00
7	10	_		0.80
7	11	g		1.00
7	12	bh		1.00
7	13	S7	#	1.00
7	14	e		1.00
7	15	wd		1.00
7	16	y		1.00
7	17	y		0.43
7	18	o.		1.00
7	19	rz		1.00
7	20	g		1.00
7	21	e		1.00
7	22	tee		1.00
7	23	K		1.00
7	24	g		1.00
7	25	e	#	1.00
7	26	Z	#	0.81
7	27	S7	dot	1.00
7	28	#		0.81
7	29	lam	dot	1.00
7	30	y	1	1.00
7	31	S7	#	1.00
7	32	phi	dot	1.00
8	1	_	dot|dot	1.00
8	2	L		0.61
8	3	bh		1.00
8	4	g		1.00
8	5	S7	~	1.00
8	6	lam		1.00
8	7	S7		1.00
8	8	_	+	0.79
8	9	e	#	1.00
8	10	tee		1.00
8	11	g		1.00
8	12	y	~	1.00
8	13	_	~	0.43
8	14	e	dot	1.00
8	15	p	1	1.00
8	16	bh	~	0.81
8	17	H	o|1	1.00
8	18	eps	7	1.00
8	19	y		1.00
8	20	psi		1.00
8	21	_		1.00
8	22	S7		1.00
8	23	#	dot	1.00
8	24	eps	5	0.77
8	25	_		1.00
8	26	f		1.00
8	27	w		1.00
8	28	o.		1.00
8	29	_	dot	1.00
8	30	o.	dot	1.00
8	31	nt		0.58
9	1	_		1.00
9	2	_		1.00
9	3	o.		1.00
9	4	m	~	1.00
9	5	w		1.00
9	6	_	1	1.00
9	7	_		1.00
9	8	f		0.40
9	9	_	dot	1.00
9	10	_	ot	0.80
9	11	wd		1.00
9	12	bh		1.00
9	13	g		1.00
9	14	e	#	0.49
9	15	nt		1.00
9	16	o.		1.00
9	17	]	ot	1.00
9	18	g		0.80
9	19	Lx	5	1.00
