line	pos	code	marks	action	conf	note
1	1	_		correct	H	"P of ""Parlato"", continuous plain cursive stroke into pos2 (""arlato""); no gap between boxes, one pen stroke"
1	2	_		plain	H	
1	3	S4		confirm	M	
1	4	dl		confirm	H	
1	5	Z		confirm	L	
1	6	a	5	confirm	L	
1	7	tee		confirm	H	
1	8	_	dot	plain	M	
1	9	#	#	confirm	M	
1	10	lam	dot|~	confirm	L	
1	11	eps	7	confirm	H	
1	12	w		confirm	H	
1	13	eps	1	confirm	L	
1	14	]	o	confirm	H	
1	15	g	7	confirm	H	
1	16	L		confirm	H	
1	17	w		confirm	H	
1	18	a	1	confirm	H	
1	19	lam	7	confirm	H	
1	20	bh		confirm	H	
1	21	S7		confirm	H	
1	22	#		confirm	H	
1	23	H	1|o	confirm	H	
1	24	Z	dot|ot	confirm	H	
1	25	_		plain	M	
1	26	_		plain	H	
1	27	#		confirm	L	
1	28	bh	dot	confirm	H	
1	29	_		delete	H	"folio pagination numeral ""5"" of ""57"" at top-right corner of the page (y~31, far above line1's text band y~168-193), not cipher/plain text"
1	30	_		delete	H	"folio pagination numeral ""7"" of ""57"" at top-right corner of the page (y~32, far above line1's text band y~168-193), not cipher/plain text"
2	1	Z		confirm	H	
2	2	L	dot	confirm	H	
2	3	g		confirm	H	
2	4	y	~	confirm	H	
2	5	g		confirm	M	
2	6	g		confirm	M	
2	7	]	ot	confirm	H	
2	8	_		plain	M	
2	9	y		confirm	M	script's w(pos8, plain)+y(pos9) boundary: the two strokes touch/overlap (gap -16px); kept both calls, boundary uncertain, worth pass B's atlas cross-check
2	10	Z	ot	confirm	H	
2	11	eps		confirm	H	
2	12	y		confirm	H	
2	13	[		confirm	M	
2	14	y		confirm	H	
2	15	phi		confirm	M	
2	16	v	1|5	confirm	H	
2	17	f		confirm	H	
2	18	w		confirm	H	
2	19	bh		confirm	H	
2	20	_		plain	M	
2	21	y		confirm	M	pos20(_)/pos21(y, mark7) boxes overlap (gap -17px), tight compound stroke; kept classifier's calls, boundary uncertain
2	22	tee		confirm	H	
2	23	f		confirm	H	
2	24	w		confirm	H	
2	25	y		confirm	H	
2	26	_	7|5	plain	M	
3	1	_		plain	H	
3	2	a	5	confirm	H	
3	3	tee		confirm	H	
3	4	lam		confirm	H	
3	5	o.	1	confirm	H	
3	6	_		plain	M	
3	7	_	5	plain	M	
3	8	w		confirm	H	
3	9	lam	1	confirm	H	
3	10	S7		confirm	H	
3	11	y		confirm	M	
3	12	g		confirm	H	
3	13	_	1	plain	L	
3	14	_	1	plain	H	
3	15	]	o	confirm	H	
3	16	e	#|dot	confirm	H	
3	17	eps		confirm	H	
3	18	y		confirm	H	
3	19	_		plain	M	
3	20	g	1	confirm	H	
3	21	lam		confirm	H	
3	22	bh		confirm	H	
3	23	S7	#	confirm	H	
3	24	e	ot	confirm	H	
3	25	wd		confirm	H	
3	26	y		confirm	H	
3	27	eps	5	confirm	M	
3	28	S7		confirm	H	
4	1	f		confirm	H	
4	2	w		confirm	H	
4	3	o.		confirm	H	
4	4	_	dot	plain	H	
4	5	o.	dot	confirm	H	
4	6	lam		confirm	H	
4	7	bh		confirm	H	
4	8	S7		confirm	H	
4	9	#		confirm	H	
4	10	H	1	confirm	H	
4	11	g	o	confirm	H	
4	12	y		confirm	H	
4	13	y		confirm	H	
4	14	g	1	confirm	H	
4	15	e	+	confirm	L	
4	16	L		confirm	H	
4	17	g	~	confirm	H	
4	18	m	~	confirm	H	
4	19	w		confirm	H	
4	20	e	+	confirm	H	
4	21	L	dot|~	confirm	H	
4	22	_		plain	M	
4	23	_		plain	M	
4	24	bh		confirm	H	
4	25	S7		confirm	H	
4	26	#		confirm	H	
4	27	e		confirm	H	
4	28	f		confirm	L	
4	29	g		confirm	M	
5	1	sq	?	confirm	M	
