line	pos	script_code	script_marks	share
1	1	p		1.00
1	2	_		1.00
1	3	S4		0.80
1	4	dl		1.00
1	5	Z		0.41
1	6	a	5	0.41
1	7	tee		1.00
1	8	_	dot	0.80
1	9	#	#	0.83
1	10	lam	dot|~	0.41
1	11	eps	7	1.00
1	12	w		1.00
1	13	eps	1	0.41
1	14	]	o	1.00
1	15	g	7	1.00
1	16	L		1.00
1	17	w		1.00
1	18	a	1	1.00
1	19	lam	7	1.00
1	20	bh		1.00
1	21	S7		1.00
1	22	#		1.00
1	23	H	1|o	1.00
1	24	Z	dot|ot	1.00
1	25	_		0.80
1	26	_		1.00
1	27	#		0.40
1	28	bh	dot	1.00
1	29	S		0.42
1	30	S7	dot	0.41
2	1	Z		1.00
2	2	L	dot	1.00
2	3	g		1.00
2	4	y	~	1.00
2	5	g		0.80
2	6	g		0.63
2	7	]	ot	1.00
2	8	_		0.84
2	9	y		1.00
2	10	Z	ot	1.00
2	11	eps		1.00
2	12	y		1.00
2	13	[		0.60
2	14	y		1.00
2	15	phi		0.79
2	16	v	1|5	1.00
2	17	f		1.00
2	18	w		1.00
2	19	bh		1.00
2	20	_		0.81
2	21	y		1.00
2	22	tee		1.00
2	23	f		1.00
2	24	w		1.00
2	25	y		1.00
2	26	_	7|5	0.61
3	1	_		1.00
3	2	a	5	1.00
3	3	tee		1.00
3	4	lam		1.00
3	5	o.	1	1.00
3	6	_		0.82
3	7	_	5	0.79
3	8	w		1.00
3	9	lam	1	1.00
3	10	S7		1.00
3	11	y		0.80
3	12	g		1.00
3	13	_	1	0.43
3	14	_	1	1.00
3	15	]	o	1.00
3	16	e	#|dot	1.00
3	17	eps		1.00
3	18	y		1.00
3	19	_		0.80
3	20	g	1	1.00
3	21	lam		1.00
3	22	bh		1.00
3	23	S7	#	1.00
3	24	e	ot	1.00
3	25	wd		1.00
3	26	y		1.00
3	27	eps	5	0.79
3	28	S7		1.00
4	1	f		1.00
4	2	w		1.00
4	3	o.		1.00
4	4	_	dot	1.00
4	5	o.	dot	1.00
4	6	lam		1.00
4	7	bh		1.00
4	8	S7		1.00
4	9	#		1.00
4	10	H	1	1.00
4	11	g	o	1.00
4	12	y		1.00
4	13	y		1.00
4	14	g	1	1.00
4	15	e	+	0.53
4	16	L		1.00
4	17	g	~	1.00
4	18	m	~	1.00
4	19	w		1.00
4	20	e	+	1.00
4	21	L	dot|~	1.00
4	22	_		0.64
4	23	_		0.81
4	24	bh		1.00
4	25	S7		1.00
4	26	#		1.00
4	27	e		1.00
4	28	f		0.40
4	29	g		0.64
5	1	sq	?	0.79
5	2	Z		1.00
5	3	eps	5	1.00
5	4	S7		1.00
5	5	f		1.00
5	6	w		1.00
5	7	o.		1.00
5	8	_	dot	1.00
5	9	lam		1.00
5	10	bh	7	1.00
5	11	S7		1.00
5	12	#		1.00
5	13	Z		1.00
5	14	nt		1.00
5	15	_		1.00
5	16	rz		1.00
5	17	S7		1.00
5	18	#		1.00
5	19	_	5|dot	0.57
5	20	lam		1.00
5	21	w	~	1.00
5	22	g	dot	1.00
5	23	Z	ot	1.00
5	24	w	ot	0.39
5	25	g		1.00
5	26	Z		0.81
5	27	y		1.00
5	28	e		1.00
6	1	nt		1.00
6	2	bh		1.00
6	3	e	dot	1.00
6	4	sq	1	0.80
6	5	tee		1.00
6	6	H	1|o	1.00
6	7	m	1	1.00
6	8	w		1.00
6	9	lam	7	1.00
6	10	eps	~	1.00
6	11	wd		0.82
6	12	y		1.00
6	13	m	~	1.00
6	14	w		1.00
6	15	]	o	1.00
6	16	eps	~	0.80
6	17	S7		1.00
6	18	lam		1.00
6	19	y	7	1.00
6	20	nt		0.41
6	21	]	~	1.00
6	22	rz		1.00
6	23	Z		0.40
6	24	rz		1.00
7	1	w		1.00
7	2	eps	7	0.81
7	3	S7		1.00
7	4	lam	5	1.00
7	5	e	#	1.00
7	6	p	1	0.79
7	7	o.	o	1.00
7	8	bh		1.00
7	9	y		1.00
7	10	bh		1.00
7	11	e		1.00
