line	pos	script_code	script_marks	share
1	1	_		1.00
1	2	N		1.00
1	3	bh		0.62
1	4	_		1.00
1	5	_		1.00
1	6	_		1.00
1	7	_		0.44
1	8	Lx		0.39
1	9	w		0.82
1	10	_		0.81
1	11	_		1.00
1	12	_		1.00
1	13	_		1.00
1	14	ch		1.00
1	15	S4		1.00
1	16	Z		0.43
1	17	S7		1.00
1	18	#		1.00
1	19	nt		0.81
1	20	nt		1.00
1	21	S7		1.00
1	22	_		0.63
1	23	e	dot	1.00
1	24	wd		1.00
1	25	S		1.00
1	26	Z		0.21
2	1	o.		1.00
2	2	g		1.00
2	3	y		1.00
2	4	]	ot	0.81
2	5	g		1.00
2	6	S		1.00
2	7	S		1.00
2	8	_		1.00
2	9	_		0.61
2	10	m	1	1.00
2	11	w		1.00
2	12	S		1.00
2	13	]	o	1.00
2	14	H	1|o	1.00
2	15	w	+	0.41
2	16	m	~	1.00
2	17	g		1.00
2	18	S7		1.00
2	19	e	#	1.00
2	20	eps	5|dot	1.00
2	21	S7		1.00
2	22	]	dot|o	1.00
2	23	y		1.00
2	24	tee		0.82
2	25	f		1.00
2	26	w		1.00
2	27	o.		1.00
2	28	g		1.00
2	29	e	#	1.00
2	30	nt		1.00
2	31	y		1.00
3	1	g		0.60
3	2	e	dot	1.00
3	3	psi		1.00
3	4	lam	1	1.00
3	5	m	~	1.00
3	6	g		1.00
3	7	g	~	1.00
3	8	H		1.00
3	9	Z		1.00
3	10	psi		1.00
3	11	f		0.68
3	12	phi		1.00
3	13	H	#	1.00
3	14	v	1|5	1.00
3	15	rz		1.00
3	16	nt		1.00
3	17	rz		1.00
3	18	_		1.00
3	19	e	#	1.00
3	20	_	dot	0.81
3	21	psi		1.00
3	22	_		0.62
3	23	w		1.00
3	24	bh		1.00
3	25	eps	1	1.00
3	26	w		1.00
3	27	e	dot|dot	1.00
4	1	_		0.81
4	2	]		1.00
4	3	nt		0.62
4	4	psi		1.00
4	5	m	1	1.00
4	6	w		1.00
4	7	S7		1.00
4	8	nt		0.81
4	9	bh		1.00
4	10	]	ot	1.00
4	11	m		0.40
4	12	_	#	1.00
4	13	e	#	1.00
4	14	w		0.63
4	15	rz		1.00
4	16	eps	5	1.00
4	17	S7		0.41
4	18	_		1.00
