kind	from_type	to_type	n_a	n_b	evidence	confidence
merge	H^o|1	H^1|o	1	4	glyphs/f55v_atlas_pass/cmp_H_order.png -- f55v_16_011 (o|1) vs f55v_08_014,11_007,13_010,18_023 (1|o): all five show the identical "1" over "o" glyph pair in the same left-to-right order; the type label's pipe-order differs but the ink does not. Pooled-level check (ciphertext_*.tsv across all 8 leaves, string-only, not crop-verified beyond this leaf) finds the same unordered-pipe duplication in 6 more code groups: ]+dot/o (dot|o 7, o|dot 2), eps+1/dot (1 each), H+1/5 (1 each), e+#/dot (dot|# 6, #|dot 2), v+#/1 (1 each), v+1/5 (2 each) -- worth a codebook-wide mark-order canonicalization pass; flagged, not applied here (out of this leaf's crop-verification scope).	sure
keep_distinct	#^	+^	3	3	glyphs/f55v_atlas_pass/cmp_hash_vs_plus.png	sure (# is a 4-stroke hash grid, + a single cross; unambiguous at 1600px)
keep_distinct	g^	y^	16	16	glyphs/f55v_atlas_pass/cmp_g_vs_y.png	sure (distinct cursive letterforms; the CM2 pass-disagreement pair is a reading-error confusion, not a shape match)
keep_distinct	bh^	g^	12	16	glyphs/f55v_atlas_pass/cmp_bh_vs_g.png	sure (bh is a consistent loop+descending-tail shape across all 6 samples; g is a different, if internally noisier, shape)
keep_distinct	#^	Z^	3	6	glyphs/f55v_atlas_pass/cmp_hash_vs_Z.png	sure (hash grid vs cursive Z with tail)
keep_distinct	bh^	phi^	12	3	glyphs/f55v_atlas_pass/cmp_bh_vs_phi.png	sure (phi is a ring with a diagonal slash, unlike bh's loop+tail)
keep_distinct	S7^	S7^#	14	6	glyphs/f55v_atlas_pass/cmpM_S7_vs_S7hash.png (marks included via signs.tsv+marks.tsv combined boxes)	sure (every S7^# sample carries a real 3-4-stroke hash mark above the 7; every S7^ sample lacks it)
keep_distinct	S7^	S7^~	14	3	glyphs/f55v_atlas_pass/cmpM_S7_vs_S7tilde.png	sure (S7^~ carries a small "2"-shaped curl mark above the 7 in all 3 samples)
keep_distinct	e^	e^#	9	4	glyphs/f55v_atlas_pass/cmpM_e_vs_ehash.png (1600px -- looked identical, see note) + native Gallica IIIF crops images/native_e_check/e_bare_01_015.jpg vs e_hash_05_001.jpg,e_hash_06_012.jpg (ark btv1b90600674 canvas f57, native region, scale ~2.55x the 1600px reference)	sure (the 1600px reference is too coarse: it shows only the base e glyph's own inherent top crossbar stroke in both groups, so this pair FIRST LOOKED like a merge candidate. The native crop resolves a real, separate small # mark floating above that crossbar with a visible gap, present in both e^# samples and absent in the e^ sample -- a genuine distinction the 1600px copy could not show. Kept per rule 2, image over transcription.)
keep_distinct	g^	g^1	16	4	glyphs/f55v_atlas_pass/cmpM_g_vs_g1.png + native images/native_g_check/g_bare_01_019.jpg,g_bare_03_006.jpg,g_mark1_09_019.jpg	sure (native check: g^1 carries a clear cursive "1" above the g; the clean bare g^ example, 01_019, has no mark at all)
keep_distinct	g^	g^5	16	3	glyphs/f55v_atlas_pass/cmpM_g_vs_g5.png + native images/native_g_check/g_mark5_16_004.jpg	sure (native check: clear cursive "5" above the g, distinct from "1" and from bare)
keep_distinct	g^	g^dot	16	3	glyphs/f55v_atlas_pass/cmpM_g_vs_gdot.png + native images/native_g_check/g_dot_02_002.jpg	likely (native check shows a small separate mark above g in 2 of 3 samples, clearly not "1"- or "5"-shaped, but its own shape is not crisply a dot at this resolution either)
keep_distinct	lam^	lam^#	11	3	glyphs/f55v_atlas_pass/cmpM_lam_vs_lamhash.png	likely (2 of 3 lam^# samples show a clear separate hash-like mark above the clean lam^ triangle shape; 1 sample ambiguous)
keep_distinct	lam^	lam^5	11	3	glyphs/f55v_atlas_pass/cmpM_lam_vs_lam5.png	sure (all 3 lam^5 samples show a clear S/5-shaped mark above lam; no lam^ sample has one)
keep_distinct	e^	e^dot	9	7	glyphs/f55v_atlas_pass/cmpM_e_vs_edot.png	likely (5 of 6 e^dot samples show a small dot beyond e^'s own base crossbar; 1 sample ambiguous, and 1 e^ sample is itself borderline)
keep_distinct	eps^1	eps^5	3	3	glyphs/f55v_atlas_pass/cmpM_eps1_vs_eps5.png	likely (eps^1 carries a straight slash/tick mark, eps^5 a curved S-shaped mark; distinct but both small)
insufficient_n	S7^	S7^1	14	2	glyphs/f55v_atlas_pass/cmpM_S7_vs_S71.png	not scored: below the 3-occurrence threshold on the S7^1 side (n=2); at 1600px the two samples looked like bare 7s, not re-checked at native resolution
insufficient_n	]^o	]^ot	9	1	glyphs/f55v_atlas_pass/cmp_bracket_o_ot.png (f55v_13_018 vs f55v_03_007,05_012)	not scored: below the 3-occurrence threshold on the ]^ot side (n=1); leaning keep_distinct (the one ]^ot sample shows an extra diagonal tick crossing the ring that the two ]^o samples lack) but not scored
