line	pos	script_code	script_marks	share
1	1	y	7|dot	0.82
1	2	o.	dot	1.00
1	3	eps		1.00
1	4	+		1.00
1	5	p		1.00
1	6	_		1.00
1	7	#		0.61
1	8	_		1.00
1	9	_		0.58
1	10	_		1.00
1	11	S4		0.61
1	12	dl		1.00
1	13	+		0.41
1	14	Lx		0.81
1	15	_	1	1.00
1	16	y		1.00
1	17	y		1.00
1	18	g	~	1.00
1	19	_		1.00
1	20	S		1.00
1	21	_	1	1.00
1	22	o.		1.00
1	23	m	7	1.00
1	24	nt		1.00
1	25	y		1.00
1	26	S		1.00
2	1	y		1.00
2	2	y		1.00
2	3	_		0.44
2	4	g	~	0.62
2	5	sq		0.42
2	6	nt		0.58
2	7	psi		1.00
2	8	_	~	0.80
2	9	w		0.79
2	10	rz		1.00
2	11	_		1.00
2	12	_		1.00
2	13	_		0.40
2	14	g		1.00
2	15	psi		0.60
2	16	m	~	1.00
2	17	_		1.00
2	18	lam		1.00
2	19	o.	ot	1.00
2	20	S4		1.00
2	21	dl		0.63
2	22	Lx		0.44
2	23	w		0.80
3	1	S4		1.00
3	2	_		1.00
3	3	Lx		1.00
3	4	ch	#	0.39
3	5	lam		1.00
3	6	_		1.00
3	7	bh		1.00
3	8	S		1.00
3	9	Z		1.00
3	10	wd		1.00
3	11	_		1.00
3	12	H		1.00
3	13	e	dot	1.00
3	14	g		1.00
3	15	_		1.00
3	16	w		1.00
3	17	y		1.00
3	18	y		1.00
3	19	e		1.00
3	20	_		1.00
3	21	_		0.40
3	22	e	#	1.00
3	23	wd		1.00
3	24	bh		1.00
3	25	y		1.00
3	26	w		0.42
4	1	eps	7	1.00
4	2	_		1.00
4	3	psi		1.00
4	4	_		1.00
4	5	Z		1.00
4	6	e	dot|+	1.00
4	7	lam		1.00
4	8	_	1	1.00
4	9	rz		1.00
4	10	e	dot|#	1.00
4	11	_		0.58
4	12	psi		1.00
4	13	eps		1.00
4	14	w		1.00
4	15	[		0.61
4	16	lam		1.00
4	17	y	5	1.00
4	18	Z	#	0.63
4	19	S7		1.00
4	20	lam	7	1.00
4	21	]	o	1.00
4	22	Z		1.00
5	1	S7		1.00
5	2	#		0.62
5	3	lam	dot|1	1.00
5	4	_		1.00
5	5	wd		1.00
5	6	rz		1.00
5	7	dl	#	0.40
5	8	e	#	1.00
5	9	_		1.00
5	10	_		1.00
5	11	lam		1.00
5	12	H		0.58
5	13	m	o|1	1.00
5	14	w		1.00
5	15	]	o	1.00
5	16	S7		1.00
5	17	#	dot	1.00
5	18	e	#	1.00
5	19	wd		1.00
5	20	y		1.00
5	21	Z		1.00
5	22	Z	dot|o	0.43
5	23	_		0.59
6	1	_		0.60
6	2	a	1	1.00
6	3	lam		1.00
6	4	bh		1.00
6	5	S7		1.00
6	6	#		1.00
6	7	e	dot	1.00
6	8	g	5	1.00
6	9	w		0.59
6	10	tee		1.00
6	11	o.		1.00
6	12	H		1.00
6	13	_		1.00
6	14	g	dot	1.00
6	15	w		1.00
6	16	S7		1.00
6	17	y		1.00
6	18	H	1|o	1.00
6	19	m	~	1.00
6	20	_		1.00
6	21	_		0.63
6	22	y		1.00
6	23	S		1.00
6	24	L		1.00
6	25	_	~	0.81
6	26	H		1.00
7	1	w		1.00
7	2	tee		1.00
7	3	o.		1.00
7	4	y		1.00
7	5	tee		1.00
7	6	f		1.00
7	7	w		1.00
7	8	Lx		0.81
7	9	dl		1.00
7	10	o.		1.00
7	11	S4		1.00
7	12	dl		1.00
7	13	Lx		1.00
7	14	dl		1.00
7	15	y		1.00
7	16	+		0.81
7	17	_		1.00
7	18	S7		0.60
7	19	dl		1.00
7	20	v		1.00
7	21	_		1.00
7	22	y		0.58
7	23	lam		0.81
7	24	nt		0.55
7	25	_	dot	1.00
8	1	]		0.40
8	2	_	dot	0.59
8	3	_		0.83
8	4	_		0.84
8	5	_		1.00
8	6	Z		0.80
8	7	lam		0.63
8	8	_		0.55
8	9	S		0.79
8	10	Z		0.42
8	11	S		0.42
8	12	_		0.61
8	13	_		1.00
8	14	tee		0.81
8	15	_		1.00
