shelfmark	item	folio	date	sender	recipient	ark	digitised	catalogued_cipher	design_match	signs_compared	est_sign_count	note
Français 3010	50	--	--	Jo[hannis] card. de Salviatis	Francorum regi (French king)	cc49468n	yes (pictoGallica)	no	n/a	0	plain per catalogue, "Da Castel San Giovanni, alli XI..." (date truncated in item text)
Français 3014	8	--	--	Johannes card. de Salviatis	magno magistro Franciae (grand maistre = Montmorency)	cc49472d	yes (pictoGallica)	no	n/a	0	plain per catalogue, in italien
Français 3016	14	--	--	Jo[hannes] card. de Salviatis	gran maestro di Francia	cc49474w	yes (pictoGallica)	no	n/a	0	plain per catalogue, in italien
Français 3033	5	--	--	Johannes card. de Salviatis, legatus	illustrissimo monsignor...	cc49492t	yes (pictoGallica)	no	n/a	0	plain per catalogue, in italien
Français 3034	3	Fol. 7	--	Johannes card. de Salviatis	monseigneur le grand maistre	cc494932	yes (pictoGallica)	no	n/a	0	plain per catalogue; full 70-item finding aid read directly (item_fr3034.html) -- items 68 (Fol.156, "Lettre, en chiffre," Landriano 30 Aug 1528, anonymous sender) and 69 (Fol.160, "Lettre, en chiffre, d'Ambrosio Bizozola... a Maximiliano Sforza") in the SAME volume are catalogued cipher, but neither is a Salviati letter -- not image-checked this pass (different sender/office, out of Salviati-sibling scope, flagged for a future pool-design check)
Français 3037	31	--	--	Jo[hannes] card. de Salviatis	monseigneur le grand maistre de France	cc49496s	yes (pictoGallica)	no	n/a	0	plain per catalogue
Français 3070	28	--	--	légat Jo[hannes] card. de Saviatis (sic)	domino magno magistro Franciae	cc49532r	yes (pictoGallica)	no	n/a	0	plain per catalogue, in italien
Français 3086	28	--	--	Jo[hannes] card. de Salviatis	Sor el Sor maestro	cc49549n	yes (pictoGallica)	no	n/a	0	plain per catalogue, in italien
Français 3087	90	--	3 Oct 1525	Jo[hannes] card. de Salviatis	(grand maistre, by series convention)	cc49550p	yes (pictoGallica)	no	n/a	0	plain per catalogue; closest in date to the target (13 days before, "Da Toledo, a di III di ottobre 1525") -- catalogue does not flag it ciphered even though this same fonds run flags cipher status per-item where present (see Français 3034 items 68/69), so the absence is meaningful, not an oversight class
Français 3095	15	--	--	Joannes card. de Salviatis, legatus	de Carlmont, at Parpegnayn (Perpignan)	cc49558m	yes (pictoGallica)	no	n/a	0	plain per catalogue
Français 3226	47	--	--	chevalier Salviati (NOT the cardinal)	duc de Genevoys et de Nemours	cc496875	yes (pictoGallica)	no	n/a	0	different Salviati (a "chevalier", not Cardinal Giovanni); plain per catalogue
Français 5761	3	--	--	(anonymous, "voiage d'Allemagne" office cipher)	--	cc587094	yes (pictoGallica)	yes	unclear	0	catalogued cipher ("Chiffres desquelz l'on a usé durant le voiage d'Allemagne") but unrelated correspondent/office (imperial-election embassy to the Palatine court); matched the "Salviati chiffres" query only because both words occur elsewhere in this large finding aid's full item list, not on the same item -- not a Salviati sibling, not image-checked
Italien 2101	--	--	1525-1561 (recueil)	Jac(opo) Salviati (the cardinal's FATHER, not Giovanni) to divers, per Sanga's copies	--	cc110534	yes (pictoGallica)	no	n/a	0	a copied-letters recueil (Clement VII's secretary Sanga's copies), not marked ciphered; different Salviati (father, not the cardinal) -- background only, matches the Strozziane "Jacopo Salviati cipher" lead already logged in NOTES.md check-solved section, not chased further
