code	huntington	hunt_grade	yale_tomokiyo	yale_grade	agree
4	wilm	M	cou	M	no
12	lors	C	ja	M	no
32	vous	C	de la	C	no
45	bons	C	general	C	no
60	pas	C	gres|fu	M	no
96	et	C	se	M	no
177	faire	C	du	C	no
202	a	C	bord	M	no
250	fi	C	rien	C	no
309	forces	C	v	M	no
315	on	C	fu|rent	M	no
337	dela	C	et	C	no
383	nos	C	ici	M	no
391	tes|te	C	lar / la	C	no
416	pris	C	que	C	no
444	te	C	ter	M	no
456	ils	C	dis	C	no
482	e	C	Washington	C	no
486	nos	M	le	M	no
511	gre	C	?	U	no
531	dela	C	po	M	no
538	avoient	M	mem	M	no
555	re	C	ger	C	no
610	etre	C	me / nez	M	no
642	ar	C	quel	C	no
680	moi	C	te	M	no
713	en	C	un / une	C	no
717	est	C	an	M	no
739	l'	M	te	M	no
740	donne	C	propos	M	no
806	vez	C	pas	C	no
835	chez|cher	C	ne	M	no
880	pres	C	pre	M	no
886	fe	C	n	M	no
894	s	M	et	C	no
896	in	C	a	C	no
903	deux	C	ce	C	no
905	ette	C	est	C	no
919	je	C	al	M	no
959	tres	C	on / tions	C	no
1002	da	C	treze	C	no
1022	en	C	l'	C	no
1096	et	M	une / un	C	no
1183	ici	C	d'	C	no
