line	pos	sign	conf	value	grade
mssDE108A_p1_L01	1	436	H	vous	C
mssDE108A_p1_L01	2	895	H	?	U
mssDE108A_p1_L01	3	880	H	pres	C
mssDE108A_p1_L01	4	86	H	non	C
mssDE108A_p1_L01	5	1188	H	mr	C
mssDE108A_p1_L01	6	6	H	que	C
mssDE108A_p1_L01	7	947	H	les	C
mssDE108A_p1_L01	8	443	H	anglais	C
mssDE108A_p1_L01	9	961	H	ont	C
mssDE108A_p1_L01	10	744	H	faites|fait	M
mssDE108A_p1_L02	1	878	H	une	C
mssDE108A_p1_L02	2	428	H	des	C
mssDE108A_p1_L02	3	72	H	cen	M
mssDE108A_p1_L02	4	444	H	te	C
mssDE108A_p1_L02	5	1022	H	en	C
mssDE108A_p1_L02	6	677	M	virginie	M
mssDE108A_p1_L02	7	266	H	ou	M
mssDE108A_p1_L02	8	1068	H	ils	C
mssDE108A_p1_L02	9	765	H	?	U
mssDE108A_p1_L02	10	931	H	y	C
mssDE108A_p1_L03	1	72	H	cen	M
mssDE108A_p1_L03	2	932	H	?	U
mssDE108A_p1_L03	3	617	H	?	U
mssDE108A_p1_L03	4	1151	H	de	C
mssDE108A_p1_L03	5	355	H	ras	C
mssDE108A_p1_L03	6	64	H	vo	C
mssDE108A_p1_L03	7	915	H	ge	M
mssDE108A_p1_L03	8	940	H	.	C
mssDE108A_p1_L03	9	655	H	selon	M
mssDE108A_p1_L03	10	947	H	les	C
mssDE108A_p1_L03	11	166	H	?	U
mssDE108A_p1_L04	1	217	H	nouvelle	C
mssDE108A_p1_L04	2	456	H	ils	C
mssDE108A_p1_L04	3	961	H	ont	C
mssDE108A_p1_L04	4	555	H	re	C
mssDE108A_p1_L04	5	789	H	mon	C
mssDE108A_p1_L04	6	444	H	te	C
mssDE108A_p1_L04	7	890	H	la	C
mssDE108A_p1_L04	8	480	H	vi|ri	M
mssDE108A_p1_L04	9	832	H	vi	C
mssDE108A_p1_L04	10	991	H	er|ere	M
mssDE108A_p1_L05	1	80	H	e	C
mssDE108A_p1_L05	2	10	H	de	C
mssDE108A_p1_L05	3	1157	H	?	U
mssDE108A_p1_L05	4	387	H	?	U
mssDE108A_p1_L05	5	96	H	et	C
mssDE108A_p1_L05	6	10	H	de	C
mssDE108A_p1_L05	7	165	H	ba	M
mssDE108A_p1_L05	8	626	H	r	C
mssDE108A_p1_L05	9	884	H	que	C
mssDE108A_p1_L05	10	125	H	a	C
mssDE108A_p1_L05	11	66	H	?	U
mssDE108A_p1_L06	1	366	H	?	U
mssDE108A_p1_L06	2	1111	M	onze	M
mssDE108A_p1_L06	3	1145	H	?	U
mssDE108A_p1_L06	4	301	H	au	M
mssDE108A_p1_L06	5	10	H	de	C
mssDE108A_p1_L06	6	521	H	?	U
mssDE108A_p1_L06	7	1086	H	de	C
mssDE108A_p1_L06	8	480	H	vi|ri	M
mssDE108A_p1_L06	9	656	H	ch	M
mssDE108A_p1_L06	10	789	H	mon	C
mssDE108A_p1_L07	1	976	H	.	C
mssDE108A_p1_L07	2	1032	H	cette	M
mssDE108A_p1_L07	3	1195	H	?	U
mssDE108A_p1_L07	4	527	H	?	U
mssDE108A_p1_L07	5	997	H	que	C
mssDE108A_p1_L07	6	4	H	wilm	M
mssDE108A_p1_L07	7	4	H	wilm	M
mssDE108A_p1_L07	8	1068	H	ils	C
mssDE108A_p1_L07	9	587	H	li	C
mssDE108A_p1_L07	10	175	H	ce	M
mssDE108A_p1_L07	11	808	H	s	C
mssDE108A_p1_L08	1	101	H	?	U
mssDE108A_p1_L08	2	818	H	qui	M
mssDE108A_p1_L08	3	961	H	ont	C
mssDE108A_p1_L08	4	579	H	etc	M
mssDE108A_p1_L08	5	110	H	?	U
mssDE108A_p1_L08	6	1125	H	si	C
mssDE108A_p1_L08	7	446	H	ve	C
mssDE108A_p1_L08	8	620	H	ment	C
mssDE108A_p1_L08	9	381	H	le	C
