figure	plaintext	grade	n	positions	source
4	cou	M	1	106	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
12	ja	M	1	216	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
28	s	M	1	231	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
32	de la	C	3	29,86,151	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
34	pro	M	1	68	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
38	ai|cru	M	1	146	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
45	general	C	1	132	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
50	a	M	1	134	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
56	ne	M	1	186	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
60	gres|fu	M	1	5	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
68	l'	C	1	42	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
78	non	M	1	180	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
96	se	M	1	204	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
100	pour	M	1	63	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
117	les	C	1	228	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
118	pareille	C	1	20	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
133	s	M	1	14	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
134	dis	M	1	167	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
135	n'y	C	1	198	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
139	ap	M	1	67	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
148	?	U	1	238	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
159	ance	C	2	51,213	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
161	je	C	2	94,115	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
177	du	C	3	3,15,98	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
179	promptement	M	1	97	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
181	et	M	1	76	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
185	l'	M	1	95	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
193	s'	M	1	80	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
195	e	M	1	82	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
199	zele	M	1	99	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
202	bord	M	1	10	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
215	expe	M	1	59	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
216	se	M	1	50	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
226	poin	M	1	74	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
239	te	C	2	41,92	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
250	rien	C	1	177	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
256	n'	M	1	178	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
264	quai / quain	C	2	160,230	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
278	ti	C	1	173	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
292	lieu	M	1	208	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
297	cessaire / necessaires	C	2	85,143	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
305	?	U	1	235	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
309	v	M	2	39,72	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
315	fu|rent	M	1	6	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
324	giez	M	1	79	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
328	demarche	C	1	154	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
329	er / er|donner	M	2	56,139	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
334	?	U	1	239	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
337	et	C	3	195,214,227	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
350	[stop]	M	1	144	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
361	venir	M	1	53	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
362	?	U	1	234	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
372	?	U	1	237	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
383	ici	M	1	183	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
389	se / euse	M	2	187,222	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
391	lar / la	C	3	12,170,190	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
416	que	C	2	64,176	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
424	re	C	1	164	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
430	pi	M	1	193	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
438	il	M	1	119	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
442	d'|a	M	1	8	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
444	ter	M	1	194	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
445	quelques	M	1	0	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
456	dis	C	1	117	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
470	parceque	C	1	155	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
472	soin	C	1	124	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
482	Washington	C	1	133	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
485	gres|pouvoit	M	1	137	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
486	le	M	1	33	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
511	?	U	1	236	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
516	fran	M	1	225	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
531	po	M	1	168	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
532	[stop]	M	2	93,233	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
535	see|a	M	1	169	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
538	mem	M	1	1	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
547	s	M	1	91	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
555	ger	C	2	17,221	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
558	cois	M	1	226	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
573	vous	C	2	66,77	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
575	fec	C	2	22,172	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
577	entre	M	1	223	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
595	mo	M	1	35	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
606	sie	M	1	218	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
610	me / nez	M	2	13,207	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
612	qui	M	1	46	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
613	devoit / devoir	C	2	128,147	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
616	les	C	2	140,224	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
622	ta	M	1	48	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
638	fi	M	1	212	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
642	quel	C	1	102	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
646	me	C	2	54,211	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
660	por	M	1	201	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
664	de	C	5	21,57,125,148,171	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
676	ci	M	1	192	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
680	te	M	1	75	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
700	pour	M	1	52	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
709	etats	C	1	113	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
710	ne	M	1	120	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
711	si	C	2	156,196	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
713	un / une	C	2	61,210	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
717	an	M	1	179	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
736	armee	C	3	30,104,158	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
739	te	M	1	28	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
740	propos	M	1	55	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
745	toit	M	1	83	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
756	direc	M	1	141	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
761	il	M	1	81	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
766	deffense	C	2	87,110	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
769	la	C	2	49,109	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
785	lou	M	1	217	Tomokiyo 2021 (Cryptiana blog), Beinecke 4528532, 8 Jan 1781
