code	value	grade	source	note
1	effets	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
4	wilm	M	doubtful or struck gloss	weak: mssDE37_p1_L05/6
6	que	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x5
10	de	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x9
12	lors	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
14	fla	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
30	quels	M	doubtful or struck gloss	weak: mssDE68_p2_L05/11
32	vous	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x4
36	ble	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
42	quoi	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
45	bons	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
48	celles|celle	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
49	ten	M	doubtful or struck gloss	weak: mssDE68_p1_L02/12
52	ent	M	doubtful or struck gloss	weak: mssDE55_p1_L13/1
60	pas	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
64	vo	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
80	e	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x5
86	non	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
88	plan	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
92	ron	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
96	et	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
98	com	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
103	co	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1; pencil reads ce
109	du	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
116	cheza	M	doubtful or struck gloss	weak: mssDE68_p1_L04/6
125	a	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
137	fr	M	doubtful or struck gloss	weak: mssDE55_p1_L09/2
149	se|re	M	doubtful or struck gloss	weak: mssDE37_p2_L04/5 mssDE37_p2_L06/9 mssDE55_p2_L11/1
157	fevrier	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
165	ba	M	pencil gloss (mssDE 55), hand and date unknown	pencil x1
177	faire	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
202	a	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x7; pencil agrees x1
204	charlo	M	doubtful or struck gloss	weak: mssDE37_p2_L01/6
214	is	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2; pencil agrees x1
217	nouvelle	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
220	quelques	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
222	ne	M	doubtful or struck gloss	weak: mssDE37_p1_L02/9
247	secret	M	doubtful or struck gloss	weak: mssDE55_p1_L05/2
250	fi	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
252	able	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
258	en les	M	doubtful or struck gloss	weak: mssDE68_p1_L05/3
267	yache	M	doubtful or struck gloss	weak: mssDE55_p1_L08/1
300	soient	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
301	au	M	doubtful or struck gloss	weak: mssDE37_p1_L06/7
309	forces	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
311	im	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
315	on	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
331	a	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3; pencil agrees x2
337	dela	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
339	en	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
341	fre	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3; pencil agrees x1
346	ordres	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1; pencil agrees x2
355	ras	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1; pencil reads ra
365	30	M	doubtful or struck gloss	weak: mssDE37_p2_L01/10
381	le	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
383	nos	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2; pencil agrees x1
385	port	M	pencil gloss (mssDE 55), hand and date unknown	pencil x1
391	tes|te	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x5; pencil agrees x2
394	nul	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
402	avec	M	pencil gloss (mssDE 55), hand and date unknown	pencil x1
408	l	M	doubtful or struck gloss	weak: mssDE55_p2_L05/6
415	rendre	M	doubtful or struck gloss	weak: mssDE68_p2_L04/6 mssDE37_p1_L01/8
416	pris	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
425	etablir	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
428	des	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
434	l	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
435	resolution	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
436	vous	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
443	anglais	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
444	te	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3; pencil agrees x2
446	ve	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
454	euse	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
455	change	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
456	ils	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1; pencil agrees x1
460	es	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
463	roy	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
464	c'	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
468	entier	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
476	s|p	M	doubtful or struck gloss	weak: mssDE37_p1_L01/7 mssDE37_p1_L05/1
480	vi|ri	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x4; pencil agrees x1
482	e	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
484	e	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
486	nos	M	doubtful or struck gloss	weak: mssDE68_p1_L04/1
489	differents	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
507	etat	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
511	gre	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
512	premiere	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
517	ns	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
518	avant	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
525	ce	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1; pencil agrees x1
529	cette	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
531	dela	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3; pencil agrees x1
534	semble	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
538	avoient	M	doubtful or struck gloss	weak: mssDE37_p1_L06/6
543	la	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
545	ne	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
549	nous	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
555	re	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
561	une	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
563	donc	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
565	nieux	M	doubtful or struck gloss	weak: mssDE68_p1_L03/4
579	etc	M	doubtful or struck gloss	weak: mssDE37_p2_L03/8
585	ke	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
587	li	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
589	n|n'	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x2
593	pas	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x1
594	quelles|quelle	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
599	sur	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
608	d	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3; pencil reads d'
610	etre	C	contemporary interlinear decipherment (mssDE 68/37/55)	ink x3
