page	line	idx	group	key_value	key_grade	is_fill	is_conflict	b_gloss	verdict
p1	L01	1	835	chez|cher	C		y	cher	agree
p1	L01	2	436	vous	C			nous	disagree
p1	L01	3	895					_	n/a
p1	L01	4	880	pres	C			pres	agree
p1	L01	5	86	non	C			non	agree
p1	L01	6	1188	mr	C			prets	disagree
p1	L01	7	6	que	C			que	agree
p1	L01	8	947	les	C			les	agree
p1	L01	9	443	anglais	C			anglais	agree
p1	L01	10	961	ont	C			ont	agree
p1	L01	11	744	faites|fait	C		y	fait	agree
p1	L02	1	878	une	C			une	agree
p1	L02	2	428	des	C			des	agree
p1	L02	3	72	cen	M	y		cent	agree
p1	L02	4	444	te	C			te	agree
p1	L02	5	1022	en	C			en	agree
p1	L02	6	677	virginie	C			virginie	agree
p1	L02	7	266	ou	M	y		ou	agree
p1	L02	8	1068	ils	C			ils	agree
p1	L02	9	765					exe?	n/a
p1	L02	10	931	y	C			y	agree
p1	L03	1	72	cen	M	y		ent	disagree
p1	L03	2	932	tout	C			tout	agree
p1	L03	3	617	fort	C			fort	agree
p1	L03	4	1151	de	C			de	agree
p1	L03	5	355	ras	C			ras	agree
p1	L03	6	64	vo	C			va	disagree
p1	L03	7	915	ge	M			ge	agree
p1	L03	8	940	.	C			.	agree
p1	L03	9	655	selon	M	y		suivant	disagree
p1	L03	10	947	les	C			les	agree
p1	L03	11	166	dernieres	C			dernieres	agree
p1	L04	1	217	nouvelle	C			nouvelles	agree
p1	L04	2	456	ils	C			ils	agree
p1	L04	3	961	ont	C			ont	agree
p1	L04	4	555	re	C			re	agree
p1	L04	5	789	mon	C			mon	agree
p1	L04	6	444	te	C			te	agree
p1	L04	7	890	la	C			la	agree
p1	L04	8	480	vi|ri	C		y	vi	agree
p1	L04	9	832	vi	C			vi	agree
p1	L04	10	991	er|ere	C		y	ere	agree
p1	L05	1	80	e	C			e	agree
p1	L05	2	10	de	C			de	agree
p1	L05	3	1157					ja?	n/a
p1	L05	4	387					volt?	n/a
p1	L05	5	96	et	C			et	agree
p1	L05	6	10	de	C			de	agree
p1	L05	7	165	ba	M			ba	agree
p1	L05	8	626	r	C			r	agree
p1	L05	9	884	que	C			que	agree
p1	L05	10	125	a	C			a	agree
p1	L05	11	66	cinq	C			cinq	agree
p1	L06	1	366					?	n/a
p1	L06	2	111					onze?	n/a
p1	L06	3	1145	lieues	C			lieues	agree
p1	L06	4	301	au	M			au	agree
