figure	value	basis
72	cen	p1L02 'une des[72]te en virginie' = descente (2nd occurrence p1L03 not resolved)
655	selon	p1L03 '[655] les [dernières] nouvelle(s)'; p2L05-06 '[655] les rapports les plus [..] et [655] ...' (3 of 3 fit)
656	ch	p1L06 'au de[521] de ri[656]mon(d)' = Richmond; p5L07 'de ta [656] [733]' = détachement (2 of 2 fit)
175	ce	p1L07 'mi li[175]s' = milices
1167	iere	p1L09 'sont ent[1167]ment' = entièrement
1025	ci	p1L10 'avec pré[1025][519][1129]tion' = précipitation
519	pi	p1L10 précipitation; p3L09 'les plus pré[983][519]tées' = précipitées (2 of 2 fit)
1129	ta	p1L10 précipitation; p3L02-03 'dévas[1129]tion' = dévastation; p5L07 'de [1129] ch' = détachement (3 of 3 fit)
785	l	p2L01 'et de ba[785]timo(re)' = Baltimore
135	gal	p2L02 'e[135]ement' = également; p3L10 'ne peu[195] e[135]er' = égaler (2 of 2 fit)
195	vent	p3L09-10 'ne peu(t) [195] égaler' = ne peuvent égaler
363	hommes	p2L07 'huit cent [363]' = huit cents hommes (other 3 occurrences undetermined)
141	nom	p2L07 'au [141][648] de' = au nombre de
648	bre	as 141
145	par	p2L08 'ne sont [..] que [145] une' = que par une
1113	pro	p5L01-02 '[1113]ba ble que' = probable; p5L08-09 '[1113] / ba ble ment' = probablement (2 of 3 fit; p3L11 undetermined)
683	grande	p5L02-03 'de la plus [683] célérité' = la plus grande célérité
1032	cette	p5L04 'à [1032] expédition' = cette; p1L07 '. [1032] ...' sentence-initial (2 of 3 fit)
544	main	p5L05 'avant trois se[544]es' = semaines
816	ver	p5L04-05 'arri[816]' = arriver (other 2 occurrences undetermined)
266	ou	p1L02 'en virginie [266] ils'; p3L06 '[266] les anglais se sont établis' = où (2 of 4 fit well)
733	ement	p5L07 'de ta ch [733]' = détachement
