item	page	line	pos	group	gloss	hand	struck	grade
mssDE68	p1	L01	1	835	chez	ink	0	C
mssDE68	p1	L01	2	725	les	ink	0	C
mssDE68	p1	L01	3	1066	ta?	ink	0	M
mssDE68	p1	L01	4	480	vi	ink	0	C
mssDE68	p1	L01	5	941	ne	ink	0	C
mssDE68	p1	L01	6	6	que	ink	0	C
mssDE68	p1	L01	7	919	je	ink	0	C
mssDE68	p1	L01	8	32	vous	ink	0	C
mssDE68	p1	L01	9	701	ait	ink	0	C
mssDE68	p1	L01	10	331	sieges?	ink	0	M
mssDE68	p1	L01	11	86	non	ink	0	C
mssDE68	p1	L01	12	525	ce	ink	0	C
mssDE68	p1	L02	1	460	es?/co?	ink	0	M
mssDE68	p1	L02	2	628	sont	ink	0	C
mssDE68	p1	L02	3	202	que?	ink	1	M
mssDE68	p1	L02	4	1028	ce	ink	0	C
mssDE68	p1	L02	5	42	quoi	ink	0	C
mssDE68	p1	L02	6	315	on	ink	0	C
mssDE68	p1	L02	7	712	assure	ink	0	C
mssDE68	p1	L02	8	880	pres	ink	0	C
mssDE68	p1	L02	9	391	tes	ink	0	C
mssDE68	p1	L02	10	125	a	ink	0	C
mssDE68	p1	L02	11	610	etre	ink	0	C
mssDE68	p1	L02	12	49	ten?	ink	0	M
mssDE68	p1	L03	1	563	Donc	ink	0	C
mssDE68	p1	L03	2	940	.	ink	0	C
mssDE68	p1	L03	3	1043	comment	ink	0	C
mssDE68	p1	L03	4	565	nieux?	ink	0	M
mssDE68	p1	L03	5	941	ne	ink	0	C
mssDE68	p1	L03	6	32	vous	ink	0	C
mssDE68	p1	L03	7	947	les	ink	0	C
mssDE68	p1	L03	8	60	pas	ink	0	C
mssDE68	p1	L03	9	910	actuele	ink	0	C
mssDE68	p1	L03	10	744	faites	ink	0	C
mssDE68	p1	L04	1	486	nos?	ink	0	M
mssDE68	p1	L04	2	632	ages?	ink	0	M
mssDE68	p1	L04	3	10	de	ink	0	C
mssDE68	p1	L04	4	48	celles	ink	0	C
mssDE68	p1	L04	5	337	dela?	ink	1	M
mssDE68	p1	L04	6	116	cheza?	ink	0	M
mssDE68	p1	L04	7	96	et	ink	0	C
mssDE68	p1	L04	8	6	que	ink	0	C
mssDE68	p1	L04	9	32	vous	ink	0	C
mssDE68	p1	L04	10	740	donne	ink	0	C
mssDE68	p1	L04	11	890	la	ink	0	C
mssDE68	p1	L05	1	880	pres	ink	0	C
mssDE68	p1	L05	2	773	?	ink	1	M
mssDE68	p1	L05	3	258	en les?	ink	0	M
mssDE68	p1	L05	4	202	a	ink	0	C
mssDE68	p1	L05	5	48	celles	ink	0	C
mssDE68	p1	L05	6	531	dela	ink	0	C
mssDE68	p1	L05	7	1033	delaware?	ink	0	M
mssDE68	p1	L05	8	1004	la	ink	0	C
mssDE68	p1	L05	9	64	vo	ink	0	C
mssDE68	p1	L05	10	214	is	ink	0	C
mssDE68	p1	L05	11	740	donne	ink	0	C
mssDE68	p2	L01	1	626	r	ink	0	C
mssDE68	p2	L01	2	428	des	ink	0	C
mssDE68	p2	L01	3	346	ordres	ink	0	C
mssDE68	p2	L01	4	850	pour	ink	0	C
mssDE68	p2	L01	5	594	quelles	ink	0	C
mssDE68	p2	L01	6	300	soient	ink	0	C
