code	readings	where
48	celles / celle	mssDE68_p1_L04/4 mssDE68_p1_L05/5 mssDE37_p1_L03/3
391	tes / te	mssDE68_p1_L02/9 mssDE68_p2_L01/8 mssDE68_p2_L02/7 mssDE68_p2_L09/6 mssDE68_p2_L09/10
480	vi / ri	mssDE68_p1_L01/4 mssDE37_p1_L04/6 mssDE55_p1_L04/4 mssDE55_p1_L07/7
589	n / n'	mssDE37_p1_L06/2 mssDE55_p1_L06/1
594	quelles / quelle	mssDE68_p2_L01/5 mssDE68_p2_L03/4 mssDE68_p3_L03/5
628	sont / d	mssDE68_p1_L02/2 mssDE68_p2_L06/7 mssDE37_p1_L03/8 mssDE37_p2_L04/6
640	allies / alies	mssDE68_p3_L02/8 mssDE37_p2_L07/5
712	assure / assurer	mssDE68_p1_L02/7 mssDE68_p2_L05/4
744	faites / fait	mssDE68_p1_L03/10 mssDE68_p2_L06/3
831	expedi / expedition	mssDE37_p1_L02/4 mssDE55_p1_L02/3
835	chez / cher	mssDE68_p1_L01/1 mssDE37_p1_L01/1 mssDE55_p1_L01/1
981	ga / le	mssDE68_p2_L02/6 mssDE68_p2_L05/8 mssDE68_p2_L09/5 mssDE37_p2_L01/3 mssDE37_p2_L02/2
991	er / ere	mssDE68_p2_L09/2 mssDE37_p1_L04/8
