line	pos	code	marks_match	a_marks	b_marks
1	13	[	True		
1	14	bh	True		
1	16	U	True		
1	17	y	True		
1	18	nt	True		
1	19	[	True		
1	20	bh	True		
1	21	sq	True	ot	ot
1	22	psi	True		
1	23	lam	True	o	o
1	24	eps	True	5	5
1	26	[	True		
2	1	rz	True		
2	2	g	True	~	~
2	3	m	True	~	~
2	4	w	True		
2	6	L	True		
2	7	g	True	~	~
2	8	o.	True		
2	9	S7	True		
2	10	lam	True	dot	dot
2	11	S7	True	~	~
2	12	e	True	#	#
2	13	g	True	~	~
2	15	K	True		
2	17	]	True	o	o
2	19	bh	True	dot	dot
2	20	S7	True	+	+
2	21	a	False	~	
2	22	S7	True	~	~
2	23	lam	True	~	~
2	24	e	True	#	#
2	25	wd	True		
2	26	bh	True		
2	27	K	True		
2	28	Lx	True	#	#
3	1	phi	True		
3	2	]	True	o	o
3	4	]	True	dot|o	dot|o
3	5	S7	True	dot	dot
3	7	e	True	dot	dot
3	8	y	True		
3	9	e	True	#	#
3	13	g	False		7
3	14	Z	True		
3	15	S4	True		
3	31	S4	True		
4	1	phi	True		
4	2	y	True		
4	3	lam	True	1	1
4	5	]	True	o	o
4	6	g	True	~	~
4	7	nt	True		
4	8	S7	True		
4	9	#	True		
4	10	y	True	dot	dot
4	11	nt	True		
4	12	bh	True		
4	13	w	True		
4	14	e	False	dot	#
4	15	Z	True		
4	16	nt	True		
4	18	bh	True	dot	dot
4	19	S7	True	#	#
4	20	m	True	~	~
4	21	w	True		
4	22	m	True	~	~
4	23	lam	True		
4	24	y	True		
4	25	f	True		
4	26	w	True		
5	1	y	True		
5	2	]	True	dot|o	dot|o
5	3	S7	True	dot	dot
5	5	]	True	o	o
5	6	tee	True		
5	7	f	True		
5	8	w	True		
5	9	bh	True		
5	11	H	False	1	1|o
5	13	S4	True		
6	1	S4	True		
6	2	nt	True		
6	4	L	True		
6	5	e	True	#	#
6	6	[	True		
6	7	S7	True		
6	8	e	False	dot	+
6	9	nt	True		
6	10	bh	True		
6	11	]	True	o	o
6	13	]	True	ot	ot
6	14	H	True	1	1
6	16	w	True		
6	17	y	True		
6	18	m	False	1	
6	19	tee	True		
6	20	lam	True		
6	21	rz	True		
6	23	L	True		
6	24	w	True		
6	25	tee	True		
6	26	[	True		
6	27	nt	True		
6	28	bh	True		
7	1	]	True	dot|ot	dot|ot
7	2	phi	True		
7	3	U	True		
7	4	w	True		
7	5	bh	True		
7	6	a	True	~	~
7	8	bh	True		
7	9	S7	True	#	#
7	10	]	True	dot|o	dot|o
7	11	g	True	~	~
7	12	psi	True		
7	13	lam	True	7	7
7	15	S4	True		
7	16	dl	True		
7	17	lam	True		
7	18	bh	True		
7	19	S7	True	#	#
7	20	e	True	+	+
7	21	g	True	dot|~	dot|~
7	23	[	True		
7	24	bh	True		
7	25	S7	True	#	#
7	26	wd	True		
7	27	y	True		
7	28	sq	True	?	?
7	29	Z	True		
8	1	g	True		
8	2	rz	False		~
8	3	tee	True		
8	4	S4	True		
8	5	dl	False		dot|~
8	6	Z	False	dot|~	
8	7	eps	True	~	~
8	8	g	True	~	~
8	10	]	True		
8	12	Z	False	7	7|ot
8	13	a	True	~	~
8	15	g	True	~	~
8	16	psi	True		
8	17	eps	True		
8	18	w	True		
8	19	nt	True		
8	20	m	True	5	5
8	21	]	True	ot	ot
8	22	S4	True		
8	23	dl	True		
9	18	Lx	True		
9	21	rz	True		
9	23	S7	True		
10	1	lam	True		
10	2	S7	True	~	~
10	3	lam	True		
