line	pos	code	marks	source	reason
1	1	]	o|dot	BC	C agrees with B (]) against A (y): loop above + open-box-left shape matches ']' atlas; A's 'y' would need forked-hook strokes not present
1	3	_		BC	C agrees with B (_) against A (eps): cursive E-t ligature opening plain 'et', not eps (atlas eps is a tighter pinched curl)
1	4	_		BC	C agrees with B (_) against A (+): continues the same plain 'et' ligature as pos3, joined cross-stroke is a plain t not an isolated + sign
1	5	_		BC	C agrees with B (_) against A (p): cursive 'Pr' opening 'Prometto', clear looped P with r flourish, plain
1	7	_		BC	C agrees with B (_) against A (#): plain cursive 'etto' (double-o loop with crossbar), completing 'Prometto'
1	13	+		AC	C agrees with A (+) against B (#): single crossing stroke (vertical x horizontal) with a small flourish tick above; matches '+' atlas single-cross rather than '#'s grid of multiple crossing strokes
1	15	w	1|5	BC	C agrees with B (w) against A (_): numeral-like '1''5' flourish over a forked hook/tail shape matches 'w' atlas; sits between two agreed cipher signs (Lx@14, y@16)
1	19	a		BC	C agrees with B (a) against A (_): clean cursive 'a', atlas 'a' match; flanked by cipher signs on both sides (g@18, S read at 20) so kept as the cipher-code 'a' (visually = plain a), not a plain letter
1	20	S		AC	C agrees with A (S) against B (_): clean single S-squiggle stroke matches 'S' atlas; sits between two cipher 'a' calls (19,21), kept as sign against B's plain read
1	21	a	1	BC	C agrees with B (a) against A (_): same 'a' shape and context as pos19, numeral-1 flourish mark matches both passes' shared mark call
2	3	Z		BC	C agrees with B (Z) against A (_): two-tier construction (small hook above, curled Z/2-like body below) matches 'Z' atlas exemplars with an 'n+'-style mark over a curled main body
2	8	lam	~	BC	C agrees with B (lam) against A (_): single diagonal stroke matches 'lam' atlas (plain diagonal/upright stroke) better than a plain letter here
2	11	#	o	BC	C agrees with B (#) against A (_): busy crossing strokes match '#' atlas grid shape
2	13	phi		BC	C agrees with B (phi) against A (_): circle-loop with a diagonal stroke crossing the top matches 'phi' atlas (circle+slash) closely
2	23	_		BC	C agrees with B (_) against A (w): flat single wavy connecting stroke, no forked vertical structure of the 'w' atlas; reads as a plain ligature/flourish
3	2	dl		BC	C agrees with B (dl) against A (_): loop-with-descender-tail shape matches 'dl' atlas
3	4	e		BC	C agrees with B (e) against A (ch): clean 'E'-with-crossbar shape matches 'e' atlas (several e exemplars show hash-like crossbars) better than 'ch's single hook-loop shape
3	26	w		AC	C agrees with A (w) against B (_): clear forked-hook double-stroke shape matches 'w' atlas
4	2	Z		BC	C agrees with B (Z) against A (_): prominent curled Z/2-shaped main stroke with a small mark above matches 'Z' atlas
4	4	eps	5	BC	C agrees with B (eps) against A (_): two small stacked curl marks, genuinely weak/ambiguous read; kept to B's eps+5 as the closer guess
4	8	w	1	BC	C agrees with B (w) against A (_): clean double-loop 'w' shape, close match to atlas 'w' cursive double-hook
4	11	L		BC	C agrees with B (L) against A (_): simple angular hook stroke matches 'L' atlas (numeral marks below are separate)
5	4	e	#	BC	C agrees with B (e) against A (_): hash mark above a rounded loop matches 'e' atlas cross+circle exemplars
5	9	Z		BC	C agrees with B (Z) against A (_): n+-style mark above a curled Z-shaped body, same pattern as pos2/3 and 4/2
5	10	S7	1	BC	C agrees with B (S7) against A (_): clean numeral-7-shaped stroke, close match to atlas 'S7'
5	22	e	dot	BC	C agrees with B (e) against A (Z): rounded 'c'-loop with a dot above matches 'e' atlas better than Z's jagged n+/2 shape
6	25	g	~	BC	C agrees with B (g) against A (_): clean loop-plus-descending-tail ('9'-like) shape, close match to 'g' atlas
7	18	_		BC	C agrees with B (_) against A (S7): smooth double-hump cursive stroke (like plain m/n), not S7's angular numeral-7 shape
