type	population_count	population_share	sample_idx	sample_count	description	key_leaf_match
separator_vertical_bar	157	26.5%	3,10,12,13,16,23,26,35,36,39	10	single short vertical stroke or bar between digit/sign groups; both passes call it a separator independently	not checked against key sign rows -- very high per-line frequency (approx 4-5/line, no French letter homophone would recur this often) argues it is punctuation, not a missing letter sign, so a key-leaf search is not the right test for this type
separator_z_curl	162	27.3%	2,4,5,6,9,11,14,15,19,21,25,27,28,30	14	a small z- or 2-shaped curl between groups, labelled "separator" by both passes but visually similar to a real z/2-curl glyph seen in the key's own unresolved L-Z alphabet stretch (p57_alpha_seg3/seg4, p69_alpha_full)	AMBIGUOUS -- the shape itself has plausible matches on the key leaf (see letter-like types below), but its frequency (approx 5/line, 162 times in 33 lines) is far too high and too regular for a single homophone letter, so on structural grounds (LESSONS.md "structure before search") this is more likely punctuation that happens to resemble a key sign than a missing homophone; not resolved this pass, flagged for a frequency check against French letter statistics before either conclusion is drawn
separator_double_dash	7	1.2%	--	0	two short parallel dashes between groups	not a sign-lookup candidate; not checked
plaintext_fragment	10	1.7%	7,24	2	legible French word/abbreviation fragments ("quel", "que", "bon", "co" + superscript) bleeding in from a heading/salutation or the facing page, not cipher at all	N/A -- not cipher, excluded from any future draft per YX-TR349B and this session's own line-1 eye-check
archival_stamp	--	--	--	0	BnF ownership stamp / "2429" item number already identified and excluded by ZX-349 and YX-TR349B; none fell in this session's 40-sample but the category exists in the population	N/A -- not cipher
ink_blot_damage	13	2.2%	1,8	2	genuinely illegible: ink blot, damage, or a mark cut at the crop/line edge	not classifiable either way
sign_to_ligature	35	5.9%	20,37	2	a recurring "to"-like ligature (tall ascender with a small loop, crossbar) -- one of the clearest recurring shapes in the letter-like pool	FOUND on the key leaf: p57_alpha_seg3 (bottom right, "to" under the crowded O/P/Q cluster), p57_alpha_seg4 ("to.102"), p57_monosyl_row1 (code row, cut at lower edge but a "to" shape visible), p69_alpha_full ("to . 102" clearly legible) -- all in rows key_alpha.tsv/key_nomen.tsv left graded M/"unresolved", not yet an atlas S-code
sign_Ao_ligature	39	6.6%	38	1	a bold capital "A" joined to a small loop ("Ao"/"Av"-like), described by passD as "recurring shape" -- checked directly by cropping 3 fresh instances (line03 pos7, line08 pos24, line11 pos18) at 16:37 UTC: a compact, bold, closed ligature, consistent across all three	NOT FOUND on the key leaf's alphabet/doubles/nulles/monosyllable rows viewed this pass (seg1-6, monosyl 1-2, lastword_row, left_wordlist, p69_alpha_full) -- this shape closely resembles the period secretary-hand abbreviation "Ao" for "an"/"annee" (year), which would make it a plaintext/date abbreviation bleeding through rather than a cipher sign at all (paralleling the "quel"/"bon" plaintext fragments already found), but at roughly 1.2 occurrences per line it recurs far too often for a date -- genuinely unresolved, the single highest-value open question from this pass (39 occurrences, second-largest specific shape after the separator families)
sign_R_loop	25	4.2%	29	1	a looped capital resembling "R" with a trailing tail	PLAUSIBLE match on the key leaf: p57_left_wordlist.jpg has a cursive "R"-like capital in the right-hand code column (row near "Cardinal"/"hault. Lorraine" entries) -- same general shape family, not confirmed as the identical mark
sign_Y_like	12	2.0%	31	1	small looped "Y"-like mark	not checked this pass
sign_u_like	10	1.7%	22	1	small "u"-like sign	not checked this pass
sign_s_like	9	1.5%	18	1	small "s"-like sign	not checked this pass
sign_hash_or_z_header	--	--	--	0	"#"-lattice mark (already S04) and a plain "z"-shaped letter header both appear on the key leaf (p57_alpha_seg5, p69_alpha_full) -- already-atlas-coded, listed for completeness, not a new type
sign_other_letterlike	114	19.2%	40	1	catch-all: "capital A-like flourish", "small ligature cluster (ni-like)", "ligature cluster (nao g-like)", "capital ligature cluster (Cml-like)", "looped cluster, no atlas match", and about 20 more distinct one-off descriptions, each occurring only a handful of times	NOT CONFIRMED this pass -- this worker's own visual scan of the key leaf's word-list and monosyllable code columns (p57_left_wordlist.jpg, p57_monosyl_row2.jpg) shows several small loop/curl marks in the same general family (a cursive "e"-loop, an "8"-loop, a "y", a plus/cross, a spiral) but no side-by-side comparison at matched crop precision was done for these; flagged as follow-up work, not resolved
