line	pos	sign	gloss_word
remarque_h_w1	0	Ö	Remarque
remarque_h_w1	1	з	Remarque
remarque_h_w1	2	ÿ	Remarque
remarque_h_w1	3	[delta]	Remarque
remarque_h_w1	4	[x-dot]	Remarque
remarque_h_w1	5	[o-plain]	Remarque
remarque_h_w1	6	[x-dot]	Remarque
remarque_h_w1	7	5	Remarque
remarque_h_w1	8	з	Remarque
remarque_h_w1	9	:	Remarque
remarque_l1_w1	0	V	De
remarque_l1_w1	1	з	De
remarque_l1_w1	2	,	De
remarque_l1_w2	0	8	in
remarque_l1_w2	1	[h-loop]	in
remarque_l1_w2	2	[tick]	in
remarque_l1_w2	3	r	in
remarque_l1_w3	0	O	te
remarque_l1_w3	1	[g-loop]	te
remarque_l1_w3	2	5	te
remarque_l1_w3	3	m	te
remarque_l1_w3	4	r	te
remarque_l1_w3	5	[o-plain]	te
remarque_l1_w4	0	g	Rivier
remarque_l1_w4	1	r	Rivier
remarque_l1_w4	2	ÿ	Rivier
remarque_l1_w4	3	[delta]	Rivier
remarque_l1_w4	4	[o-plain]	Rivier
remarque_l1_w4	5	[x-dot]	Rivier
remarque_l1_w4	6	5	Rivier
remarque_l1_w4	7	a	Rivier
remarque_l1_w4	8	λ	Rivier
remarque_l1_w4	9	v	Rivier
remarque_l1_w4	10	з	Rivier
remarque_l1_w5	0	g	gemarqueerde
remarque_l1_w5	1	a	gemarqueerde
remarque_l1_w5	2	λ	gemarqueerde
remarque_l1_w5	3	r	gemarqueerde
remarque_l1_w5	4	з	gemarqueerde
remarque_l1_w5	5	[o-plain]	gemarqueerde
remarque_l1_w5	6	6	gemarqueerde
remarque_l1_w6	0	з	Letters
remarque_l1_w6	1	[delta]	Letters
remarque_l1_w6	2	[h-loop]	Letters
remarque_l1_w7	0	a	van_[mark]_tot[cut]
remarque_l1_w7	1	λ	van_[mark]_tot[cut]
remarque_l1_w7	2	[hash]	van_[mark]_tot[cut]
remarque_l2_w1	0	w	De
remarque_l2_w1	1	з	De
remarque_l2_w2	0	[psi-stroke]	Signatuure
remarque_l2_w2	1	8	Signatuure
remarque_l2_w2	2	g	Signatuure
remarque_l2_w2	3	[h-loop]	Signatuure
remarque_l2_w2	4	[delta]	Signatuure
remarque_l2_w2	5	λ	Signatuure
remarque_l2_w2	6	з	Signatuure
remarque_l2_w2	7	e	Signatuure
remarque_l2_w2	8	[o-plain]	Signatuure
remarque_l2_w2	9	з	Signatuure
remarque_l2_w3	0	[delta]	als_X_[mark]
remarque_l2_w3	1	g	als_X_[mark]
remarque_l2_w3	2	6	als_X_[mark]
remarque_l2_w3	3	:	als_X_[mark]
remarque_l2_w3	4	t	als_X_[mark]
remarque_l2_w3	5	.	als_X_[mark]
remarque_l2_w3	6	&	als_X_[mark]
remarque_l2_w3	7	[e-macron]	als_X_[mark]
remarque_l2_w3	8	,	als_X_[mark]
remarque_l2_w4	0	[psi-stroke]	zijn
remarque_l2_w4	1	t	zijn
remarque_l2_w4	2	[h-loop]	zijn
remarque_l2_w5	0	V	de
remarque_l2_w5	1	з	de
remarque_l2_w6	0	a	enkelde
remarque_l2_w6	1	[l-bare]	enkelde
remarque_l2_w6	2	b	enkelde
remarque_l2_w6	3	з	enkelde
remarque_l2_w6	4	g	enkelde
remarque_l2_w6	5	r	enkelde
remarque_l2_w6	6	a	enkelde
remarque_l2_w7	0	[psi-stroke]	Cijf[cut]
remarque_l2_w7	1	t	Cijf[cut]
remarque_l2_w7	2	[goblet]	Cijf[cut]
remarque_l3_w1	0	з	en
remarque_l3_w1	1	[l-bare]	en
remarque_l3_w2	0	[hash]	op
remarque_l3_w2	1	q	op
remarque_l3_w3	0	5	Voeten
remarque_l3_w3	1	[hash]	Voeten
remarque_l3_w3	2	з	Voeten
remarque_l3_w3	3	λ	Voeten
remarque_l3_w3	4	[o-plain]	Voeten
remarque_l3_w3	5	[l-bare]	Voeten
remarque_l3_w4	0	g	Geteekend.
remarque_l3_w4	1	a	Geteekend.
remarque_l3_w4	2	[o-plain]	Geteekend.
remarque_l3_w4	3	з	Geteekend.
remarque_l3_w4	4	a	Geteekend.
remarque_l3_w4	5	b	Geteekend.
remarque_l3_w4	6	λ	Geteekend.
remarque_l3_w4	7	[h-loop]	Geteekend.
remarque_l3_w4	8	y	Geteekend.
remarque_l3_w4	9	.	Geteekend.
