# Independent blind transcription pass A (RD03C, 25 Sept 2026), subagent session a2fc0b5b98c276e9c.
# Full raw hand-back, clauses B/D/E/F of images/2007a_nota_af_block.jpg aligned against 2007B's clean
# plaintext (scratch_2007b_nota_plain.txt). Kept verbatim for the record; only two positions (Eerste pos3
# "6"->s, Tweede pos1 "4"->w) were cross-checked against pass B and promoted to key.tsv grade C. Everything
# else here is single-pass and NOT asserted -- word segmentation disagrees with pass B in several places
# (heavy, inconsistent cipher/plaintext compression), see NOTES.md "Reading (VX-RD03C, 25 Sept 2026)".
line	pos	sign	gloss_word	conf
nota_pB_w1	1	[loop9]	Geprojecteerde	medium
nota_pB_w1	2	[ezh-dot]	Geprojecteerde	high
nota_pB_w1	3	[l-bare]	Geprojecteerde	medium
nota_pB_w1	4	[o-tick]	Geprojecteerde	medium
nota_pB_w1	5	[m-lit]	Geprojecteerde	high
nota_pB_w1	6	[ezh-dot]	Geprojecteerde	high
nota_pB_w1	7	[s-loop]	Geprojecteerde	high
nota_pB_w2	1	λ	zwaare	high
nota_pB_w2	2	7	zwaare	high
nota_pB_w2	3	[a-plain]	zwaare	high
nota_pB_w2	4	[o-plain]	zwaare	high
nota_pB_w2	5	y	zwaare	medium
nota_pB_w2	6	[d-flourish]	zwaare	medium
nota_pB_w3	1	[psi-trident]	Vlotbatterijen	high
nota_pB_w3	2	4	Vlotbatterijen	high
nota_pB_w3	3	[delta]	Vlotbatterijen	high
nota_pB_w3	4	[x-cross]	Vlotbatterijen	medium
nota_pB_w3	5	[o-plain]	Vlotbatterijen	high
nota_pB_w3	6	7	Vlotbatterijen	high
nota_pB_w4	1	[beak-loop]	Vlotbatterijen	medium
nota_pB_w4	2	[loop9]	Vlotbatterijen	medium
nota_pB_w4	3	[hash]	Vlotbatterijen	high
nota_pB_w4	4	λ	Vlotbatterijen	high
nota_pD_w1	1	7	Eerste	high
nota_pD_w1	2	3	Eerste	high
nota_pD_w1	3	0	Eerste	medium
nota_pD_w1	4	6	Eerste	medium
nota_pD_w1	5	λ	Eerste	high
nota_pD_w1	6	[d-flourish]	Eerste	medium
nota_pD_digit1	1	PLAIN-2	(numeral, before Fregatten)	high
