line	pos	sign	value	grade
2007a_t1w1_generaal	0	G	g	C
2007a_t1w1_generaal	1	[ezh-dot]	e	C
2007a_t1w1_generaal	2	[h-loop]	n	C
2007a_t1w1_generaal	3	[a-plain]	e	C
2007a_t1w1_generaal	4	[o-plain]	r	C
2007a_t1w1_generaal	5	[x-dot]	?	U
2007a_t1w1_generaal	6	[g-loop]	?	U
2007a_t1w2_plan	0	[s-loop]	p	C
2007a_t1w2_plan	1	c	l	M
2007a_t1w2_plan	2	[p-loop]	?	U
2007a_t1w2_plan	3	[h-loop]	n	C
2007a_t1w3_van	0	5	v	C
2007a_t1w3_van	1	[delta]	a	C
2007a_t1w3_van	2	[l-bare]	n	C
2007a_t1w4_defensie	0	[v-tall]	d	C
2007a_t1w4_defensie	1	[ezh-dot]	e	C
2007a_t1w4_defensie	2	7	e	C
2007a_t1w4_defensie	3	[h-loop]	n	C
2007a_t1w4_defensie	4	y	s	C
2007a_t1w4_defensie	5	[defensie-i-cand]	?	U
2007a_t1w4_defensie	6	[defensie-e-cand]	?	U
2007a_aanm_w1_remarque	0	[remarque-r1-cand]	?	U
2007a_aanm_w1_remarque	1	[ezh-dot]	e	C
2007a_aanm_w1_remarque	2	[remarque-m-cand]	?	U
2007a_aanm_w1_remarque	3	[delta]	a	C
2007a_aanm_w1_remarque	4	[remarque-r2-cand]	?	U
2007a_aanm_w1_remarque	5	[remarque-q-cand]	?	U
2007a_aanm_w1_remarque	6	[remarque-u-cand]	?	U
2007a_aanm_w1_remarque	7	[remarque-e2-cand]	?	U
2061_t1w1_plan	0	[s-loop]	p	C
2061_t1w1_plan	1	c	l	C
2061_t1w1_plan	2	[delta]	a	C
2061_t1w1_plan	3	[h-loop]	n	C
2061_t2w1_van	0	5	v	C
2061_t2w1_van	1	[delta]	a	C
2061_t2w1_van	2	[l-bare]	n	C
2061_t2w2_de	0	[v-plain]	?	U
2061_t2w2_de	1	7	e	C
