value	butler_meaning_M	fauconberg_meaning	fauconberg_agrees	stamford_meaning	stamford_agrees
13	a	e	present_disagrees		absent
24	d	m	present_disagrees	u	present_disagrees
31	e	p	present_disagrees	y	present_disagrees
39	e	t	present_disagrees	p	present_disagrees
40	a	u	present_disagrees	o	present_disagrees
44	a	x	present_disagrees		absent
48	d		absent		absent
49	n	y	present_disagrees		absent
50	h		absent		absent
400	a		absent		absent
401	c		absent		absent
409	province		absent		absent
411	c		absent		absent
412	t		absent		absent
413	b		absent		absent
417	i		absent		absent
421	you		absent		absent
530	when		absent		absent
541	o		absent		absent
546	n		absent		absent
910	e		absent		absent
